,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,OGC Nice,Marcin Bulka,Goalkeeper,"1,99m",right,"Jun 30, 2026",€20.00m
1,OGC Nice,Maxime Dupé,Goalkeeper,"1,88m",right,"Jun 30, 2026",€1.20m
2,OGC Nice,Teddy Boulhendi,Goalkeeper,"1,85m",,"Jun 30, 2025",€100k
3,OGC Nice,Youssouf Ndayishimiye,Centre-Back,"1,83m",right,"Jun 30, 2027",€12.00m
4,OGC Nice,Moïse Bombito,Centre-Back,"1,90m",right,"Jun 30, 2028",€10.00m
5,OGC Nice,Mohamed Abdelmonem,Centre-Back,"1,83m",right,"Jun 30, 2028",€4.00m
6,OGC Nice,Dante,Centre-Back,"1,88m",left,"Jun 30, 2026",€500k
7,OGC Nice,Amidou Doumbouya,Centre-Back,"1,82m",left,"Jun 30, 2026",€300k
8,OGC Nice,Melvin Bard,Left-Back,"1,73m",left,"Jun 30, 2028",€12.00m
9,OGC Nice,Ali Abdi,Left-Back,"1,83m",left,"Jun 30, 2027",€3.00m
10,OGC Nice,Yaël Nandjou,Left-Back,"1,85m",left,"Jun 30, 2025",€150k
11,OGC Nice,Jonathan Clauss,Right-Back,"1,78m",right,"Jun 30, 2026",€6.00m
12,OGC Nice,Antoine Mendy,Right-Back,"1,87m",right,"Jun 30, 2028",€3.00m
13,OGC Nice,Pablo Rosario,Defensive Midfield,"1,85m",right,"Jun 30, 2026",€8.00m
14,OGC Nice,Baptiste Santamaria,Defensive Midfield,"1,83m",right,"Jun 30, 2025",€7.00m
15,OGC Nice,Hicham Boudaoui,Central Midfield,"1,75m",right,"Jun 30, 2027",€10.00m
16,OGC Nice,Tanguy Ndombélé,Central Midfield,"1,81m",right,"Jun 30, 2026",€10.00m
17,OGC Nice,Morgan Sanson,Central Midfield,"1,80m",right,"Jun 30, 2027",€5.00m
18,OGC Nice,Tom Louchet,Right Midfield,"1,78m",both,"Jun 30, 2027",€3.00m
19,OGC Nice,Jérémie Boga,Left Winger,"1,72m",right,"Jun 30, 2027",€12.00m
20,OGC Nice,Sofiane Diop,Left Winger,"1,75m",right,"Jun 30, 2027",€12.00m
21,OGC Nice,Mohamed-Ali Cho,Right Winger,"1,82m",left,"Jun 30, 2028",€15.00m
22,OGC Nice,Badredine Bouanani,Right Winger,"1,77m",left,"Jun 30, 2029",€5.00m
23,OGC Nice,Evann Guessand,Centre-Forward,"1,88m",right,"Jun 30, 2028",€25.00m
24,OGC Nice,Terem Moffi,Centre-Forward,"1,88m",left,"Jun 30, 2027",€15.00m
25,OGC Nice,Youssoufa Moukoko,Centre-Forward,"1,79m",left,"Jun 30, 2025",€10.00m
26,OGC Nice,Gaëtan Laborde,Centre-Forward,"1,81m",left,"Jun 30, 2026",€6.00m
27,OGC Nice,Victor Orakpo,Centre-Forward,"1,94m",right,"Jun 30, 2028",€500k
