,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Olympique Lyon,Lucas Perri,Goalkeeper,"1,97m",right,"Jun 30, 2028",€10.00m
1,Olympique Lyon,Rémy Descamps,Goalkeeper,"1,96m",left,"Jun 30, 2027",€1.50m
2,Olympique Lyon,Lassine Diarra,Goalkeeper,"1,90m",right,"Jun 30, 2027",€25k
3,Olympique Lyon,Moussa Niakhaté,Centre-Back,"1,90m",left,"Jun 30, 2028",€15.00m
4,Olympique Lyon,Duje Caleta-Car,Centre-Back,"1,93m",right,"Jun 30, 2027",€8.00m
5,Olympique Lyon,Warmed Omari,Centre-Back,"1,88m",right,"Jun 30, 2025",€4.00m
6,Olympique Lyon,Abner,Left-Back,"1,81m",left,"Jun 30, 2029",€9.00m
7,Olympique Lyon,Nicolás Tagliafico,Left-Back,"1,71m",left,"Jun 30, 2025",€7.00m
8,Olympique Lyon,Ainsley Maitland-Niles,Right-Back,"1,80m",right,"Jun 30, 2027",€10.00m
9,Olympique Lyon,Saël Kumbedi,Right-Back,"1,75m",right,"Jun 30, 2027",€6.00m
10,Olympique Lyon,Clinton Mata,Right-Back,"1,80m",right,"Jun 30, 2026",€4.00m
11,Olympique Lyon,Tanner Tessmann,Defensive Midfield,"1,88m",right,"Jun 30, 2029",€6.00m
12,Olympique Lyon,Nemanja Matic,Defensive Midfield,"1,94m",left,"Jun 30, 2026",€2.50m
13,Olympique Lyon,Paul Akouokou,Defensive Midfield,"1,81m",right,"Jun 30, 2027",€800k
14,Olympique Lyon,Corentin Tolisso,Central Midfield,"1,81m",right,"Jun 30, 2027",€10.00m
15,Olympique Lyon,Jordan Veretout,Central Midfield,"1,77m",right,"Jun 30, 2026",€5.00m
16,Olympique Lyon,Thiago Almada,Attacking Midfield,"1,71m",right,"Jun 30, 2025",€25.00m
17,Olympique Lyon,Malick Fofana,Left Winger,"1,69m",right,"Jun 30, 2028",€25.00m
18,Olympique Lyon,Rayan Cherki,Right Winger,"1,77m",both,"Jun 30, 2026",€35.00m
19,Olympique Lyon,Ernest Nuamah,Right Winger,"1,78m",left,"Jun 30, 2028",€15.00m
20,Olympique Lyon,Georges Mikautadze,Centre-Forward,"1,76m",right,"Jun 30, 2028",€20.00m
21,Olympique Lyon,Alexandre Lacazette,Centre-Forward,"1,75m",right,"Jun 30, 2025",€8.00m
22,Olympique Lyon,Enzo Molebe,Centre-Forward,-,right,"Jun 30, 2027",€100k
