,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Olympique Marseille,Gerónimo Rulli,Goalkeeper,"1,89m",right,"Jun 30, 2027",€8.00m
1,Olympique Marseille,Jeffrey de Lange,Goalkeeper,"1,90m",right,"Jun 30, 2027",€2.50m
2,Olympique Marseille,Rubén Blanco,Goalkeeper,"1,88m",right,"Jun 30, 2026",€1.50m
3,Olympique Marseille,Jelle Van Neck,Goalkeeper,"1,91m",right,"Jun 30, 2027",€100k
4,Olympique Marseille,Leonardo Balerdi,Centre-Back,"1,87m",right,"Jun 30, 2028",€20.00m
5,Olympique Marseille,Luiz Felipe,Centre-Back,"1,87m",right,"Jun 30, 2026",€6.00m
6,Olympique Marseille,Derek Cornelius,Centre-Back,"1,87m",left,"Jun 30, 2028",€5.00m
7,Olympique Marseille,Chancel Mbemba,Centre-Back,"1,82m",right,"Jun 30, 2025",€3.00m
8,Olympique Marseille,Quentin Merlin,Left-Back,"1,74m",left,"Jun 30, 2028",€12.00m
9,Olympique Marseille,Ulisses Garcia,Left-Back,"1,82m",left,"Jun 30, 2028",€4.00m
10,Olympique Marseille,Amar Dedic,Right-Back,"1,80m",right,-,€15.00m
11,Olympique Marseille,Amir Murillo,Right-Back,"1,84m",right,"Jun 30, 2028",€9.00m
12,Olympique Marseille,Pol Lirola,Right-Back,"1,83m",right,"Jun 30, 2026",€4.00m
13,Olympique Marseille,Pierre-Emile Højbjerg,Defensive Midfield,"1,85m",right,"Jun 30, 2025",€20.00m
14,Olympique Marseille,Ismaël Bennacer,Defensive Midfield,"1,75m",left,"Jun 30, 2025",€15.00m
15,Olympique Marseille,Geoffrey Kondogbia,Defensive Midfield,"1,88m",left,"Jun 30, 2027",€8.00m
16,Olympique Marseille,Adrien Rabiot,Central Midfield,"1,91m",left,"Jun 30, 2026",€25.00m
17,Olympique Marseille,Valentin Rongier,Central Midfield,"1,72m",right,"Jun 30, 2026",€9.00m
18,Olympique Marseille,Bilal Nadir,Central Midfield,"1,79m",left,"Jun 30, 2026",€5.00m
19,Olympique Marseille,Amine Harit,Attacking Midfield,"1,80m",right,"Jun 30, 2027",€10.00m
20,Olympique Marseille,Darryl Bakola,Attacking Midfield,"1,78m",right,"Jun 30, 2027",€200k
21,Olympique Marseille,Jonathan Rowe,Left Winger,"1,73m",right,"Jun 30, 2025",€12.00m
22,Olympique Marseille,Mason Greenwood,Right Winger,"1,81m",both,"Jun 30, 2029",€35.00m
23,Olympique Marseille,Luis Henrique,Right Winger,"1,81m",right,"Jun 30, 2028",€18.00m
24,Olympique Marseille,Amine Gouiri,Centre-Forward,"1,81m",right,"Jun 30, 2029",€20.00m
25,Olympique Marseille,Neal Maupay,Centre-Forward,"1,71m",right,"Jun 30, 2025",€10.00m
26,Olympique Marseille,Faris Moumbagna,Centre-Forward,"1,85m",left,"Jun 30, 2028",€8.00m
