,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Paris Saint-Germain,Gianluigi Donnarumma,Goalkeeper,"1,96m",right,"Jun 30, 2026",€35.00m
1,Paris Saint-Germain,Matvey Safonov,Goalkeeper,"1,92m",right,"Jun 30, 2029",€22.00m
2,Paris Saint-Germain,Arnau Tenas,Goalkeeper,"1,85m",right,"Jun 30, 2026",€4.00m
3,Paris Saint-Germain,Willian Pacho,Centre-Back,"1,87m",left,"Jun 30, 2029",€45.00m
4,Paris Saint-Germain,Marquinhos,Centre-Back,"1,83m",right,"Jun 30, 2028",€40.00m
5,Paris Saint-Germain,Lucas Beraldo,Centre-Back,"1,86m",left,"Jun 30, 2028",€25.00m
6,Paris Saint-Germain,Presnel Kimpembe,Centre-Back,"1,83m",left,"Jun 30, 2026",€8.00m
7,Paris Saint-Germain,Nuno Mendes,Left-Back,"1,83m",left,"Jun 30, 2029",€55.00m
8,Paris Saint-Germain,Lucas Hernández,Left-Back,"1,84m",left,"Jun 30, 2028",€30.00m
9,Paris Saint-Germain,Achraf Hakimi,Right-Back,"1,81m",right,"Jun 30, 2029",€65.00m
10,Paris Saint-Germain,Yoram Zague,Right-Back,"1,68m",right,"Jun 30, 2028",€2.50m
11,Paris Saint-Germain,João Neves,Defensive Midfield,"1,74m",right,"Jun 30, 2029",€65.00m
12,Paris Saint-Germain,Vitinha,Central Midfield,"1,72m",right,"Jun 30, 2029",€60.00m
13,Paris Saint-Germain,Warren Zaïre-Emery,Central Midfield,"1,78m",right,"Jun 30, 2029",€60.00m
14,Paris Saint-Germain,Fabián Ruiz,Central Midfield,"1,89m",left,"Jun 30, 2027",€35.00m
15,Paris Saint-Germain,Senny Mayulu,Central Midfield,"1,83m",both,"Jun 30, 2027",€10.00m
16,Paris Saint-Germain,Khvicha Kvaratskhelia,Left Winger,"1,83m",both,"Jun 30, 2029",€80.00m
17,Paris Saint-Germain,Bradley Barcola,Left Winger,"1,82m",right,"Jun 30, 2028",€70.00m
18,Paris Saint-Germain,Désiré Doué,Left Winger,"1,81m",right,"Jun 30, 2029",€60.00m
19,Paris Saint-Germain,Ousmane Dembélé,Right Winger,"1,78m",both,"Jun 30, 2028",€75.00m
20,Paris Saint-Germain,Kang-in Lee,Right Winger,"1,74m",left,"Jun 30, 2028",€30.00m
21,Paris Saint-Germain,Ibrahim Mbaye,Right Winger,-,right,"Jun 30, 2027",€2.00m
22,Paris Saint-Germain,Gonçalo Ramos,Centre-Forward,"1,85m",right,"Jun 30, 2028",€45.00m
