,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,RC Lens,Mathew Ryan,Goalkeeper,"1,84m",right,"Jun 30, 2025",€2.50m
1,RC Lens,Hervé Koffi,Goalkeeper,"1,86m",right,"Jun 30, 2028",€1.50m
2,RC Lens,Denis Petric,Goalkeeper,"1,86m",right,"Jun 30, 2025",€100k
3,RC Lens,Facundo Medina,Centre-Back,"1,84m",left,"Jun 30, 2028",€25.00m
4,RC Lens,Malang Sarr,Centre-Back,"1,83m",left,"Jun 30, 2026",€5.00m
5,RC Lens,Jonathan Gradit,Centre-Back,"1,80m",right,"Jun 30, 2028",€4.00m
6,RC Lens,Juma Bah,Centre-Back,"1,95m",right,"Jun 30, 2025",€4.00m
7,RC Lens,Nidal Celik,Centre-Back,"1,92m",right,"Jun 30, 2029",€1.80m
8,RC Lens,Jhoanner Chávez,Left-Back,"1,82m",left,"Jun 30, 2028",€4.00m
9,RC Lens,Deiver Machado,Left-Back,"1,80m",left,"Jun 30, 2026",€3.50m
10,RC Lens,Ruben Aguilar,Right-Back,"1,72m",right,"Jun 30, 2026",€4.00m
11,RC Lens,Hamzat Ojediran,Defensive Midfield,"1,79m",right,"Jun 30, 2028",€2.00m
12,RC Lens,Nampalys Mendy,Defensive Midfield,"1,68m",right,"Jun 30, 2025",€2.00m
13,RC Lens,Tom Pouilly,Defensive Midfield,"1,80m",right,"Jun 30, 2027",€100k
14,RC Lens,Andy Diouf,Central Midfield,"1,87m",left,"Jun 30, 2028",€10.00m
15,RC Lens,Neil El Aynaoui,Central Midfield,"1,85m",right,"Jun 30, 2027",€10.00m
16,RC Lens,Anass Zaroury,Attacking Midfield,"1,76m",right,"Jun 30, 2028",€8.00m
17,RC Lens,Angelo Fulgini,Attacking Midfield,"1,82m",right,"Jun 30, 2027",€6.00m
18,RC Lens,Adrien Thomasson,Attacking Midfield,"1,75m",right,"Jun 30, 2026",€5.00m
19,RC Lens,Jeremy Agbonifo,Right Winger,"1,78m",left,"Jun 30, 2025",€5.00m
20,RC Lens,M'Bala Nzola,Centre-Forward,"1,85m",left,"Jun 30, 2025",€8.00m
21,RC Lens,Martín Satriano,Centre-Forward,"1,87m",right,"Jun 30, 2025",€5.00m
22,RC Lens,Wesley Saïd,Centre-Forward,"1,71m",right,"Jun 30, 2026",€3.50m
23,RC Lens,Florian Sotoca,Centre-Forward,"1,87m",right,"Jun 30, 2026",€2.50m
24,RC Lens,Rémy Labeau Lascary,Centre-Forward,"1,84m",right,"Jun 30, 2028",€2.50m
25,RC Lens,Goduine Koyalipou,Centre-Forward,"1,84m",right,"Jun 30, 2028",€1.80m
