,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,RC Strasbourg Alsace,Djordje Petrovic,Goalkeeper,"1,90m",right,"Jun 30, 2025",€18.00m
1,RC Strasbourg Alsace,Alaa Bellaarouch,Goalkeeper,"1,89m",right,"Jun 30, 2027",€500k
2,RC Strasbourg Alsace,Karl-Johan Johnsson,Goalkeeper,"1,88m",right,"Jun 30, 2026",€400k
3,RC Strasbourg Alsace,Mamadou Sarr,Centre-Back,"1,94m",right,"Jun 30, 2029",€15.00m
4,RC Strasbourg Alsace,Ismaël Doukouré,Centre-Back,"1,83m",right,"Jun 30, 2026",€15.00m
5,RC Strasbourg Alsace,Abakar Sylla,Centre-Back,"1,88m",left,"Jun 30, 2028",€12.00m
6,RC Strasbourg Alsace,Andrew Omobamidele,Centre-Back,"1,88m",right,"Jun 30, 2025",€10.00m
7,RC Strasbourg Alsace,Yoni Gomis,Centre-Back,"1,86m",left,"Jun 30, 2029",€1.00m
8,RC Strasbourg Alsace,Valentín Barco,Left-Back,"1,70m",left,"Jun 30, 2025",€8.00m
9,RC Strasbourg Alsace,Eduard Sobol,Left-Back,"1,86m",left,"Jun 30, 2026",€1.20m
10,RC Strasbourg Alsace,Thomas Delaine,Left-Back,"1,80m",left,"Jun 30, 2025",€800k
11,RC Strasbourg Alsace,Guéla Doué,Right-Back,"1,87m",right,"Jun 30, 2029",€12.00m
12,RC Strasbourg Alsace,Pape Diong,Defensive Midfield,"1,93m",right,"Jun 30, 2029",€800k
13,RC Strasbourg Alsace,Andrey Santos,Central Midfield,"1,80m",right,"Jun 30, 2025",€25.00m
14,RC Strasbourg Alsace,Habib Diarra,Central Midfield,"1,78m",right,"Jun 30, 2028",€20.00m
15,RC Strasbourg Alsace,Sebastian Nanasi,Left Midfield,"1,78m",right,"Jun 30, 2029",€15.00m
16,RC Strasbourg Alsace,Félix Lemaréchal,Attacking Midfield,"1,80m",right,"Jun 30, 2029",€7.00m
17,RC Strasbourg Alsace,Diego Moreira,Left Winger,"1,79m",left,"Jun 30, 2029",€10.00m
18,RC Strasbourg Alsace,Óscar Perea,Left Winger,"1,74m",right,"Jun 30, 2029",€2.50m
19,RC Strasbourg Alsace,Dilane Bakwa,Right Winger,"1,80m",left,"Jun 30, 2027",€18.00m
20,RC Strasbourg Alsace,Samuel Amo-Ameyaw,Right Winger,"1,74m",left,"Jun 30, 2025",€2.00m
21,RC Strasbourg Alsace,Abdoul Ouattara,Right Winger,"1,80m",,"Jun 30, 2029",€800k
22,RC Strasbourg Alsace,Emanuel Emegha,Centre-Forward,"1,96m",right,"Jun 30, 2028",€20.00m
23,RC Strasbourg Alsace,Sékou Mara,Centre-Forward,"1,83m",right,"Jun 30, 2029",€6.00m
24,RC Strasbourg Alsace,Moïse Sahi Dion,Centre-Forward,"1,75m",left,"Jun 30, 2026",€1.50m
