,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Stade Brestois 29,Marco Bizot,Goalkeeper,"1,93m",right,"Jun 30, 2026",€3.50m
1,Stade Brestois 29,Grégoire Coudert,Goalkeeper,"1,92m",left,"Jun 30, 2027",€400k
2,Stade Brestois 29,Soumaïla Coulibaly,Centre-Back,"1,91m",left,"Jun 30, 2025",€9.00m
3,Stade Brestois 29,Brendan Chardonnet,Centre-Back,"1,81m",right,"Jun 30, 2027",€6.00m
4,Stade Brestois 29,Abdoulaye Ndiaye,Centre-Back,"1,95m",left,"Jun 30, 2025",€3.00m
5,Stade Brestois 29,Julien Le Cardinal,Centre-Back,"1,84m",right,"Jun 30, 2027",€1.50m
6,Stade Brestois 29,Bradley Locko,Left-Back,"1,80m",left,"Jun 30, 2027",€9.00m
7,Stade Brestois 29,Jordan Amavi,Left-Back,"1,76m",left,"Jun 30, 2025",€2.00m
8,Stade Brestois 29,Massadio Haidara,Left-Back,"1,79m",left,"Jun 30, 2025",€1.80m
9,Stade Brestois 29,Justin Bourgault,Left-Back,"1,85m",left,"Jun 30, 2029",€300k
10,Stade Brestois 29,Luck Zogbé,Right-Back,"1,78m",right,"Jun 30, 2027",€3.00m
11,Stade Brestois 29,Kenny Lala,Right-Back,"1,78m",right,"Jun 30, 2027",€2.50m
12,Stade Brestois 29,Pierre Lees-Melou,Defensive Midfield,"1,85m",right,"Jun 30, 2027",€7.00m
13,Stade Brestois 29,Edimilson Fernandes,Defensive Midfield,"1,87m",right,"Jun 30, 2025",€3.50m
14,Stade Brestois 29,Jonas Martin,Defensive Midfield,"1,84m",right,"Jun 30, 2025",€800k
15,Stade Brestois 29,Hamidou Makalou,Defensive Midfield,"1,64m",right,"Jun 30, 2029",€200k
16,Stade Brestois 29,Mahdi Camara,Central Midfield,"1,78m",right,"Jun 30, 2027",€10.00m
17,Stade Brestois 29,Hugo Magnetti,Central Midfield,"1,80m",right,"Jun 30, 2027",€7.00m
18,Stade Brestois 29,Romain Faivre,Right Midfield,"1,80m",left,"Jun 30, 2025",€7.00m
19,Stade Brestois 29,Kamory Doumbia,Attacking Midfield,"1,70m",right,"Jun 30, 2029",€5.00m
20,Stade Brestois 29,Abdallah Sima,Left Winger,"1,88m",right,"Jun 30, 2025",€10.00m
21,Stade Brestois 29,Ibrahim Salah,Left Winger,"1,86m",right,"Jun 30, 2025",€4.00m
22,Stade Brestois 29,Mathias Pereira Lage,Left Winger,"1,80m",right,"Jun 30, 2025",€2.00m
23,Stade Brestois 29,Romain Del Castillo,Right Winger,"1,72m",left,"Jun 30, 2027",€8.00m
24,Stade Brestois 29,Mama Baldé,Centre-Forward,"1,76m",right,"Jun 30, 2027",€4.50m
25,Stade Brestois 29,Ludovic Ajorque,Centre-Forward,"1,96m",left,"Jun 30, 2025",€4.00m
