,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Stade Reims,Yehvann Diouf,Goalkeeper,"1,90m",right,"Jun 30, 2027",€9.00m
1,Stade Reims,Alexandre Olliero,Goalkeeper,"1,93m",right,"Jun 30, 2026",€300k
2,Stade Reims,Ludovic Butelle,Goalkeeper,"1,88m",left,"Jun 30, 2025",€100k
3,Stade Reims,Joseph Okumu,Centre-Back,"1,90m",right,"Jun 30, 2028",€7.00m
4,Stade Reims,Cédric Kipré,Centre-Back,"1,93m",right,"Jun 30, 2027",€3.00m
5,Stade Reims,Malcolm Jeng,Centre-Back,"1,90m",left,"Jun 30, 2029",€2.50m
6,Stade Reims,Abdoul Koné,Centre-Back,"1,92m",right,"Jun 30, 2027",€500k
7,Stade Reims,Sergio Akieme,Left-Back,"1,75m",left,"Jun 30, 2028",€7.00m
8,Stade Reims,Nhoa Sangui,Left-Back,"1,78m",left,"Jun 30, 2027",€2.50m
9,Stade Reims,Aurélio Buta,Right-Back,"1,72m",right,"Jun 30, 2025",€5.00m
10,Stade Reims,Hiroki Sekine,Right-Back,"1,87m",right,"Jun 30, 2029",€800k
11,Stade Reims,Gabriel Moscardo,Defensive Midfield,"1,85m",right,"Jun 30, 2025",€10.00m
12,Stade Reims,Mory Gbane,Defensive Midfield,"1,88m",right,"Jun 30, 2029",€4.00m
13,Stade Reims,Amadou Koné,Defensive Midfield,-,left,"Jun 30, 2028",€1.50m
14,Stade Reims,Valentin Atangana,Central Midfield,"1,76m",right,"Jun 30, 2027",€9.00m
15,Stade Reims,Yaya Fofana,Central Midfield,"1,80m",right,"Jun 30, 2029",€5.00m
16,Stade Reims,Teddy Teuma,Central Midfield,"1,76m",left,"Jun 30, 2027",€4.00m
17,Stade Reims,John Patrick,Central Midfield,"1,92m",right,"Jun 30, 2029",€1.00m
18,Stade Reims,Reda Khadra,Attacking Midfield,"1,75m",right,"Jun 30, 2027",€2.50m
19,Stade Reims,Keito Nakamura,Left Winger,"1,80m",right,"Jun 30, 2028",€10.00m
20,Stade Reims,Mohamed Daramy,Left Winger,"1,80m",right,"Jun 30, 2028",€5.00m
21,Stade Reims,Mamadou Diakhon,Left Winger,"1,80m",left,"Jun 30, 2026",€1.50m
22,Stade Reims,Junya Ito,Right Winger,"1,76m",right,"Jun 30, 2026",€8.00m
23,Stade Reims,Oumar Diakité,Centre-Forward,"1,85m",right,"Jun 30, 2028",€7.00m
24,Stade Reims,Jordan,Centre-Forward,"1,91m",right,"Jun 30, 2027",€3.00m
