,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Stade Rennais FC,Brice Samba,Goalkeeper,"1,87m",left,"Jun 30, 2029",€15.00m
1,Stade Rennais FC,Doğan Alemdar,Goalkeeper,"1,92m",right,"Jun 30, 2027",€2.00m
2,Stade Rennais FC,Gauthier Gallon,Goalkeeper,"1,87m",right,"Jun 30, 2027",€1.00m
3,Stade Rennais FC,Steve Mandanda,Goalkeeper,"1,87m",right,"Jun 30, 2025",€700k
4,Stade Rennais FC,Geoffrey Lembet,Goalkeeper,"1,86m",left,"Jun 30, 2025",€150k
5,Stade Rennais FC,Lilian Brassier,Centre-Back,"1,86m",left,"Jun 30, 2025",€10.00m
6,Stade Rennais FC,Anthony Rouault,Centre-Back,"1,86m",right,"Jun 30, 2029",€10.00m
7,Stade Rennais FC,Alidu Seidu,Centre-Back,"1,73m",right,"Jun 30, 2029",€9.00m
8,Stade Rennais FC,Mikayil Faye,Centre-Back,"1,83m",left,"Jun 30, 2028",€8.00m
9,Stade Rennais FC,Christopher Wooh,Centre-Back,"1,91m",right,"Jun 30, 2026",€7.00m
10,Stade Rennais FC,Jérémy Jacquet,Centre-Back,"1,90m",right,"Jun 30, 2027",€5.00m
11,Stade Rennais FC,Adrien Truffert,Left-Back,"1,76m",left,"Jun 30, 2026",€15.00m
12,Stade Rennais FC,Mahamadou Nagida,Left-Back,"1,76m",left,"Jun 30, 2028",€1.00m
13,Stade Rennais FC,Lorenz Assignon,Right-Back,"1,81m",right,"Jun 30, 2028",€9.00m
14,Stade Rennais FC,Hans Hateboer,Right-Back,"1,87m",right,"Jun 30, 2026",€3.00m
15,Stade Rennais FC,Azor Matusiwa,Defensive Midfield,"1,73m",right,"Jun 30, 2028",€10.00m
16,Stade Rennais FC,Seko Fofana,Central Midfield,"1,85m",right,"Jun 30, 2029",€12.00m
17,Stade Rennais FC,Ismaël Koné,Central Midfield,"1,88m",right,"Jun 30, 2025",€10.00m
18,Stade Rennais FC,Jordan James,Central Midfield,"1,82m",right,"Jun 30, 2028",€8.00m
19,Stade Rennais FC,Naouirou Ahamada,Central Midfield,"1,83m",right,"Jun 30, 2025",€5.00m
20,Stade Rennais FC,Djaoui Cissé,Central Midfield,"1,88m",right,"Jun 30, 2029",€5.00m
21,Stade Rennais FC,Ayanda Sishuba,Attacking Midfield,"1,69m",right,"Jun 30, 2029",€2.00m
22,Stade Rennais FC,Kazeem Olaigbe,Left Winger,"1,78m",right,"Jun 30, 2029",€4.00m
23,Stade Rennais FC,Ludovic Blas,Right Winger,"1,80m",left,"Jun 30, 2027",€18.00m
24,Stade Rennais FC,Mousa Tamari,Right Winger,"1,78m",left,"Jun 30, 2028",€6.00m
25,Stade Rennais FC,Carlos Andrés Gómez,Right Winger,"1,71m",right,"Jun 30, 2029",€5.00m
26,Stade Rennais FC,Arnaud Kalimuendo,Centre-Forward,"1,75m",right,"Jun 30, 2027",€20.00m
27,Stade Rennais FC,Kyogo Furuhashi,Centre-Forward,"1,70m",right,"Jun 30, 2027",€12.00m
28,Stade Rennais FC,Mohamed Kader Meïté,Centre-Forward,-,right,"Jun 30, 2028",€600k
29,Stade Rennais FC,Wilson Samaké,Centre-Forward,"1,82m",right,"Jun 30, 2026",€150k
