,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,AC Milan,Mike Maignan,Goalkeeper,"1,91m",right,"Jun 30, 2026",€25.00m
1,AC Milan,Marco Sportiello,Goalkeeper,"1,92m",right,"Jun 30, 2027",€1.50m
2,AC Milan,Lorenzo Torriani,Goalkeeper,"1,97m",right,"Jun 30, 2027",€500k
3,AC Milan,Fikayo Tomori,Centre-Back,"1,85m",right,"Jun 30, 2027",€20.00m
4,AC Milan,Malick Thiaw,Centre-Back,"1,94m",right,"Jun 30, 2027",€20.00m
5,AC Milan,Strahinja Pavlović,Centre-Back,"1,94m",left,"Jun 30, 2028",€18.00m
6,AC Milan,Matteo Gabbia,Centre-Back,"1,85m",right,"Jun 30, 2029",€14.00m
7,AC Milan,Theo Hernández,Left-Back,"1,84m",left,"Jun 30, 2026",€40.00m
8,AC Milan,Álex Jiménez,Right-Back,"1,77m",right,"Jun 30, 2028",€10.00m
9,AC Milan,Emerson Royal,Right-Back,"1,83m",right,"Jun 30, 2028",€10.00m
10,AC Milan,Kyle Walker,Right-Back,"1,83m",right,"Jun 30, 2025",€6.00m
11,AC Milan,Filippo Terracciano,Right-Back,"1,86m",right,"Jun 30, 2028",€4.50m
12,AC Milan,Alessandro Florenzi,Right-Back,"1,73m",right,"Jun 30, 2025",€1.50m
13,AC Milan,Youssouf Fofana,Defensive Midfield,"1,85m",right,"Jun 30, 2028",€30.00m
14,AC Milan,Tijjani Reijnders,Central Midfield,"1,85m",right,"Jun 30, 2030",€50.00m
15,AC Milan,Yunus Musah,Central Midfield,"1,78m",right,"Jun 30, 2028",€22.00m
16,AC Milan,Ruben Loftus-Cheek,Central Midfield,"1,91m",right,"Jun 30, 2027",€16.00m
17,AC Milan,Warren Bondo,Central Midfield,"1,77m",right,"Jun 30, 2029",€10.00m
18,AC Milan,Rafael Leão,Left Winger,"1,88m",right,"Jun 30, 2028",€75.00m
19,AC Milan,Riccardo Sottil,Left Winger,"1,80m",right,"Jun 30, 2025",€6.00m
20,AC Milan,Christian Pulisic,Right Winger,"1,77m",right,"Jun 30, 2027",€50.00m
21,AC Milan,Samuel Chukwueze,Right Winger,"1,72m",left,"Jun 30, 2028",€14.00m
22,AC Milan,João Félix,Second Striker,"1,81m",right,"Jun 30, 2025",€25.00m
23,AC Milan,Santiago Gimenez,Centre-Forward,"1,83m",left,"Jun 30, 2029",€37.00m
24,AC Milan,Tammy Abraham,Centre-Forward,"1,94m",right,"Jun 30, 2025",€15.00m
25,AC Milan,Luka Jović,Centre-Forward,"1,82m",right,"Jun 30, 2025",€2.50m
