,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,AC Monza,Stefano Turati,Goalkeeper,"1,88m",right,"Jun 30, 2025",€7.50m
1,AC Monza,Semuel Pizzignacco,Goalkeeper,"1,88m",right,"Jun 30, 2027",€800k
2,AC Monza,Andrea Mazza,Goalkeeper,"1,90m",right,"Jun 30, 2027",€75k
3,AC Monza,Tomás Palacios,Centre-Back,"1,96m",left,"Jun 30, 2025",€5.00m
4,AC Monza,Andrea Carboni,Centre-Back,"1,87m",left,"Jun 30, 2027",€3.40m
5,AC Monza,Armando Izzo,Centre-Back,"1,83m",right,"Jun 30, 2026",€2.50m
6,AC Monza,Stefan Leković,Centre-Back,"1,92m",right,"Jun 30, 2025",€1.80m
7,AC Monza,Luca Caldirola,Centre-Back,"1,86m",left,"Jun 30, 2025",€800k
8,AC Monza,Danilo D'Ambrosio,Centre-Back,"1,80m",right,"Jun 30, 2025",€800k
9,AC Monza,Arvid Brorsson,Centre-Back,"1,93m",right,"Jun 30, 2027",€600k
10,AC Monza,Samuele Birindelli,Right-Back,"1,76m",right,"Jun 30, 2026",€3.00m
11,AC Monza,Pedro Pereira,Right-Back,"1,85m",right,"Jun 30, 2025",€1.80m
12,AC Monza,Leonardo Colombo,Defensive Midfield,"1,75m",right,"Jun 30, 2027",€250k
13,AC Monza,Matteo Pessina,Central Midfield,"1,87m",left,"Jun 30, 2027",€9.00m
14,AC Monza,Kacper Urbanski,Central Midfield,"1,83m",right,"Jun 30, 2025",€7.00m
15,AC Monza,Alessandro Bianco,Central Midfield,"1,73m",right,"Jun 30, 2025",€5.00m
16,AC Monza,Gaetano Castrovilli,Central Midfield,"1,87m",right,"Jun 30, 2025",€3.50m
17,AC Monza,Kevin Zeroli,Central Midfield,"1,87m",right,"Jun 30, 2025",€3.50m
18,AC Monza,Roberto Gagliardini,Central Midfield,"1,88m",right,"Jun 30, 2025",€2.00m
19,AC Monza,Stefano Sensi,Central Midfield,"1,68m",right,"Jun 30, 2025",€1.50m
20,AC Monza,Jean-Daniel Akpa Akpro,Central Midfield,"1,80m",right,"Jun 30, 2025",€500k
21,AC Monza,Patrick Ciurria,Right Midfield,"1,78m",both,"Jun 30, 2026",€3.00m
22,AC Monza,Georgios Kyriakopoulos,Left Midfield,"1,86m",left,"Jun 30, 2026",€3.50m
23,AC Monza,Samuele Vignato,Attacking Midfield,"1,72m",right,"Jun 30, 2025",€3.50m
24,AC Monza,Keita Baldé,Left Winger,"1,78m",both,"Jun 30, 2025",€1.00m
25,AC Monza,Omari Forson,Right Winger,"1,79m",left,"Jun 30, 2028",€2.00m
26,AC Monza,Kevin Martins,Right Winger,"1,80m",right,"Jun 30, 2027",€1.50m
27,AC Monza,Dany Mota,Second Striker,"1,80m",right,"Jun 30, 2027",€5.00m
28,AC Monza,Gianluca Caprari,Second Striker,"1,71m",right,"Jun 30, 2026",€1.50m
29,AC Monza,Silvere Ganvoula,Centre-Forward,"1,91m",right,"Jun 30, 2026",€2.00m
30,AC Monza,Andrea Petagna,Centre-Forward,"1,90m",left,"Jun 30, 2027",€1.40m
