,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,ACF Fiorentina,David de Gea,Goalkeeper,"1,92m",right,"Jun 30, 2025",€5.00m
1,ACF Fiorentina,Tommaso Martinelli,Goalkeeper,"1,94m",right,"Jun 30, 2029",€1.80m
2,ACF Fiorentina,Pietro Terracciano,Goalkeeper,"1,93m",right,"Jun 30, 2026",€1.50m
3,ACF Fiorentina,Pietro Comuzzo,Centre-Back,"1,85m",right,"Jun 30, 2028",€25.00m
4,ACF Fiorentina,Luca Ranieri,Centre-Back,"1,87m",left,"Jun 30, 2028",€12.00m
5,ACF Fiorentina,Marin Pongračić,Centre-Back,"1,93m",right,"Jun 30, 2029",€10.00m
6,ACF Fiorentina,Matías Moreno,Centre-Back,"1,93m",right,"Jun 30, 2029",€4.00m
7,ACF Fiorentina,Pablo Marí,Centre-Back,"1,93m",left,"Jun 30, 2027",€3.50m
8,ACF Fiorentina,Robin Gosens,Left-Back,"1,83m",left,"Jun 30, 2025",€8.00m
9,ACF Fiorentina,Fabiano Parisi,Left-Back,"1,78m",left,"Jun 30, 2028",€5.00m
10,ACF Fiorentina,Dodô,Right-Back,"1,66m",right,"Jun 30, 2027",€22.00m
11,ACF Fiorentina,Yacine Adli,Defensive Midfield,"1,86m",right,"Jun 30, 2025",€15.00m
12,ACF Fiorentina,Rolando Mandragora,Defensive Midfield,"1,83m",left,"Jun 30, 2026",€10.00m
13,ACF Fiorentina,Danilo Cataldi,Defensive Midfield,"1,80m",right,"Jun 30, 2025",€4.00m
14,ACF Fiorentina,Nicolò Fagioli,Central Midfield,"1,78m",right,"Jun 30, 2025",€18.00m
15,ACF Fiorentina,Amir Richardson,Central Midfield,"1,97m",left,"Jun 30, 2029",€9.00m
16,ACF Fiorentina,Michael Folorunsho,Central Midfield,"1,90m",right,"Jun 30, 2025",€7.00m
17,ACF Fiorentina,Edoardo Bove,Central Midfield,"1,81m",right,"Jun 30, 2025",€5.00m
18,ACF Fiorentina,Cher Ndour,Central Midfield,"1,90m",both,"Jun 30, 2029",€5.00m
19,ACF Fiorentina,Lucas Beltrán,Attacking Midfield,"1,76m",right,"Jun 30, 2028",€18.00m
20,ACF Fiorentina,Nicolò Zaniolo,Attacking Midfield,"1,90m",left,"Jun 30, 2025",€16.00m
21,ACF Fiorentina,Andrea Colpani,Attacking Midfield,"1,84m",left,"Jun 30, 2025",€12.00m
22,ACF Fiorentina,Maat Daniel Caprini,Left Winger,"1,80m",right,"Jun 30, 2027",€2.00m
23,ACF Fiorentina,Albert Gudmundsson,Second Striker,"1,77m",right,"Jun 30, 2025",€23.00m
24,ACF Fiorentina,Moise Kean,Centre-Forward,"1,83m",right,"Jun 30, 2029",€40.00m
