,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,AS Roma,Mile Svilar,Goalkeeper,"1,89m",right,"Jun 30, 2027",€17.00m
1,AS Roma,Pierluigi Gollini,Goalkeeper,"1,94m",right,"Jun 30, 2027",€1.00m
2,AS Roma,Renato Marin,Goalkeeper,"1,93m",right,"Jun 30, 2025",€500k
3,AS Roma,Evan Ndicka,Centre-Back,"1,92m",left,"Jun 30, 2028",€25.00m
4,AS Roma,Gianluca Mancini,Centre-Back,"1,90m",right,"Jun 30, 2027",€18.00m
5,AS Roma,Victor Nelsson,Centre-Back,"1,85m",right,"Jun 30, 2025",€14.00m
6,AS Roma,Mats Hummels,Centre-Back,"1,91m",right,"Jun 30, 2025",€2.50m
7,AS Roma,Angeliño,Left-Back,"1,71m",left,"Jun 30, 2028",€15.00m
8,AS Roma,Anass Salah-Eddine,Left-Back,"1,81m",left,"Jun 30, 2028",€8.00m
9,AS Roma,Devyne Rensch,Right-Back,"1,81m",right,"Jun 30, 2029",€12.00m
10,AS Roma,Zeki Çelik,Right-Back,"1,80m",right,"Jun 30, 2026",€5.00m
11,AS Roma,Saud Abdulhamid,Right-Back,"1,75m",right,"Jun 30, 2028",€4.00m
12,AS Roma,Buba Sangaré,Right-Back,"1,83m",right,"Jun 30, 2027",€1.00m
13,AS Roma,Lucas Gourna-Douath,Defensive Midfield,"1,85m",right,"Jun 30, 2025",€8.00m
14,AS Roma,Bryan Cristante,Defensive Midfield,"1,86m",right,"Jun 30, 2027",€7.00m
15,AS Roma,Leandro Paredes,Defensive Midfield,"1,80m",right,"Jun 30, 2026",€5.00m
16,AS Roma,Manu Koné,Central Midfield,"1,85m",right,"Jun 30, 2029",€35.00m
17,AS Roma,Niccolò Pisilli,Central Midfield,"1,80m",right,"Jun 30, 2029",€12.00m
18,AS Roma,Lorenzo Pellegrini,Attacking Midfield,"1,86m",right,"Jun 30, 2026",€14.00m
19,AS Roma,Tommaso Baldanzi,Attacking Midfield,"1,70m",left,"Jun 30, 2028",€14.00m
20,AS Roma,Stephan El Shaarawy,Left Winger,"1,78m",right,"Jun 30, 2025",€5.00m
21,AS Roma,Matías Soulé,Right Winger,"1,82m",left,"Jun 30, 2029",€22.00m
22,AS Roma,Alexis Saelemaekers,Right Winger,"1,80m",right,"Jun 30, 2025",€17.00m
23,AS Roma,Paulo Dybala,Second Striker,"1,77m",left,"Jun 30, 2026",€8.00m
24,AS Roma,Artem Dovbyk,Centre-Forward,"1,89m",left,"Jun 30, 2029",€30.00m
25,AS Roma,Eldor Shomurodov,Centre-Forward,"1,90m",right,"Jun 30, 2026",€4.00m
