,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Atalanta BC,Marco Carnesecchi,Goalkeeper,"1,91m",right,"Jun 30, 2028",€25.00m
1,Atalanta BC,Rui Patrício,Goalkeeper,"1,90m",left,"Jun 30, 2025",€1.00m
2,Atalanta BC,Francesco Rossi,Goalkeeper,"1,93m",right,"Jun 30, 2025",€100k
3,Atalanta BC,Giorgio Scalvini,Centre-Back,"1,94m",right,"Jun 30, 2028",€35.00m
4,Atalanta BC,Isak Hien,Centre-Back,"1,91m",right,"Jun 30, 2028",€30.00m
5,Atalanta BC,Odilon Kossounou,Centre-Back,"1,91m",right,"Jun 30, 2025",€25.00m
6,Atalanta BC,Stefan Posch,Centre-Back,"1,90m",right,"Jun 30, 2025",€10.00m
7,Atalanta BC,Sead Kolasinac,Centre-Back,"1,83m",left,"Jun 30, 2026",€10.00m
8,Atalanta BC,Berat Djimsiti,Centre-Back,"1,90m",right,"Jun 30, 2026",€8.00m
9,Atalanta BC,Rafael Tolói,Centre-Back,"1,85m",right,"Jun 30, 2025",€1.50m
10,Atalanta BC,Marten de Roon,Defensive Midfield,"1,85m",right,"Jun 30, 2026",€7.00m
11,Atalanta BC,Ibrahim Sulemana,Defensive Midfield,"1,80m",right,"Jun 30, 2028",€6.00m
12,Atalanta BC,Éderson,Central Midfield,"1,83m",right,"Jun 30, 2027",€50.00m
13,Atalanta BC,Lazar Samardžić,Central Midfield,"1,84m",left,"Jun 30, 2025",€20.00m
14,Atalanta BC,Mario Pasalic,Central Midfield,"1,88m",right,"Jun 30, 2025",€13.00m
15,Atalanta BC,Marco Brescianini,Central Midfield,"1,88m",left,"Jun 30, 2025",€8.00m
16,Atalanta BC,Raoul Bellanova,Right Midfield,"1,88m",right,"Jun 30, 2029",€22.00m
17,Atalanta BC,Davide Zappacosta,Right Midfield,"1,82m",right,"Jun 30, 2025",€6.00m
18,Atalanta BC,Marco Palestra,Right Midfield,"1,86m",right,-,€3.00m
19,Atalanta BC,Juan Cuadrado,Right Midfield,"1,76m",right,"Jun 30, 2025",€1.00m
20,Atalanta BC,Matteo Ruggeri,Left Midfield,"1,87m",left,"Jun 30, 2028",€20.00m
21,Atalanta BC,Charles De Ketelaere,Attacking Midfield,"1,92m",left,"Jun 30, 2028",€38.00m
22,Atalanta BC,Daniel Maldini,Attacking Midfield,"1,88m",right,"Jun 30, 2029",€10.00m
23,Atalanta BC,Ademola Lookman,Second Striker,"1,74m",right,"Jun 30, 2027",€60.00m
24,Atalanta BC,Mateo Retegui,Centre-Forward,"1,86m",right,"Jun 30, 2028",€45.00m
25,Atalanta BC,Gianluca Scamacca,Centre-Forward,"1,95m",right,"Jun 30, 2027",€24.00m
