,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Bologna FC 1909,Lukasz Skorupski,Goalkeeper,"1,88m",right,"Jun 30, 2026",€2.50m
1,Bologna FC 1909,Federico Ravaglia,Goalkeeper,"1,96m",right,"Jun 30, 2028",€1.00m
2,Bologna FC 1909,Nicola Bagnolini,Goalkeeper,"1,94m",right,"Jun 30, 2027",€200k
3,Bologna FC 1909,Sam Beukema,Centre-Back,"1,88m",right,"Jun 30, 2027",€25.00m
4,Bologna FC 1909,Jhon Lucumí,Centre-Back,"1,87m",left,"Jun 30, 2026",€18.00m
5,Bologna FC 1909,Nicolò Casale,Centre-Back,"1,91m",right,"Jun 30, 2025",€7.00m
6,Bologna FC 1909,Martin Erlić,Centre-Back,"1,93m",right,"Jun 30, 2029",€5.00m
7,Bologna FC 1909,Juan Miranda,Left-Back,"1,85m",left,"Jun 30, 2027",€11.00m
8,Bologna FC 1909,Charalampos Lykogiannis,Left-Back,"1,91m",left,"Jun 30, 2025",€1.50m
9,Bologna FC 1909,Emil Holm,Right-Back,"1,91m",right,"Jun 30, 2028",€8.00m
10,Bologna FC 1909,Davide Calabria,Right-Back,"1,76m",right,"Jun 30, 2025",€7.50m
11,Bologna FC 1909,Lorenzo De Silvestri,Right-Back,"1,87m",right,"Jun 30, 2025",€400k
12,Bologna FC 1909,Nikola Moro,Defensive Midfield,"1,84m",right,"Jun 30, 2027",€5.00m
13,Bologna FC 1909,Oussama El Azzouzi,Defensive Midfield,"1,89m",right,"Jun 30, 2027",€2.00m
14,Bologna FC 1909,Lewis Ferguson,Central Midfield,"1,81m",right,"Jun 30, 2028",€24.00m
15,Bologna FC 1909,Tommaso Pobega,Central Midfield,"1,88m",left,"Jun 30, 2025",€10.00m
16,Bologna FC 1909,Michel Aebischer,Central Midfield,"1,83m",right,"Jun 30, 2027",€10.00m
17,Bologna FC 1909,Remo Freuler,Central Midfield,"1,80m",right,"Jun 30, 2026",€6.50m
18,Bologna FC 1909,Andri Fannar Baldursson,Central Midfield,"1,87m",right,"Jun 30, 2025",€900k
19,Bologna FC 1909,Giovanni Fabbian,Attacking Midfield,"1,86m",right,"Jun 30, 2028",€13.00m
20,Bologna FC 1909,Jens Odgaard,Attacking Midfield,"1,88m",left,"Jun 30, 2027",€12.00m
21,Bologna FC 1909,Benja Domínguez,Left Winger,"1,72m",right,"Jun 30, 2029",€15.00m
22,Bologna FC 1909,Nicolò Cambiaghi,Left Winger,"1,73m",right,"Jun 30, 2029",€7.00m
23,Bologna FC 1909,Estanis Pedrola,Left Winger,"1,85m",right,"Jun 30, 2025",€1.80m
24,Bologna FC 1909,Dan Ndoye,Right Winger,"1,84m",right,"Jun 30, 2027",€25.00m
25,Bologna FC 1909,Riccardo Orsolini,Right Winger,"1,83m",left,"Jun 30, 2027",€20.00m
26,Bologna FC 1909,Santiago Castro,Centre-Forward,"1,79m",right,"Jun 30, 2028",€35.00m
27,Bologna FC 1909,Thijs Dallinga,Centre-Forward,"1,90m",right,"Jun 30, 2028",€12.00m
