,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Cagliari Calcio,Elia Caprile,Goalkeeper,"1,91m",right,"Jun 30, 2025",€8.00m
1,Cagliari Calcio,Alen Sherri,Goalkeeper,"1,97m",right,"Jun 30, 2027",€1.00m
2,Cagliari Calcio,Giuseppe Ciocci,Goalkeeper,"1,93m",right,"Jun 30, 2027",€100k
3,Cagliari Calcio,Sebastiano Luperto,Centre-Back,"1,91m",left,"Jun 30, 2028",€3.50m
4,Cagliari Calcio,Yerry Mina,Centre-Back,"1,95m",right,"Jun 30, 2025",€3.00m
5,Cagliari Calcio,Adam Obert,Centre-Back,"1,88m",left,"Jun 30, 2029",€3.00m
6,Cagliari Calcio,José Luis Palomino,Centre-Back,"1,88m",left,"Jun 30, 2025",€700k
7,Cagliari Calcio,Tommaso Augello,Left-Back,"1,80m",left,"Jun 30, 2025",€1.80m
8,Cagliari Calcio,Gabriele Zappa,Right-Back,"1,87m",right,"Jun 30, 2030",€4.00m
9,Cagliari Calcio,Matteo Prati,Defensive Midfield,"1,85m",right,"Jun 30, 2028",€7.00m
10,Cagliari Calcio,Antoine Makoumbou,Defensive Midfield,"1,87m",right,"Jun 30, 2026",€4.00m
11,Cagliari Calcio,Răzvan Marin,Defensive Midfield,"1,78m",right,"Jun 30, 2026",€3.50m
12,Cagliari Calcio,Michel Adopo,Central Midfield,"1,87m",right,"Jun 30, 2025",€3.00m
13,Cagliari Calcio,Alessandro Deiola,Central Midfield,"1,90m",right,"Jun 30, 2029",€1.60m
14,Cagliari Calcio,Nadir Zortea,Right Midfield,"1,87m",right,"Jun 30, 2028",€4.50m
15,Cagliari Calcio,Jakub Jankto,Left Midfield,"1,84m",left,"Jun 30, 2025",€1.00m
16,Cagliari Calcio,Gianluca Gaetano,Attacking Midfield,"1,83m",right,"Jun 30, 2025",€4.00m
17,Cagliari Calcio,Nicolas Viola,Attacking Midfield,"1,80m",left,"Jun 30, 2025",€1.00m
18,Cagliari Calcio,Florinel Coman,Left Winger,"1,82m",right,"Jun 30, 2025",€6.00m
19,Cagliari Calcio,Mattia Felici,Left Winger,"1,82m",right,"Jun 30, 2027",€3.00m
20,Cagliari Calcio,Roberto Piccoli,Centre-Forward,"1,90m",right,"Jun 30, 2025",€8.00m
21,Cagliari Calcio,Zito Luvumbo,Centre-Forward,"1,71m",left,"Jun 30, 2028",€5.50m
22,Cagliari Calcio,Kingstone Mutandwa,Centre-Forward,"1,80m",right,"Jun 30, 2028",€1.00m
23,Cagliari Calcio,Leonardo Pavoletti,Centre-Forward,"1,88m",right,"Jun 30, 2026",€700k
