,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Como 1907,Jean Butez,Goalkeeper,"1,89m",right,"Jun 30, 2028",€3.00m
1,Como 1907,Pepe Reina,Goalkeeper,"1,88m",right,"Jun 30, 2025",€600k
2,Como 1907,Mauro Vigorito,Goalkeeper,"1,87m",right,-,€150k
3,Como 1907,Pierre Bolchini,Goalkeeper,"2,00m",left,-,€50k
4,Como 1907,Alberto Dossena,Centre-Back,"1,95m",right,"Jun 30, 2028",€7.00m
5,Como 1907,Marc Oliver Kempf,Centre-Back,"1,86m",left,"Jun 30, 2027",€2.50m
6,Como 1907,Edoardo Goldaniga,Centre-Back,"1,93m",right,"Jun 30, 2026",€2.00m
7,Como 1907,Fellipe Jack,Centre-Back,"1,87m",left,"Jun 30, 2025",€1.40m
8,Como 1907,Álex Valle,Left-Back,"1,78m",left,"Jun 30, 2025",€4.50m
9,Como 1907,Alberto Moreno,Left-Back,"1,71m",left,"Jun 30, 2025",€1.80m
10,Como 1907,Ignace Van der Brempt,Right-Back,"1,87m",right,"Jun 30, 2025",€4.00m
11,Como 1907,Mërgim Vojvoda,Right-Back,"1,87m",right,"Jun 30, 2028",€3.00m
12,Como 1907,Ivan Smolcic,Right-Back,"1,81m",right,"Jun 30, 2029",€2.00m
13,Como 1907,Máximo Perrone,Defensive Midfield,"1,77m",left,"Jun 30, 2025",€9.00m
14,Como 1907,Yannik Engelhardt,Defensive Midfield,"1,84m",right,"Jun 30, 2027",€7.00m
15,Como 1907,Maxence Caqueret,Central Midfield,"1,74m",right,"Jun 30, 2029",€15.00m
16,Como 1907,Lucas Da Cunha,Central Midfield,"1,74m",left,"Jun 30, 2029",€7.00m
17,Como 1907,Sergi Roberto,Central Midfield,"1,78m",right,"Jun 30, 2026",€2.00m
18,Como 1907,Matthias Braunöder,Central Midfield,"1,74m",right,"Jun 30, 2027",€1.60m
19,Como 1907,Giuseppe Mazzaglia,Central Midfield,"1,80m",right,"Jun 30, 2027",€250k
20,Como 1907,Alessio Iovine,Right Midfield,"1,74m",right,-,€400k
21,Como 1907,Nico Paz,Attacking Midfield,"1,86m",left,"Jun 30, 2028",€35.00m
22,Como 1907,Dele Alli,Attacking Midfield,"1,88m",right,"Jun 30, 2026",€3.50m
23,Como 1907,Naj Razi,Attacking Midfield,"1,75m",both,"Jun 30, 2026",€300k
24,Como 1907,Alieu Fadera,Left Winger,"1,82m",right,"Jun 30, 2028",€5.00m
25,Como 1907,Assane Diao,Right Winger,"1,85m",right,"Jun 30, 2029",€25.00m
26,Como 1907,Jonathan Ikoné,Right Winger,"1,75m",left,"Jun 30, 2025",€8.00m
27,Como 1907,Gabriel Strefezza,Right Winger,"1,68m",right,"Jun 30, 2027",€6.00m
28,Como 1907,Anastasios Douvikas,Centre-Forward,"1,86m",right,"Jun 30, 2029",€8.00m
29,Como 1907,Patrick Cutrone,Centre-Forward,"1,83m",right,"Jun 30, 2028",€7.00m
30,Como 1907,Iván Azón,Centre-Forward,"1,82m",right,"Jun 30, 2029",€3.00m
31,Como 1907,Alessandro Gabrielloni,Centre-Forward,"1,78m",right,"Jun 30, 2027",€1.00m
