,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,FC Empoli,Devis Vásquez,Goalkeeper,"1,95m",right,"Jun 30, 2025",€2.00m
1,FC Empoli,Jacopo Seghetti,Goalkeeper,"1,89m",right,-,€1.00m
2,FC Empoli,Marco Silvestri,Goalkeeper,"1,91m",right,"Jun 30, 2025",€500k
3,FC Empoli,Federico Brancolini,Goalkeeper,"1,92m",right,"Jun 30, 2027",€200k
4,FC Empoli,Saba Goglichidze,Centre-Back,"1,92m",right,"Jun 30, 2027",€8.00m
5,FC Empoli,Mattia Viti,Centre-Back,"1,90m",left,"Jun 30, 2025",€6.50m
6,FC Empoli,Ardian Ismajli,Centre-Back,"1,87m",right,"Jun 30, 2025",€6.00m
7,FC Empoli,Luca Marianucci,Centre-Back,"1,86m",right,-,€5.00m
8,FC Empoli,Saba Sazonov,Centre-Back,"1,94m",right,"Jun 30, 2025",€2.50m
9,FC Empoli,Liberato Cacace,Left-Back,"1,83m",left,"Jun 30, 2026",€3.00m
10,FC Empoli,Giuseppe Pezzella,Left-Back,"1,87m",left,"Jun 30, 2026",€2.50m
11,FC Empoli,Tyronne Ebuehi,Right-Back,"1,87m",right,"Jun 30, 2025",€1.50m
12,FC Empoli,Junior Sambia,Right-Back,"1,85m",right,"Jun 30, 2025",€1.40m
13,FC Empoli,Mattia De Sciglio,Right-Back,"1,83m",right,"Jun 30, 2025",€1.00m
14,FC Empoli,Alberto Grassi,Defensive Midfield,"1,83m",right,"Jun 30, 2026",€2.00m
15,FC Empoli,Jacopo Fazzini,Central Midfield,"1,78m",right,"Jun 30, 2027",€8.00m
16,FC Empoli,Youssef Maleh,Central Midfield,"1,79m",left,"Jun 30, 2025",€4.00m
17,FC Empoli,Szymon Żurkowski,Central Midfield,"1,85m",right,"Jun 30, 2025",€2.50m
18,FC Empoli,Liam Henderson,Central Midfield,"1,83m",right,"Jun 30, 2025",€1.80m
19,FC Empoli,Nicolas Haas,Central Midfield,"1,78m",right,"Jun 30, 2025",€700k
20,FC Empoli,Emmanuel Gyasi,Right Midfield,"1,81m",right,"Jun 30, 2025",€2.00m
21,FC Empoli,Tino Anjorin,Attacking Midfield,"1,86m",right,"Jun 3, 2027",€6.00m
22,FC Empoli,Viktor Kovalenko,Attacking Midfield,"1,82m",right,"Jun 30, 2025",€1.00m
23,FC Empoli,Ola Solbakken,Right Winger,"1,89m",left,"Jun 30, 2025",€2.50m
24,FC Empoli,Sebastiano Esposito,Second Striker,"1,83m",right,"Jun 30, 2025",€10.00m
25,FC Empoli,Christian Kouamé,Centre-Forward,"1,85m",right,"Jun 30, 2025",€6.00m
26,FC Empoli,Lorenzo Colombo,Centre-Forward,"1,83m",left,"Jun 30, 2025",€6.00m
27,FC Empoli,Pietro Pellegri,Centre-Forward,"1,89m",right,"Jun 30, 2025",€2.50m
