,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Genoa CFC,Nicola Leali,Goalkeeper,"1,93m",right,"Jun 30, 2026",€1.50m
1,Genoa CFC,Benjamin Siegrist,Goalkeeper,"1,96m",right,"Jun 30, 2025",€650k
2,Genoa CFC,Daniele Sommariva,Goalkeeper,"1,85m",right,"Jun 30, 2025",€100k
3,Genoa CFC,Koni De Winter,Centre-Back,"1,91m",right,"Jun 30, 2028",€18.00m
4,Genoa CFC,Johan Vásquez,Centre-Back,"1,85m",left,"Jun 30, 2027",€12.00m
5,Genoa CFC,Alan Matturro,Centre-Back,"1,89m",left,"Jun 30, 2026",€8.00m
6,Genoa CFC,Mattia Bani,Centre-Back,"1,88m",right,"Jun 30, 2026",€2.00m
7,Genoa CFC,Sebastian Otoa,Centre-Back,"1,98m",right,"Jun 30, 2028",€2.00m
8,Genoa CFC,Aarón Martín,Left-Back,"1,78m",left,"Jun 30, 2026",€6.50m
9,Genoa CFC,Honest Ahanor,Left-Back,"1,84m",left,"Jun 30, 2027",€3.00m
10,Genoa CFC,Alessandro Zanoli,Right-Back,"1,88m",right,"Jun 30, 2025",€6.00m
11,Genoa CFC,Brooke Norton-Cuffy,Right-Back,"1,81m",right,"Jun 30, 2029",€3.50m
12,Genoa CFC,Stefano Sabelli,Right-Back,"1,76m",right,"Jun 30, 2026",€1.50m
13,Genoa CFC,Jean Onana,Defensive Midfield,"1,89m",right,"Jun 30, 2025",€3.00m
14,Genoa CFC,Lior Kassa,Defensive Midfield,"1,85m",right,"Jun 30, 2025",€1.50m
15,Genoa CFC,Milan Badelj,Defensive Midfield,"1,86m",right,"Jun 30, 2025",€800k
16,Genoa CFC,Morten Frendrup,Central Midfield,"1,78m",right,"Jun 30, 2028",€20.00m
17,Genoa CFC,Fabio Miretti,Central Midfield,"1,80m",right,"Jun 30, 2025",€14.00m
18,Genoa CFC,Patrizio Masini,Central Midfield,"1,82m",right,"Jun 30, 2028",€3.50m
19,Genoa CFC,Morten Thorsby,Central Midfield,"1,88m",right,"Jun 30, 2026",€3.00m
20,Genoa CFC,Ruslan Malinovskyi,Attacking Midfield,"1,81m",left,"Jun 30, 2027",€3.50m
21,Genoa CFC,Hugo Cuenca,Attacking Midfield,"1,83m",left,-,€300k
22,Genoa CFC,Maxwel Cornet,Left Winger,"1,79m",left,"Jun 30, 2025",€8.00m
23,Genoa CFC,Junior Messias,Right Winger,"1,74m",left,"Jun 30, 2025",€2.00m
24,Genoa CFC,Andrea Pinamonti,Centre-Forward,"1,85m",right,"Jun 30, 2025",€16.00m
25,Genoa CFC,Vitinha,Centre-Forward,"1,78m",right,"Jun 30, 2028",€10.00m
26,Genoa CFC,Jeff Ekhator,Centre-Forward,"1,88m",right,"Jun 30, 2029",€5.00m
27,Genoa CFC,Caleb Ekuban,Centre-Forward,"1,82m",right,"Jun 30, 2026",€1.50m
28,Genoa CFC,Mario Balotelli,Centre-Forward,"1,89m",right,"Jun 30, 2025",€500k
