,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Hellas Verona,Lorenzo Montipò,Goalkeeper,"1,91m",right,"Jun 30, 2026",€3.00m
1,Hellas Verona,Federico Magro,Goalkeeper,"1,90m",right,-,€300k
2,Hellas Verona,Simone Perilli,Goalkeeper,"1,96m",right,-,€200k
3,Hellas Verona,Alessandro Berardi,Goalkeeper,"1,85m",right,"Jun 30, 2025",€50k
4,Hellas Verona,Diego Coppola,Centre-Back,"1,93m",right,"Jun 30, 2027",€7.50m
5,Hellas Verona,Nicolás Valentini,Centre-Back,"1,87m",left,"Jun 30, 2025",€4.50m
6,Hellas Verona,Flavius Daniliuc,Centre-Back,"1,88m",right,"Jun 30, 2025",€4.00m
7,Hellas Verona,Daniele Ghilardi,Centre-Back,"1,89m",right,-,€4.00m
8,Hellas Verona,Paweł Dawidowicz,Centre-Back,"1,89m",both,"Jun 30, 2025",€2.50m
9,Hellas Verona,Tobias Slotsager,Centre-Back,"1,90m",right,-,€2.00m
10,Hellas Verona,Luan Patrick,Centre-Back,"1,90m",right,"Jun 30, 2026",€1.30m
11,Hellas Verona,Yllan Okou,Centre-Back,"1,89m",left,"Jun 30, 2025",€900k
12,Hellas Verona,Domagoj Bradarić,Left-Back,"1,78m",left,"Jun 30, 2025",€4.00m
13,Hellas Verona,Martin Frese,Left-Back,"1,79m",left,"Jun 30, 2027",€2.00m
14,Hellas Verona,Jackson Tchatchoua,Right-Back,"1,80m",right,"Jun 30, 2027",€8.00m
15,Hellas Verona,Davide Faraoni,Right-Back,"1,80m",right,"Jun 30, 2025",€1.00m
16,Hellas Verona,Daniel Oyegoke,Right-Back,"1,88m",right,"Jun 30, 2028",€400k
17,Hellas Verona,Cheikh Niasse,Defensive Midfield,"1,88m",right,"Jun 30, 2025",€2.00m
18,Hellas Verona,Suat Serdar,Central Midfield,"1,84m",right,"Jun 30, 2028",€5.00m
19,Hellas Verona,Ondrej Duda,Central Midfield,"1,80m",right,"Jun 30, 2025",€4.00m
20,Hellas Verona,Antoine Bernede,Central Midfield,"1,78m",right,"Jun 30, 2025",€3.50m
21,Hellas Verona,Abdou Harroui,Central Midfield,"1,82m",both,"Jun 30, 2028",€2.00m
22,Hellas Verona,Darko Lazović,Left Midfield,"1,81m",right,"Jun 30, 2025",€1.00m
23,Hellas Verona,Tomas Suslov,Attacking Midfield,"1,74m",left,"Jun 30, 2027",€6.00m
24,Hellas Verona,Grigoris Kastanos,Attacking Midfield,"1,79m",left,"Jun 30, 2025",€1.80m
25,Hellas Verona,Alphadjo Cissè,Attacking Midfield,"1,81m",,-,€1.40m
26,Hellas Verona,Casper Tengstedt,Centre-Forward,"1,84m",right,"Jun 30, 2025",€7.00m
27,Hellas Verona,Amin Sarr,Centre-Forward,"1,88m",right,"Jun 30, 2025",€4.00m
28,Hellas Verona,Daniel Mosquera,Centre-Forward,"1,80m",right,"Jun 30, 2028",€1.50m
29,Hellas Verona,Dailon Rocha Livramento,Centre-Forward,"1,85m",right,"Jun 30, 2028",€800k
30,Hellas Verona,Mathis Lambourde,Centre-Forward,"1,79m",left,"Jun 30, 2029",€500k
31,Hellas Verona,Junior Ajayi,Centre-Forward,"1,85m",right,-,€300k
