,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Inter Milan,Josep Martínez,Goalkeeper,"1,91m",right,"Jun 30, 2029",€12.00m
1,Inter Milan,Yann Sommer,Goalkeeper,"1,83m",right,"Jun 30, 2026",€4.00m
2,Inter Milan,Raffaele Di Gennaro,Goalkeeper,"1,88m",right,"Jun 30, 2025",€300k
3,Inter Milan,Alessandro Bastoni,Centre-Back,"1,90m",left,"Jun 30, 2028",€80.00m
4,Inter Milan,Benjamin Pavard,Centre-Back,"1,86m",right,"Jun 30, 2028",€30.00m
5,Inter Milan,Yann Bisseck,Centre-Back,"1,96m",right,"Jun 30, 2029",€30.00m
6,Inter Milan,Stefan de Vrij,Centre-Back,"1,89m",right,"Jun 30, 2025",€7.00m
7,Inter Milan,Francesco Acerbi,Centre-Back,"1,92m",left,"Jun 30, 2026",€3.00m
8,Inter Milan,Federico Dimarco,Left-Back,"1,75m",left,"Jun 30, 2027",€60.00m
9,Inter Milan,Carlos Augusto,Left-Back,"1,84m",left,"Jun 30, 2028",€22.00m
10,Inter Milan,Denzel Dumfries,Right-Back,"1,88m",right,"Jun 30, 2028",€28.00m
11,Inter Milan,Matteo Darmian,Right-Back,"1,83m",right,"Jun 30, 2026",€4.00m
12,Inter Milan,Hakan Çalhanoğlu,Defensive Midfield,"1,78m",right,"Jun 30, 2027",€35.00m
13,Inter Milan,Kristjan Asllani,Defensive Midfield,"1,75m",right,"Jun 30, 2028",€15.00m
14,Inter Milan,Nicolò Barella,Central Midfield,"1,75m",right,"Jun 30, 2029",€80.00m
15,Inter Milan,Davide Frattesi,Central Midfield,"1,78m",right,"Jun 30, 2028",€32.00m
16,Inter Milan,Piotr Zieliński,Central Midfield,"1,80m",both,"Jun 30, 2028",€14.00m
17,Inter Milan,Henrikh Mkhitaryan,Central Midfield,"1,77m",both,"Jun 30, 2026",€4.00m
18,Inter Milan,Nicola Zalewski,Left Midfield,"1,75m",right,"Jun 30, 2025",€10.00m
19,Inter Milan,Valentín Carboni,Attacking Midfield,"1,85m",left,"Jun 30, 2029",€12.00m
20,Inter Milan,Joaquín Correa,Second Striker,"1,88m",right,"Jun 30, 2025",€3.00m
21,Inter Milan,Lautaro Martínez,Centre-Forward,"1,74m",right,"Jun 30, 2029",€95.00m
22,Inter Milan,Marcus Thuram,Centre-Forward,"1,92m",right,"Jun 30, 2028",€75.00m
23,Inter Milan,Mehdi Taremi,Centre-Forward,"1,85m",right,"Jun 30, 2027",€5.00m
24,Inter Milan,Marko Arnautovic,Centre-Forward,"1,90m",both,"Jun 30, 2025",€3.50m
