,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Juventus FC,Michele Di Gregorio,Goalkeeper,"1,87m",right,"Jun 30, 2025",€18.00m
1,Juventus FC,Mattia Perin,Goalkeeper,"1,88m",right,"Jun 30, 2027",€3.00m
2,Juventus FC,Carlo Pinsoglio,Goalkeeper,"1,94m",left,"Jun 30, 2026",€200k
3,Juventus FC,Bremer,Centre-Back,"1,88m",right,"Jun 30, 2029",€50.00m
4,Juventus FC,Pierre Kalulu,Centre-Back,"1,82m",right,"Jun 30, 2025",€26.00m
5,Juventus FC,Federico Gatti,Centre-Back,"1,90m",right,"Jun 30, 2028",€25.00m
6,Juventus FC,Lloyd Kelly,Centre-Back,"1,89m",left,"Jun 30, 2025",€18.00m
7,Juventus FC,Renato Veiga,Centre-Back,"1,90m",left,"Jun 30, 2025",€18.00m
8,Juventus FC,Andrea Cambiaso,Left-Back,"1,82m",both,"Jun 30, 2029",€40.00m
9,Juventus FC,Juan Cabal,Left-Back,"1,86m",left,"Jun 30, 2029",€9.00m
10,Juventus FC,Jonas Rouhi,Left-Back,"1,83m",left,"Jun 30, 2028",€2.00m
11,Juventus FC,Nicolò Savona,Right-Back,"1,92m",right,"Jun 30, 2029",€14.00m
12,Juventus FC,Alberto Costa,Right-Back,"1,86m",right,"Jun 30, 2029",€10.00m
13,Juventus FC,Manuel Locatelli,Defensive Midfield,"1,85m",right,"Jun 30, 2028",€28.00m
14,Juventus FC,Khéphren Thuram,Central Midfield,"1,92m",right,"Jun 30, 2029",€40.00m
15,Juventus FC,Douglas Luiz,Central Midfield,"1,77m",right,"Jun 30, 2029",€38.00m
16,Juventus FC,Weston McKennie,Central Midfield,"1,85m",right,"Jun 30, 2026",€24.00m
17,Juventus FC,Teun Koopmeiners,Attacking Midfield,"1,84m",left,"Jun 30, 2029",€40.00m
18,Juventus FC,Vasilije Adžić,Attacking Midfield,"1,85m",right,"Jun 30, 2029",€3.00m
19,Juventus FC,Kenan Yıldız,Left Winger,"1,87m",both,"Jun 30, 2029",€45.00m
20,Juventus FC,Samuel Mbangula,Left Winger,"1,79m",right,"Jun 30, 2028",€14.00m
21,Juventus FC,Francisco Conceição,Right Winger,"1,70m",left,"Jun 30, 2025",€36.00m
22,Juventus FC,Nico González,Right Winger,"1,80m",left,"Jun 30, 2025",€28.00m
23,Juventus FC,Timothy Weah,Right Winger,"1,83m",right,"Jun 30, 2028",€17.00m
24,Juventus FC,Dušan Vlahović,Centre-Forward,"1,90m",left,"Jun 30, 2026",€45.00m
25,Juventus FC,Randal Kolo Muani,Centre-Forward,"1,87m",right,"Jun 30, 2025",€30.00m
26,Juventus FC,Arkadiusz Milik,Centre-Forward,"1,86m",left,"Jun 30, 2027",€2.00m
