,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Parma Calcio 1913,Zion Suzuki,Goalkeeper,"1,90m",right,"Jun 30, 2029",€14.00m
1,Parma Calcio 1913,Edoardo Corvi,Goalkeeper,"1,87m",right,"Jun 30, 2027",€350k
2,Parma Calcio 1913,Richard Marcone,Goalkeeper,"1,84m",right,"Jun 30, 2025",€250k
3,Parma Calcio 1913,Alessandro Circati,Centre-Back,"1,90m",right,"Jun 30, 2029",€8.50m
4,Parma Calcio 1913,Giovanni Leoni,Centre-Back,"1,96m",right,"Jun 30, 2029",€6.00m
5,Parma Calcio 1913,Botond Balogh,Centre-Back,"1,89m",right,"Jun 30, 2027",€2.50m
6,Parma Calcio 1913,Alessandro Vogliacco,Centre-Back,"1,86m",right,"Jun 30, 2025",€2.00m
7,Parma Calcio 1913,Yordan Osorio,Centre-Back,"1,89m",right,"Jun 30, 2025",€1.70m
8,Parma Calcio 1913,Lautaro Valenti,Centre-Back,"1,88m",left,"Jun 30, 2027",€1.50m
9,Parma Calcio 1913,Mathias Løvik,Left-Back,"1,83m",left,"Jun 30, 2029",€5.00m
10,Parma Calcio 1913,Emanuele Valeri,Left-Back,"1,80m",left,"Jun 30, 2027",€3.00m
11,Parma Calcio 1913,Enrico Delprato,Right-Back,"1,83m",right,"Jun 30, 2027",€6.00m
12,Parma Calcio 1913,Antoine Hainaut,Right-Back,"1,87m",right,"Jun 30, 2026",€1.00m
13,Parma Calcio 1913,Mandela Keita,Defensive Midfield,"1,80m",right,"Jun 30, 2029",€11.00m
14,Parma Calcio 1913,Nahuel Estévez,Defensive Midfield,"1,81m",right,"Jun 30, 2026",€3.50m
15,Parma Calcio 1913,Adrián Bernabé,Central Midfield,"1,74m",left,"Jun 30, 2027",€15.00m
16,Parma Calcio 1913,Simon Sohm,Central Midfield,"1,88m",right,"Jun 30, 2027",€5.00m
17,Parma Calcio 1913,Hernani,Central Midfield,"1,88m",both,"Jun 30, 2026",€2.00m
18,Parma Calcio 1913,Drissa Camara,Central Midfield,"1,79m",right,"Jun 30, 2025",€1.80m
19,Parma Calcio 1913,Jacob Ondrejka,Left Winger,"1,79m",right,"Jun 30, 2029",€7.00m
20,Parma Calcio 1913,Adrian Benedyczak,Left Winger,"1,91m",both,"Jun 30, 2028",€4.50m
21,Parma Calcio 1913,Valentin Mihăilă,Left Winger,"1,80m",right,"Jun 30, 2027",€3.00m
22,Parma Calcio 1913,Dennis Man,Right Winger,"1,83m",left,"Jun 30, 2027",€12.50m
23,Parma Calcio 1913,Matteo Cancellieri,Right Winger,"1,85m",left,"Jun 30, 2025",€5.00m
24,Parma Calcio 1913,Pontus Almqvist,Right Winger,"1,83m",left,"Jun 30, 2027",€2.50m
25,Parma Calcio 1913,Anas Haj Mohamed,Right Winger,"1,74m",right,"Jun 30, 2026",€1.80m
26,Parma Calcio 1913,Mateusz Kowalski,Second Striker,"1,97m",right,"Jun 30, 2028",€300k
27,Parma Calcio 1913,Ange-Yoan Bonny,Centre-Forward,"1,89m",right,"Jun 30, 2027",€20.00m
28,Parma Calcio 1913,Mateo Pellegrino,Centre-Forward,"1,92m",left,"Jun 30, 2029",€3.50m
29,Parma Calcio 1913,Gabriel Charpentier,Centre-Forward,"1,88m",right,"Jun 30, 2026",€1.60m
30,Parma Calcio 1913,Milan Djuric,Centre-Forward,"1,99m",right,"Jun 30, 2026",€1.50m
