,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,SSC Napoli,Alex Meret,Goalkeeper,"1,90m",left,"Jun 30, 2025",€12.00m
1,SSC Napoli,Simone Scuffet,Goalkeeper,"1,93m",right,"Jun 30, 2025",€2.00m
2,SSC Napoli,Nikita Contini,Goalkeeper,"1,90m",right,"Jun 30, 2025",€400k
3,SSC Napoli,Claudio Turi,Goalkeeper,-,right,-,€150k
4,SSC Napoli,Alessandro Buongiorno,Centre-Back,"1,90m",left,"Jun 30, 2029",€45.00m
5,SSC Napoli,Amir Rrahmani,Centre-Back,"1,92m",right,"Jun 30, 2027",€12.00m
6,SSC Napoli,Rafa Marín,Centre-Back,"1,91m",right,"Jun 30, 2029",€7.00m
7,SSC Napoli,Juan Jesus,Centre-Back,"1,85m",left,"Jun 30, 2025",€1.50m
8,SSC Napoli,Mathías Olivera,Left-Back,"1,85m",left,"Jun 30, 2030",€18.00m
9,SSC Napoli,Leonardo Spinazzola,Left-Back,"1,86m",right,"Jun 30, 2026",€3.50m
10,SSC Napoli,Giovanni Di Lorenzo,Right-Back,"1,83m",right,"Jun 30, 2028",€15.00m
11,SSC Napoli,Pasquale Mazzocchi,Right-Back,"1,83m",right,"Jun 30, 2027",€3.00m
12,SSC Napoli,Stanislav Lobotka,Defensive Midfield,"1,68m",right,"Jun 30, 2027",€25.00m
13,SSC Napoli,Billy Gilmour,Defensive Midfield,"1,70m",right,"Jun 30, 2029",€16.00m
14,SSC Napoli,Scott McTominay,Central Midfield,"1,91m",right,"Jun 30, 2028",€40.00m
15,SSC Napoli,Frank Anguissa,Central Midfield,"1,84m",right,"Jun 30, 2025",€27.00m
16,SSC Napoli,Philip Billing,Central Midfield,"1,93m",left,"Jun 30, 2025",€12.00m
17,SSC Napoli,Luis Hasa,Central Midfield,"1,72m",right,"Jun 30, 2029",€1.00m
18,SSC Napoli,David Neres,Left Winger,"1,76m",left,"Jun 30, 2028",€30.00m
19,SSC Napoli,Noah Okafor,Left Winger,"1,85m",right,"Jun 30, 2025",€15.00m
20,SSC Napoli,Matteo Politano,Right Winger,"1,71m",left,"Jun 30, 2027",€10.00m
21,SSC Napoli,Cyril Ngonge,Right Winger,"1,80m",left,"Jun 30, 2028",€10.00m
22,SSC Napoli,Giacomo Raspadori,Second Striker,"1,72m",right,"Jun 30, 2028",€20.00m
23,SSC Napoli,Romelu Lukaku,Centre-Forward,"1,91m",left,"Jun 30, 2027",€22.00m
24,SSC Napoli,Giovanni Simeone,Centre-Forward,"1,80m",right,"Jun 30, 2026",€8.00m
