,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Torino FC,Vanja Milinković-Savić,Goalkeeper,"2,02m",right,"Jun 30, 2026",€12.00m
1,Torino FC,Alberto Paleari,Goalkeeper,"1,93m",right,"Jun 30, 2026",€500k
2,Torino FC,Antonio Donnarumma,Goalkeeper,"1,92m",right,"Jun 30, 2026",€300k
3,Torino FC,Saúl Coco,Centre-Back,"1,87m",right,"Jun 30, 2028",€12.00m
4,Torino FC,Perr Schuurs,Centre-Back,"1,91m",right,"Jun 30, 2026",€10.00m
5,Torino FC,Sebastian Walukiewicz,Centre-Back,"1,88m",right,"Jun 30, 2027",€5.00m
6,Torino FC,Guillermo Maripán,Centre-Back,"1,93m",right,"Jun 30, 2026",€4.00m
7,Torino FC,Adam Masina,Centre-Back,"1,91m",left,"Jun 30, 2026",€1.50m
8,Torino FC,Cristiano Biraghi,Left-Back,"1,85m",left,"Jun 30, 2025",€2.00m
9,Torino FC,Samuele Ricci,Defensive Midfield,"1,81m",right,"Jun 30, 2028",€30.00m
10,Torino FC,Adrien Tamèze,Defensive Midfield,"1,82m",right,"Jun 30, 2026",€3.50m
11,Torino FC,Ivan Ilić,Central Midfield,"1,86m",left,"Jun 30, 2027",€18.00m
12,Torino FC,Cesare Casadei,Central Midfield,"1,92m",right,"Jun 30, 2029",€15.00m
13,Torino FC,Gvidas Gineitis,Central Midfield,"1,91m",left,"Jun 30, 2028",€5.00m
14,Torino FC,Emirhan İlkhan,Central Midfield,"1,75m",right,"Jun 30, 2026",€2.50m
15,Torino FC,Karol Linetty,Central Midfield,"1,75m",right,"Jun 30, 2025",€2.50m
16,Torino FC,Marcus Pedersen,Right Midfield,"1,84m",right,"Jun 30, 2025",€3.50m
17,Torino FC,Ali Dembélé,Right Midfield,"1,89m",right,"Jun 30, 2026",€800k
18,Torino FC,Borna Sosa,Left Midfield,"1,87m",left,"Jun 30, 2025",€6.00m
19,Torino FC,Valentino Lazaro,Left Midfield,"1,81m",right,"Jun 30, 2025",€4.50m
20,Torino FC,Eljif Elmas,Attacking Midfield,"1,84m",right,"Jun 30, 2025",€14.00m
21,Torino FC,Nikola Vlašić,Attacking Midfield,"1,79m",right,"Jun 30, 2027",€8.00m
22,Torino FC,Alieu Njie,Left Winger,"1,85m",right,"Jun 30, 2027",€2.50m
23,Torino FC,Yann Karamoh,Left Winger,"1,84m",right,"Jun 30, 2025",€2.20m
24,Torino FC,Zanos Savva,Right Winger,"1,91m",left,"Jun 30, 2026",€1.00m
25,Torino FC,Ché Adams,Centre-Forward,"1,79m",right,"Jun 30, 2027",€15.00m
26,Torino FC,Antonio Sanabria,Centre-Forward,"1,80m",right,"Jun 30, 2026",€4.00m
27,Torino FC,Duván Zapata,Centre-Forward,"1,88m",right,"Jun 30, 2027",€4.00m
28,Torino FC,Amine Salama,Centre-Forward,"1,92m",right,"Jun 30, 2025",€1.80m
