,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,US Lecce,Wladimiro Falcone,Goalkeeper,"1,95m",right,"Jun 30, 2028",€4.00m
1,US Lecce,Christian Früchtl,Goalkeeper,"1,93m",left,"Jun 30, 2027",€1.50m
2,US Lecce,Jasper Samooja,Goalkeeper,"1,93m",right,"Jun 30, 2026",€75k
3,US Lecce,Federico Baschirotto,Centre-Back,"1,87m",right,"Jun 30, 2026",€3.80m
4,US Lecce,Kialonda Gaspar,Centre-Back,"1,93m",right,"Jun 30, 2027",€2.50m
5,US Lecce,Gaby Jean,Centre-Back,"1,91m",left,"Jun 30, 2027",€2.00m
6,US Lecce,Tiago Gabriel,Centre-Back,"1,94m",right,"Jun 30, 2027",€1.00m
7,US Lecce,Sebastian Esposito,Centre-Back,"1,91m",right,-,€200k
8,US Lecce,Antonino Gallo,Left-Back,"1,83m",left,"Jun 30, 2026",€4.50m
9,US Lecce,Marco Sala,Left-Back,"1,82m",left,"Jun 30, 2025",€1.00m
10,US Lecce,Vernon Addo,Left-Back,"1,88m",left,"Jun 30, 2027",€150k
11,US Lecce,Frédéric Guilbert,Right-Back,"1,78m",right,"Jun 30, 2026",€2.50m
12,US Lecce,Danilo Veiga,Right-Back,"1,83m",right,"Jun 30, 2027",€1.00m
13,US Lecce,Ylber Ramadani,Defensive Midfield,"1,85m",right,"Jun 30, 2026",€2.20m
14,US Lecce,Balthazar Pierret,Defensive Midfield,"1,86m",left,"Jun 30, 2027",€1.50m
15,US Lecce,Thórir Jóhann Helgason,Central Midfield,"1,87m",right,"Jun 30, 2026",€2.50m
16,US Lecce,Lassana Coulibaly,Central Midfield,"1,83m",right,"Jun 30, 2027",€2.50m
17,US Lecce,Mohamed Kaba,Central Midfield,"1,85m",right,"Jun 30, 2027",€2.30m
18,US Lecce,Hamza Rafia,Central Midfield,"1,81m",right,"Jun 30, 2026",€1.70m
19,US Lecce,Medon Berisha,Central Midfield,"1,86m",right,"Jun 30, 2028",€1.00m
20,US Lecce,Joan González,Central Midfield,"1,90m",right,"Jun 30, 2027",€800k
21,US Lecce,Filip Marchwinski,Attacking Midfield,"1,87m",both,"Jun 30, 2028",€3.00m
22,US Lecce,Lameck Banda,Left Winger,"1,69m",right,"Jun 30, 2026",€6.00m
23,US Lecce,Jesper Karlsson,Left Winger,"1,79m",right,"Jun 30, 2025",€4.50m
24,US Lecce,Tete Morente,Left Winger,"1,84m",right,"Jun 30, 2027",€2.00m
25,US Lecce,Ante Rebić,Left Winger,"1,85m",right,"Jun 30, 2025",€1.50m
26,US Lecce,Nicola Sansone,Left Winger,"1,74m",right,"Jun 30, 2025",€400k
27,US Lecce,Santiago Pierotti,Right Winger,"1,89m",right,"Jun 30, 2027",€4.00m
28,US Lecce,Konan N’Dri,Right Winger,"1,74m",left,"Jun 30, 2027",€1.50m
29,US Lecce,Jeppe Corfitzen,Right Winger,"1,79m",left,"Jun 30, 2025",€400k
30,US Lecce,Nikola Krstović,Centre-Forward,"1,85m",right,"Jun 30, 2027",€14.00m
31,US Lecce,Rareș Burnete,Centre-Forward,"1,85m",right,"Jun 30, 2029",€700k
32,US Lecce,Joel Voelkerling Persson,Centre-Forward,"1,94m",right,"Jun 30, 2027",€350k
