,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Udinese Calcio,Maduka Okoye,Goalkeeper,"1,98m",right,"Jun 30, 2028",€7.50m
1,Udinese Calcio,Răzvan Sava,Goalkeeper,"1,97m",right,"Jun 30, 2029",€2.50m
2,Udinese Calcio,Daniele Padelli,Goalkeeper,"1,91m",right,"Jun 30, 2025",€150k
3,Udinese Calcio,Edoardo Piana,Goalkeeper,"1,98m",right,-,€50k
4,Udinese Calcio,Jaka Bijol,Centre-Back,"1,90m",right,"Jun 30, 2027",€18.00m
5,Udinese Calcio,Oumar Solet,Centre-Back,"1,92m",right,"Jun 30, 2027",€14.00m
6,Udinese Calcio,Isaak Touré,Centre-Back,"2,06m",left,"Jun 30, 2025",€8.00m
7,Udinese Calcio,Thomas Kristensen,Centre-Back,"1,98m",right,"Jun 30, 2028",€6.00m
8,Udinese Calcio,Lautaro Giannetti,Centre-Back,"1,85m",right,"Jun 30, 2026",€2.50m
9,Udinese Calcio,Matteo Palma,Centre-Back,"1,94m",right,"Jun 30, 2027",€1.00m
10,Udinese Calcio,Christian Kabasele,Centre-Back,"1,87m",right,"Jun 30, 2025",€1.00m
11,Udinese Calcio,Jordan Zemura,Left-Back,"1,73m",left,"Jun 30, 2027",€5.00m
12,Udinese Calcio,Hassane Kamara,Left-Back,"1,70m",left,"Jun 30, 2026",€3.50m
13,Udinese Calcio,Kingsley Ehizibue,Right-Back,"1,89m",right,"Jun 30, 2026",€3.00m
14,Udinese Calcio,Jesper Karlström,Defensive Midfield,"1,85m",right,"Jun 30, 2026",€3.50m
15,Udinese Calcio,Sandi Lovrić,Central Midfield,"1,80m",right,"Jun 30, 2027",€8.00m
16,Udinese Calcio,Jurgen Ekkelenkamp,Central Midfield,"1,88m",right,"Jun 30, 2029",€7.50m
17,Udinese Calcio,Martín Payero,Central Midfield,"1,82m",right,"Jun 30, 2027",€6.00m
18,Udinese Calcio,Arthur Atta,Central Midfield,"1,89m",right,"Jun 30, 2025",€2.50m
19,Udinese Calcio,Oier Zarraga,Central Midfield,"1,75m",right,"Jun 30, 2027",€2.00m
20,Udinese Calcio,Rui Modesto,Right Midfield,"1,81m",right,"Jun 30, 2029",€1.80m
21,Udinese Calcio,Simone Pafundi,Attacking Midfield,"1,66m",left,"Jun 30, 2026",€6.00m
22,Udinese Calcio,David Pejičić,Attacking Midfield,-,right,"Jun 30, 2027",€1.00m
23,Udinese Calcio,Florian Thauvin,Second Striker,"1,81m",left,"Jun 30, 2025",€5.00m
24,Udinese Calcio,Lorenzo Lucca,Centre-Forward,"2,01m",right,"Jun 30, 2028",€22.00m
25,Udinese Calcio,Brenner,Centre-Forward,"1,75m",right,"Jun 30, 2028",€4.50m
26,Udinese Calcio,Keinan Davis,Centre-Forward,"1,89m",left,"Jun 30, 2027",€4.00m
27,Udinese Calcio,Damián Pizarro,Centre-Forward,"1,87m",right,"Jun 30, 2029",€4.00m
28,Udinese Calcio,Iker Bravo,Centre-Forward,"1,82m",right,"Jun 30, 2028",€2.50m
29,Udinese Calcio,Alexis Sánchez,Centre-Forward,"1,69m",right,"Jun 30, 2026",€2.00m
