,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Venezia FC,Filip Stanković,Goalkeeper,"1,87m",right,"Jun 30, 2025",€6.00m
1,Venezia FC,Andrei Radu,Goalkeeper,"1,88m",right,"Jun 30, 2025",€2.50m
2,Venezia FC,Jesse Joronen,Goalkeeper,"1,97m",right,"Jun 30, 2025",€600k
3,Venezia FC,Matteo Grandi,Goalkeeper,"1,90m",right,"Jun 30, 2025",€150k
4,Venezia FC,Jay Idzes,Centre-Back,"1,90m",right,"Jun 30, 2027",€5.00m
5,Venezia FC,Joël Schingtienne,Centre-Back,"1,88m",right,"Jun 30, 2029",€3.00m
6,Venezia FC,Michael Svoboda,Centre-Back,"1,95m",right,"Jun 30, 2026",€3.00m
7,Venezia FC,Fali Candé,Centre-Back,"1,84m",left,"Jun 30, 2025",€2.00m
8,Venezia FC,Alessandro Marcandalli,Centre-Back,"1,90m",right,"Jun 30, 2025",€2.00m
9,Venezia FC,Marin Šverko,Centre-Back,"1,87m",left,"Jun 30, 2026",€1.20m
10,Venezia FC,Ridgeciano Haps,Left-Back,"1,75m",left,"Jun 30, 2026",€1.00m
11,Venezia FC,Franco Carboni,Left-Back,"1,90m",left,"Jun 30, 2025",€1.00m
12,Venezia FC,Richie Sagrado,Right-Back,"1,82m",right,"Jun 30, 2028",€2.00m
13,Venezia FC,Francesco Zampano,Right-Back,"1,77m",right,"Jun 30, 2025",€1.10m
14,Venezia FC,Cheick Condé,Defensive Midfield,"1,85m",right,"Jun 30, 2027",€2.00m
15,Venezia FC,Hans Nicolussi Caviglia,Central Midfield,"1,84m",right,"Jun 30, 2025",€8.00m
16,Venezia FC,Gianluca Busio,Central Midfield,"1,72m",right,"Jun 30, 2026",€6.50m
17,Venezia FC,Kike Pérez,Central Midfield,"1,84m",left,"Jun 30, 2027",€2.80m
18,Venezia FC,Mikael Egill Ellertsson,Central Midfield,"1,82m",left,"Jun 30, 2025",€2.80m
19,Venezia FC,Alfred Duncan,Central Midfield,"1,78m",left,"Jun 30, 2026",€2.50m
20,Venezia FC,Issa Doumbia,Central Midfield,"1,87m",right,"Jun 30, 2029",€2.00m
21,Venezia FC,Domen Crnigoj,Central Midfield,"1,88m",right,"Jun 30, 2026",€900k
22,Venezia FC,Bjarki Bjarkason,Left Midfield,"1,80m",right,"Jun 30, 2027",€800k
23,Venezia FC,Gaetano Oristanio,Attacking Midfield,"1,74m",left,"Jun 30, 2029",€6.50m
24,Venezia FC,John Yeboah,Attacking Midfield,"1,70m",left,"Jun 30, 2028",€2.50m
25,Venezia FC,Saad El Haddad,Attacking Midfield,"1,75m",right,"Jun 30, 2027",€250k
26,Venezia FC,Alessio Zerbin,Left Winger,"1,82m",right,"Jun 30, 2025",€4.00m
27,Venezia FC,Daniel Fila,Centre-Forward,"1,90m",left,"Jun 30, 2029",€3.00m
28,Venezia FC,Christian Gytkjær,Centre-Forward,"1,85m",right,"Jun 30, 2025",€700k
29,Venezia FC,Mirko Marić,Centre-Forward,"1,88m",left,"Jun 30, 2025",€700k
