,Name,Club,Age,Height,National,Positions
0,Omar Marmoush,Manchester City,26 years old (07-02-1999),183cm,Egypt,"Attacking Midfielder (Centre, Left), Forward"
1,Harry Kane,Bayern Munich,31 years old (28-07-1993),188cm,England,"Attacking Midfielder (Centre), Forward"
2,Michael Olise,Bayern Munich,23 years old (12-12-2001),184cm,France,"Attacking Midfielder (Centre, Left, Right)"
3,Jamal Musiala,Bayern Munich,22 years old (26-02-2003),184cm,Germany,"Midfielder (Centre, Left, Right)"
4,Florian Wirtz,Bayer Leverkusen,21 years old (03-05-2003),176cm,Germany,"Attacking Midfielder (Centre, Left, Right), Forward"
5,Joshua Kimmich,Bayern Munich,30 years old (08-02-1995),177cm,Germany,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)"
6,Hugo Ekitiké,Eintracht Frankfurt,22 years old (20-06-2002),190cm,France,Forward
7,Tim Kleindienst,Borussia M.Gladbach,29 years old (31-08-1995),194cm,Germany,Forward
8,Xavi Simons,RB Leipzig,22 years old (21-04-2003),179cm,Netherlands,"Attacking Midfielder (Centre, Left, Right), Forward"
9,David Odogu,Wolfsburg,18 years old (03-06-2006),191cm,Germany,Defender
10,Dayot Upamecano,Bayern Munich,26 years old (27-10-1998),186cm,France,Defender (Centre)
11,Serhou Guirassy,Borussia Dortmund,29 years old (12-03-1996),187cm,Guinea,"Attacking Midfielder (Left), Forward"
12,Nadiem Amiri,Mainz 05,28 years old (27-10-1996),180cm,Germany,"Midfielder (Centre, Left, Right)"
13,Maximilian Mittelstädt,VfB Stuttgart,28 years old (18-03-1997),180cm,Germany,"Defender (Left), Midfielder (Centre, Left)"
14,Franck Honorat,Borussia M.Gladbach,28 years old (11-08-1996),180cm,France,"Midfielder (Left, Right), Forward"
15,Mohamed Simakan,Al Nassr FC,24 years old (03-05-2000),187cm,,"Defender (Centre, Right)"
16,Nathaniel Brown,Eintracht Frankfurt,21 years old (16-06-2003),176cm,Germany,"Defender (Left), Midfielder (Left)"
17,Ritsu Doan,Freiburg,26 years old (16-06-1998),172cm,Japan,"Midfielder (Centre, Left, Right), Forward"
18,Tom Bischof,Hoffenheim,19 years old (28-06-2005),176cm,Germany,"Midfielder (Centre, Right)"
19,Moritz Jenz,Mainz 05,26 years old (30-04-1999),190cm,Germany,Defender (Centre)
20,Tiago Pereira Cardoso,Borussia M.Gladbach,19 years old (07-04-2006),191cm,Luxembourg,Goalkeeper
21,Willi Orbán,RB Leipzig,32 years old (03-11-1992),186cm,Hungary,Defender (Centre)
22,Stefan Bell,Mainz 05,33 years old (24-08-1991),192cm,Germany,"Defender (Centre, Right)"
23,Alphonso Davies,Bayern Munich,24 years old (02-11-2000),183cm,Canada,"Defender (Left), Midfielder (Left, Right)"
