,TotAD,WonAD,LostAD
0,1.2,0.4,0.8
1,1.6,1,0.7
2,0.6,0.3,0.4
3,0.8,0.3,0.6
4,1.5,0.3,1.3
5,0.7,0.4,0.3
6,3.2,1.4,1.8
7,8.6,4.7,4
8,1.8,0.8,1
9,6,4.5,1.5
10,5.1,3,2.1
11,7.3,4,3.3
12,1.2,0.6,0.6
13,1.4,0.9,0.5
14,0.9,0.3,0.6
15,4,3,1
16,0.9,0.3,0.6
17,1.4,0.5,0.9
18,1.1,0.4,0.7
19,6.2,3.9,2.2
20,0.8,0.8,-
21,6,4.2,1.9
22,6.5,4.3,2.1
23,0.9,0.5,0.4
24,1,0.5,0.5
25,1,0.4,0.6
26,0.4,0.4,-
27,2.2,0.7,1.5
28,0.8,0.3,0.5
29,2.9,1.7,1.3
30,4.8,2.7,2.1
31,0.5,0.3,0.2
32,2,1.3,0.8
33,0.4,0.2,0.2
34,4.7,3,1.7
35,2.1,1.1,1
36,3.3,1.9,1.4
37,4,2.2,1.8
38,0.7,0.7,-
39,1.2,0.5,0.7
40,3.1,1.4,1.7
41,3.9,2.2,1.7
42,0.7,0.3,0.3
43,1.6,0.7,0.9
44,1.6,0.7,0.9
45,2.8,1.4,1.3
46,4.2,2.9,1.3
47,1.5,0.6,0.9
48,5.1,3.2,1.9
49,0.4,0.4,0.1
50,0.8,0.5,0.3
51,3.3,1.9,1.4
52,3.4,0.7,2.7
53,3.1,2.2,0.9
54,4.8,2.6,2.2
55,5,3.3,1.7
56,0.9,0.9,-
57,0.3,0.3,-
58,8,5.4,2.6
59,1.7,0.7,1
60,2,1.1,0.9
61,0.7,0.7,-
62,2.3,1.3,1
63,5.6,2.8,2.8
64,4.3,2.5,1.8
65,1.4,0.5,0.9
66,2.9,1.7,1.1
67,3.9,1.6,2.2
68,3.7,2,1.7
69,1.1,0.4,0.8
70,0.4,0.2,0.2
71,3,2.3,0.7
72,3.5,2.3,1.2
73,0.9,0.5,0.4
74,2.9,1.9,1
75,3,1.5,1.5
76,3.1,1.5,1.7
77,0.4,0.4,-
78,1,0.4,0.6
79,2.9,1.7,1.2
80,0.5,0.5,-
81,1.3,0.5,0.7
82,3.3,2.2,1.1
83,6.8,1.9,4.9
84,5.3,3,2.3
85,2.7,1.1,1.6
86,2.8,1,1.8
87,9.6,5.4,4.2
88,2.8,1.4,1.4
89,0.4,0.3,-
90,2.6,1.7,0.9
91,1.4,0.6,0.9
92,4.8,2.7,2.1
93,1.7,0.7,1
94,5.9,3.7,2.2
95,2,1.2,0.8
96,0.8,0.3,0.5
97,6.4,3.2,3.1
98,3,1.5,1.4
99,2.5,0.6,1.9
100,2.2,1.1,1.2
101,2.3,0.9,1.3
102,1.7,0.5,1.1
103,1.4,0.3,1.1
104,2.3,0.9,1.4
105,0.3,0.3,-
106,1.2,0.6,0.6
107,4.1,2.5,1.6
108,1.4,0.7,0.7
109,-,-,-
110,0.4,-,0.4
111,1.4,0.4,1
112,4,2.2,1.8
113,1.5,0.8,0.7
114,1.8,1.1,0.6
115,0.3,0.2,0.1
116,3.2,2.2,1
117,1.8,0.7,1.1
118,6.4,2.5,3.9
119,0.9,0.2,0.7
120,3.4,2.4,1
121,3.1,1.7,1.4
122,1.2,0.4,0.8
123,1.9,0.8,1.1
124,1.5,1,0.5
125,1.4,0.6,0.9
126,0.7,0.1,0.6
127,2.2,0.8,1.3
128,2,1.2,0.9
129,1,0.8,0.2
130,4.2,1.7,2.4
131,0.3,0.3,-
132,4.8,3.1,1.7
133,3.4,2,1.4
134,3.4,1.7,1.7
135,0.3,0.3,-
136,5.2,2.9,2.3
137,2.5,1.6,0.9
138,0.7,0.1,0.5
139,0.4,0.2,0.2
140,2.8,1.8,1
141,2.9,1,1.9
142,3.4,1.7,1.7
143,0.5,0.2,0.3
144,5.4,3.5,1.9
145,1.2,0.5,0.7
146,4,2.3,1.8
147,1,1,-
148,1.2,0.4,0.7
149,0.9,0.6,0.3
150,0.4,0.1,0.3
151,1.9,1.2,0.6
152,3.2,1.5,1.7
153,1.3,0.6,0.7
154,1.7,0.9,0.8
155,1.8,0.9,0.9
156,7.7,3.7,4
157,1.5,0.9,0.6
158,0.5,0.3,0.3
159,3.2,1.6,1.6
160,0.5,0.1,0.4
161,3.1,1.9,1.2
162,0.9,0.5,0.3
163,2.8,1.4,1.3
164,1.2,0.3,1
165,3,1.9,1.1
166,2.3,1.2,1.1
167,4.3,2.4,1.9
168,2.5,1.3,1.3
169,1.6,0.8,0.9
170,4.5,2.7,1.8
171,1.2,0.6,0.6
172,2,0.9,1.1
173,2.6,1.1,1.5
174,1.7,0.7,1
175,1.4,0.3,1.1
176,1.2,0.8,0.4
177,1.8,0.9,0.9
178,0.9,0.2,0.7
179,3.6,2.4,1.1
180,0.8,0.4,0.4
181,1.5,0.6,1
182,2.9,1.7,1.2
183,1,0.5,0.5
184,1,0.5,0.5
185,0.7,0.5,0.2
186,0.2,0.1,0.1
187,2.8,0.8,2
188,1.2,0.6,0.6
189,1.9,0.8,1.1
190,0.5,0.3,0.3
191,4.1,2.6,1.5
192,2.9,1.7,1.2
193,1,1,-
194,2,1.2,0.8
195,4.7,2.1,2.7
196,0.4,0.1,0.3
197,1,0.5,0.5
198,0.9,0.7,0.2
199,4.5,2,2.5
200,-,-,-
201,5.4,2.8,2.7
202,0.6,0.3,0.3
203,2.3,1.1,1.2
204,1.2,0.6,0.6
205,2.6,1.3,1.3
206,0.7,0.1,0.5
207,2.1,0.6,1.5
208,3.6,1.7,1.9
209,1.6,0.2,1.4
210,5,2.3,2.7
211,0.4,0.2,0.2
212,1.6,0.8,0.9
213,2.3,1.3,1
214,4.4,2.8,1.7
215,1.8,0.6,1.2
216,2.3,1.2,1.1
