,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
0,0.2,0.2,0.1,-,-,0.3,0.5
1,-,-,0.1,-,-,0.2,0.2
2,0.1,-,-,-,-,0.3,0.4
3,-,-,-,-,-,0.1,0.1
4,0.1,-,0.1,-,-,0.1,0.4
5,0.1,-,-,-,-,0.1,0.2
6,-,-,-,-,-,0.2,0.2
7,-,-,-,-,-,0.1,0.2
8,-,-,0.1,-,-,0.1,0.2
9,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-
11,-,-,-,-,-,-,0.1
12,-,-,-,-,-,0.1,0.1
13,0.1,-,-,-,-,0.1,0.2
14,0.3,0.1,-,-,-,0.1,0.4
15,-,-,-,-,-,-,-
16,0.1,0.1,-,-,-,0.1,0.3
17,0.1,-,-,-,-,0.1,0.2
18,-,-,-,-,-,-,0.1
19,-,-,-,-,-,-,-
20,-,-,-,-,-,-,-
21,-,-,-,-,-,-,-
22,-,-,-,-,-,0.1,0.1
23,-,-,-,-,-,0.1,0.1
24,0.1,0.1,-,-,-,0.2,0.3
25,0.1,0.1,-,-,-,0.1,0.2
26,-,-,-,-,-,-,-
27,-,-,-,-,-,0.3,0.3
28,-,-,-,-,-,0.2,0.2
29,0.1,-,0.1,-,-,-,0.2
30,-,-,-,-,-,0.1,0.1
31,-,-,-,-,-,0.1,0.1
32,-,-,-,-,-,0.2,0.2
33,-,-,-,-,-,0.1,0.1
34,-,-,-,-,-,-,-
35,0.1,-,-,-,-,0.1,0.2
36,-,-,-,-,-,-,0.1
37,-,-,-,-,-,-,-
38,-,-,-,-,-,-,-
39,-,-,-,-,-,0.1,0.1
40,-,-,-,-,-,-,-
41,-,-,-,-,-,0.1,0.2
42,-,-,-,-,-,0.1,0.1
43,0.1,-,-,-,-,0.1,0.1
44,0.1,-,0.1,-,-,0.1,0.3
45,-,-,-,-,-,-,-
46,-,-,-,-,-,-,-
47,0.1,-,-,-,-,0.1,0.2
48,-,-,-,-,-,-,-
49,-,-,-,-,-,-,-
50,-,-,-,-,-,-,-
51,-,-,-,-,-,-,0.1
52,-,-,-,-,-,0.1,0.1
53,-,-,-,-,-,-,-
54,-,-,-,-,-,-,-
55,-,-,-,-,-,-,-
56,-,-,-,-,-,-,-
57,-,-,-,-,-,-,-
58,-,-,-,-,-,-,-
59,0.2,-,-,-,-,-,0.2
60,-,-,0.1,-,-,0.1,0.2
61,-,-,-,-,-,-,-
62,-,-,-,-,-,0.1,0.1
63,-,-,-,-,-,-,-
64,-,-,-,-,-,0.1,0.1
65,0.2,0.1,-,0.1,-,-,0.2
66,-,-,-,-,-,0.1,0.1
67,-,-,-,-,-,0.1,0.2
68,-,-,-,-,-,-,-
69,0.1,-,-,-,-,-,0.1
70,-,-,-,-,-,0.1,0.2
71,-,-,-,-,-,-,-
72,0.1,0.1,-,-,-,0.1,0.2
73,-,-,-,-,-,-,-
74,-,-,-,-,-,0.1,0.1
75,-,-,-,-,-,-,0.1
76,-,-,-,-,-,0.1,0.2
77,-,-,-,-,-,-,-
78,-,-,-,-,-,0.2,0.2
79,-,-,-,-,-,0.1,0.1
80,-,-,-,-,-,-,-
81,-,-,-,-,-,-,-
82,-,-,-,-,-,-,-
83,-,-,-,-,-,0.2,0.2
84,-,-,0.1,-,-,0.1,0.2
85,0.1,-,-,-,-,0.1,0.2
86,-,-,-,-,-,0.1,0.1
87,-,-,-,-,-,0.1,0.1
88,-,-,-,-,-,-,-
89,-,-,-,-,-,-,-
90,-,-,-,-,-,-,-
91,-,-,-,-,-,0.2,0.2
92,-,-,-,-,-,0.1,0.1
93,-,-,-,-,-,0.2,0.2
94,-,-,-,-,-,-,-
95,-,-,-,-,-,-,-
96,-,-,-,-,-,-,0.1
97,-,-,0.1,-,-,-,0.1
98,-,-,-,-,-,-,-
99,-,-,-,-,-,0.1,0.1
100,-,-,-,-,-,-,-
101,-,-,-,-,-,-,-
102,-,-,-,-,-,0.1,0.1
103,-,-,-,-,-,0.1,0.1
104,-,-,-,-,-,-,-
105,-,-,-,-,-,-,-
106,0.1,-,0.1,-,-,0.1,0.2
107,-,-,-,-,-,-,-
108,-,-,-,-,-,0.1,0.2
109,-,-,-,-,-,-,-
110,-,-,0.1,-,-,0.1,0.3
111,-,-,-,-,-,0.1,0.2
112,-,-,-,-,-,-,-
113,-,-,-,-,-,0.1,0.2
114,-,-,-,-,-,-,-
115,-,-,-,-,-,-,-
116,-,-,0.1,-,-,-,0.1
117,-,-,-,-,-,-,-
118,-,-,-,-,-,0.1,0.1
119,0.1,-,-,-,-,0.1,0.2
120,-,-,-,-,-,-,-
121,-,-,-,-,-,0.1,0.1
122,-,-,-,-,-,0.1,0.1
123,0.2,-,-,-,-,0.1,0.3
124,0.1,-,-,-,-,-,0.1
125,-,-,-,-,-,0.1,0.1
126,-,-,-,-,-,-,0.1
127,-,-,-,-,-,-,0.1
128,-,-,-,-,-,0.1,0.2
129,-,-,-,-,-,-,-
130,-,-,-,-,-,0.1,0.1
131,-,-,-,-,-,-,-
132,-,-,-,-,-,-,-
133,-,-,-,-,-,0.1,0.1
134,-,-,-,-,-,0.1,0.1
135,-,-,-,-,-,-,-
136,-,-,-,-,-,-,-
137,-,-,-,-,-,-,-
138,-,-,-,-,-,0.1,0.1
139,-,-,-,-,-,-,0.1
140,-,-,-,-,-,-,-
141,-,-,-,-,-,-,-
142,-,-,-,-,-,-,-
143,0.1,-,-,-,-,0.1,0.1
144,-,-,-,-,-,-,-
145,0.1,-,-,-,-,0.1,0.2
146,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-
148,0.1,-,-,-,-,-,0.2
149,0.1,-,-,-,-,-,0.1
150,0.1,0.1,-,-,-,-,0.1
151,-,-,-,-,-,-,0.1
152,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-
156,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-
158,0.1,0.1,-,-,-,-,0.1
159,-,-,-,-,-,-,-
160,-,-,-,-,-,-,0.1
161,-,-,-,-,-,-,-
162,-,-,-,-,-,-,-
163,-,-,-,-,-,-,-
164,-,-,-,-,-,-,0.1
165,-,-,-,-,-,-,-
166,0.1,0.1,-,-,-,-,0.1
167,-,-,-,-,-,0.1,0.1
168,-,-,-,-,-,-,-
169,-,-,-,-,-,-,-
