,BlkSh,BlkCr,BlkPs
0,0.1,-,0.4
1,0.1,-,0.4
2,-,0.1,0.7
3,-,-,1.2
4,-,-,0.9
5,0.1,0.2,0.6
6,-,-,0.4
7,0.3,0.1,1.2
8,0.1,0.1,0.5
9,1,1,-
10,0.4,-,0.5
11,0.1,-,0.2
12,0.1,0.1,0.5
13,0.4,0.2,1.1
14,0.1,0.3,0.5
15,-,-,-
16,-,0.4,1.3
17,0.1,0.3,1.6
18,0.4,-,1.8
19,0.7,0.2,0.5
20,-,-,-
21,1.2,0.1,0.6
22,0.8,-,0.1
23,0.1,0.1,0.7
24,0.1,0.1,0.6
25,0.1,0.2,0.7
26,-,-,-
27,0.1,0.1,1.3
28,-,-,0.4
29,0.7,0.3,0.6
30,0.8,0.2,1.2
31,-,-,0.3
32,0.2,0.1,0.7
33,-,-,0.6
34,0.4,0.1,0.5
35,0.3,0.2,0.8
36,0.4,-,1
37,1.2,0.2,0.3
38,-,-,-
39,-,-,0.6
40,-,-,0.2
41,0.1,-,0.3
42,-,-,0.4
43,0.1,-,1.3
44,0.3,0.1,0.7
45,0.9,0.2,0.7
46,1,-,0.5
47,0.3,0.2,0.8
48,0.9,-,0.7
49,-,-,0.1
50,-,-,-
51,0.6,0.4,0.6
52,-,-,0.3
53,1,0.3,0.7
54,0.4,0.1,1.5
55,0.9,0.1,0.5
56,-,-,-
57,-,-,-
58,1,0.3,0.8
59,-,-,0.2
60,0.3,0.2,1.2
61,-,-,-
62,0.5,0.3,1.2
63,-,0.1,1.2
64,0.4,-,0.5
65,0.4,-,0.4
66,0.6,0.1,0.6
67,0.1,0.1,1
68,0.9,-,0.7
69,0.4,0.4,1.2
70,-,-,0.4
71,0.5,0.1,0.2
72,0.7,-,0.7
73,0.2,-,0.8
74,0.4,-,0.6
75,-,0.1,0.5
76,0.2,0.2,1
77,-,-,-
78,-,-,0.5
79,-,-,0.1
80,-,-,-
81,0.5,0.1,0.8
82,0.7,-,0.7
83,-,-,0.8
84,0.2,-,0.8
85,0.1,0.2,0.9
86,-,0.1,0.9
87,-,-,0.4
88,0.7,-,0.7
89,-,-,-
90,0.5,0.1,0.8
91,0.3,0.3,0.3
92,0.2,0.1,0.8
