,YelC,RedC
0,0.1,-
1,0.2,-
2,0.1,-
3,0.1,-
4,0.1,-
5,0.1,-
6,-,-
7,0.1,-
8,0.2,-
9,-,-
10,0.3,-
11,0.1,-
12,0.2,0.1
13,0.2,-
14,-,-
15,-,-
16,-,-
17,0.1,-
18,0.2,-
19,0.2,-
20,-,-
21,0.2,0.1
22,0.2,-
23,-,-
24,0.1,-
25,0.1,-
26,-,-
27,0.2,-
28,-,-
29,0.4,0.1
30,0.1,-
31,0.1,-
32,0.1,-
33,0.1,-
34,0.1,-
35,0.2,-
36,0.3,-
37,-,-
38,-,-
39,0.2,-
40,0.1,-
41,-,-
42,0.1,-
43,0.1,-
44,0.2,-
45,0.4,-
46,0.2,-
47,0.2,-
48,0.1,-
49,-,-
50,-,-
51,0.2,-
52,-,-
53,0.1,-
54,0.1,-
55,0.1,-
56,-,-
57,0.1,-
58,-,0.1
59,0.1,-
60,0.4,-
61,0.1,-
62,0.1,-
63,0.3,-
64,-,-
65,0.3,-
66,0.2,-
67,0.1,-
68,0.3,0.1
69,0.3,-
70,-,-
71,0.1,-
72,0.2,0.1
73,0.1,-
74,0.3,-
75,0.1,-
76,0.2,-
77,-,-
78,0.1,-
79,0.1,-
80,-,-
81,-,-
82,0.2,-
83,-,-
84,0.1,-
85,0.2,-
86,0.2,-
87,0.1,-
88,0.3,-
89,0.1,-
90,0.2,-
91,-,-
92,0.1,-
93,0.1,-
94,0.3,-
95,0.1,-
96,-,-
97,0.1,-
98,0.1,-
99,0.1,-
100,0.2,-
101,0.1,-
102,0.1,-
103,0.1,-
104,0.4,-
105,-,-
106,0.1,-
107,0.3,-
108,0.1,-
109,-,-
110,-,-
111,-,-
112,0.3,-
113,0.1,-
114,0.1,-
115,-,-
116,0.1,0.1
117,0.2,-
118,0.3,-
119,0.1,-
120,0.1,-
121,0.3,-
122,0.2,-
123,0.1,-
124,0.2,-
125,0.1,-
126,-,-
127,0.1,-
128,0.2,-
129,0.2,-
130,0.1,-
131,-,-
132,0.2,-
133,0.1,-
134,0.3,-
135,0.1,-
136,0.1,-
137,0.1,-
138,0.1,-
139,0.2,-
140,0.1,-
141,0.1,-
142,0.1,-
143,0.1,-
144,0.3,-
145,-,0.1
146,-,-
147,-,-
148,0.1,-
149,0.2,-
150,0.1,-
151,0.2,-
152,-,-
153,0.3,-
154,0.1,-
155,0.3,-
156,0.1,-
157,0.3,-
158,-,-
159,-,-
160,-,-
161,0.1,-
162,0.1,-
163,0.2,-
164,-,-
165,0.2,-
166,0.1,-
167,0.3,-
168,0.3,-
169,0.1,-
170,0.2,-
171,0.1,-
172,0.1,-
173,0.1,-
174,0.2,-
175,0.2,-
176,-,-
177,-,-
178,0.3,-
179,0.1,-
180,0.1,-
181,0.2,-
182,0.1,-
183,0.2,-
184,0.3,-
185,0.1,-
186,-,-
187,0.1,-
188,0.2,-
189,0.1,-
190,0.1,-
191,0.2,-
192,0.1,-
193,-,-
194,0.1,-
195,0.1,-
196,-,-
