,TotClr
0,0.1
1,0.5
2,0.3
3,0.2
4,0.2
5,0.8
6,0.8
7,2.1
8,0.6
9,11.5
10,2.3
11,1.2
12,1
13,2.9
14,1.4
15,-
16,1.9
17,0.9
18,1.6
19,6.6
20,1.2
21,6.7
22,5.9
23,1.1
24,0.5
25,1.3
26,1.3
27,0.7
28,0.5
29,6.2
30,5.2
31,0.1
32,1.4
33,0.1
34,3.2
35,1.3
36,3.5
37,6.5
38,0.5
39,0.3
40,0.5
41,0.7
42,0.7
43,0.3
44,1.5
45,4.4
46,7.9
47,1.8
48,5.9
49,0.8
50,0.5
51,3
52,0.5
53,5.3
54,1.6
55,5.8
56,1.6
57,2
58,10
59,0.8
60,1.3
61,1.3
62,2.7
63,1.2
64,3.3
65,2.5
66,3.7
67,1.1
68,5.2
69,2.1
70,0.4
71,4.5
72,3.4
73,0.6
74,5.6
75,0.8
76,0.3
77,0.9
78,0.2
79,0.3
80,2
81,1.8
82,5.5
83,0.4
84,2.2
85,1.6
86,0.9
87,1
88,4.4
89,0.8
90,2.1
91,1.9
92,0.9
93,0.3
94,4.2
95,0.9
96,0.5
97,0.5
98,5.2
99,0.8
100,3.3
101,2.1
102,0.3
103,0.9
104,1.2
105,1.2
106,0.6
107,4.5
108,0.7
109,-
110,0.4
111,0.4
112,1.8
113,0.4
114,3
115,0.7
116,3.8
117,0.5
118,1
119,0.3
120,5.9
121,1.7
122,0.9
123,0.8
124,3.3
125,2.3
126,0.3
127,0.3
128,2.4
129,2
130,0.4
131,1.1
132,4.3
133,4.6
134,2.6
135,1.1
136,5
137,3
138,0.7
139,0.7
140,4.9
141,2.3
142,1.5
143,0.9
144,5.9
145,2.9
146,3.5
147,-
148,0.5
149,1.8
150,0.9
151,2.4
152,3.9
153,1.1
154,1.1
155,2.1
156,0.4
157,1
158,2.6
159,4.9
160,0.3
161,3.5
162,1.7
163,1.8
164,0.4
165,3
166,1.3
167,5
168,2.2
169,0.1
170,6.3
171,0.5
172,0.5
173,0.2
174,1.3
175,0.5
176,1.6
177,0.5
178,0.2
179,1.1
180,0.9
181,1.6
182,3.5
183,1.5
184,0.7
185,0.4
186,0.7
187,0.3
188,1.4
189,2.1
190,1.5
191,3.1
192,3.8
193,1
194,1.4
195,0.7
196,0.5
197,2.8
198,1.7
199,-
200,0.8
201,4.7
202,1.9
203,1.8
204,0.9
205,4
206,0.9
207,0.5
208,3.6
209,2.6
210,0.8
211,0.2
212,2.1
213,1.6
214,2.6
215,2.3
216,2.2
217,1.9
218,-
219,4.1
220,0.6
221,1.6
222,0.3
223,1.7
224,2.6
225,4.4
226,2
227,4.5
228,0.8
229,1.9
230,0.6
231,-
232,1
233,2.3
234,3.4
235,0.1
236,0.3
237,0.7
238,0.6
239,1.7
240,0.4
241,0.7
242,1.5
243,4.1
244,2.5
245,2.7
246,0.9
247,1.1
248,0.2
249,1.7
250,3.6
251,2.3
252,0.8
253,0.4
254,1.5
255,1.9
256,0.6
257,1.5
258,4.1
259,1
260,2.6
261,2.5
262,1
263,2.8
264,0.1
265,0.3
266,2.7
267,2.3
268,3.4
269,0.5
270,1.1
271,1
272,0.8
273,2.1
274,0.5
275,1.4
276,0.8
277,0.1
278,0.6
279,1.5
280,0.7
281,0.9
282,0.9
283,0.8
284,0.3
285,3.5
286,2.9
287,1.4
288,2.8
289,0.1
290,1
291,2.4
292,0.3
293,0.2
294,1.1
295,2.5
296,0.8
297,0.8
298,3.6
299,0.9
300,0.1
301,1.6
302,1.2
303,1.3
304,0.5
305,1.2
306,-
307,1.8
308,1.2
309,0.3
310,0.4
311,0.2
312,0.6
313,0.3
314,-
315,2.6
316,2.8
317,0.4
318,0.3
319,1.3
320,0.3
321,0.5
322,0.6
323,1.4
324,0.4
325,1.3
326,0.1
327,4.4
328,0.3
329,3.2
330,3
331,0.6
332,0.3
333,4.7
334,0.2
335,4.1
336,0.1
337,2.4
338,0.9
339,0.4
340,0.8
341,3.4
342,0.4
343,-
344,0.9
345,0.2
346,4
347,1.2
348,2.8
349,4.1
350,0.4
351,1.8
352,0.7
353,0.6
354,0.1
355,0.4
356,1
357,0.8
358,0.4
359,0.2
360,0.5
361,0.4
362,1.4
363,3.3
364,-
365,1
366,1.5
367,-
368,0.3
369,0.6
370,0.3
371,1
372,1
373,-
374,1.4
375,1.1
376,0.5
377,0.7
378,0.5
379,0.3
380,0.3
381,0.7
382,0.3
383,0.8
384,1.7
385,1.1
386,0.2
387,0.5
388,0.6
389,0.2
390,1
391,-
392,0.5
393,0.8
394,-
395,1.1
396,1.1
397,0.9
398,0.6
399,0.2
400,-
401,1.6
402,0.1
403,1.9
404,0.1
405,1
406,0.6
407,2.7
408,0.8
409,0.4
410,-
411,2
412,1.1
413,0.6
414,0.5
415,0.2
416,0.3
417,0.2
418,0.4
419,0.4
420,0.7
421,-
422,-
423,0.5
424,0.8
425,0.3
426,0.8
427,0.1
428,0.1
429,0.5
430,0.2
431,-
432,0.3
433,0.6
434,0.1
435,-
436,0.3
437,0.5
438,1
439,0.3
440,-
441,0.3
442,0.9
443,1
444,0.5
445,-
446,0.1
447,0.1
448,1
449,1.1
450,0.1
451,-
452,0.4
453,0.4
454,0.1
455,1.2
456,-
457,-
458,-
459,0.2
460,-
461,-
462,-
463,0.3
464,-
465,-
466,-
467,-
468,-
469,-
470,0.3
471,-
472,0.6
473,0.4
474,2.3
475,0.5
476,0.3
477,-
478,1
479,-
480,-
481,1
482,-
483,0.7
484,-
485,-
486,2
