,UnDrib,SucDrib,TotDrib
0,3.2,2.7,5.9
1,1,0.8,1.8
2,2.2,1.9,4.1
3,2.8,2.9,5.6
4,2.7,2.7,5.4
5,0.3,0.3,0.6
6,2,1.6,3.6
7,0.7,0.4,1.1
8,2.5,1.3,3.8
9,-,-,-
10,0.2,0.2,0.3
11,0.8,0.3,1
12,1.2,1.1,2.3
13,0.6,0.6,1.2
14,1.1,0.6,1.8
15,1,-,1
16,0.9,0.4,1.3
17,2.1,1.6,3.7
18,1.1,0.9,1.9
19,0.2,0.1,0.3
20,-,-,-
21,-,0.1,0.2
22,0.3,0.1,0.3
23,1.9,1.6,3.6
24,0.6,0.8,1.4
25,0.9,0.6,1.6
26,-,-,-
27,1.8,1.2,3
28,1.3,1.5,2.8
29,0.3,0.1,0.3
30,0.2,0.3,0.5
31,2,1.3,3.3
32,0.3,0.2,0.5
33,3.1,2.7,5.7
34,0.1,0.1,0.2
35,1.1,1,2
36,0.6,0.4,1.1
37,-,-,-
38,-,-,-
39,1.8,1.5,3.3
40,0.5,0.3,0.8
41,1.2,1.3,2.4
42,0.5,0.4,0.9
43,1.6,1.3,3
44,0.3,0.7,1
45,0.1,0.2,0.3
46,0.1,0.1,0.2
47,0.8,0.4,1.2
48,0.2,0.2,0.3
49,-,-,-
50,-,-,-
51,0.3,0.1,0.4
52,0.8,0.5,1.3
53,0.1,0.2,0.4
54,0.5,0.9,1.5
55,0.1,-,0.1
56,-,-,-
57,-,-,-
58,-,0.3,0.3
59,0.4,0.2,0.6
60,0.4,0.3,0.6
61,-,-,-
62,0.7,0.8,1.4
63,1,0.9,1.9
64,0.1,0.1,0.2
65,0.2,-,0.2
66,0.2,0.8,1
67,0.6,0.4,1
68,-,0.3,0.3
69,1.5,0.9,2.4
70,0.8,0.6,1.5
71,0.1,0.1,0.2
72,0.3,0.6,1
73,-,0.3,0.3
74,0.2,0.2,0.4
75,1.1,1.2,2.3
76,1.1,1.2,2.3
77,-,-,-
78,2,1.7,3.6
79,1.1,0.8,1.9
80,-,-,-
81,0.8,0.7,1.4
82,0.3,0.4,0.7
83,1.3,0.7,2
84,0.5,0.3,0.8
85,1.5,1,2.6
86,1.6,1.2,2.8
87,0.3,0.3,0.7
88,0.1,0.5,0.6
89,-,-,-
90,0.4,-,0.4
91,0.2,0.1,0.3
92,0.5,0.6,1.1
93,1.6,0.6,2.2
94,0.1,0.1,0.2
95,-,0.3,0.3
96,2.1,1.7,3.8
97,0.4,0.2,0.7
98,0.1,0.3,0.4
99,1.2,0.8,2
100,0.1,0.1,0.2
101,1.1,0.4,1.5
102,0.9,0.6,1.5
103,0.7,0.6,1.3
104,1.2,0.6,1.8
105,-,-,-
106,1.1,0.8,1.9
107,0.1,0.1,0.2
108,1,0.9,2
109,-,-,-
110,0.2,0.3,0.5
111,1.1,0.6,1.8
112,1,1,1.9
113,1,0.8,1.8
114,0.6,0.7,1.2
115,-,-,-
116,-,0.2,0.2
117,0.8,1,1.8
118,0.6,0.4,1
119,0.8,0.6,1.3
120,0.1,-,0.1
121,0.2,0.4,0.7
122,0.9,1.2,2.1
123,0.2,0.1,0.3
124,0.2,0.1,0.3
125,0.4,1,1.4
126,1.9,1.5,3.4
127,0.5,0.3,0.8
128,0.4,0.2,0.6
129,0.3,0.2,0.5
130,1.3,1.2,2.5
131,-,-,-
132,0.1,0.1,0.2
133,0.2,0.2,0.4
134,0.6,0.5,1.1
135,-,0.1,0.1
136,0.1,0.1,0.2
137,0.4,0.5,0.9
138,0.7,0.6,1.3
139,1.7,1.6,3.3
140,-,-,-
141,0.9,0.6,1.5
142,0.4,0.4,0.8
143,0.6,0.6,1.1
144,-,0.1,0.1
145,0.2,0.3,0.5
146,0.5,0.8,1.3
147,-,1,1
148,1.7,0.7,2.4
149,0.3,0.6,0.9
150,-,0.2,0.2
151,-,0.2,0.2
152,0.4,0.3,0.6
153,1.2,0.6,1.8
154,0.3,0.5,0.8
155,0.6,0.4,0.9
156,0.4,0.1,0.5
157,0.1,0.1,0.2
158,0.6,0.4,1
159,0.1,0.2,0.3
160,0.6,0.4,1
161,0.2,0.1,0.3
162,0.2,0.1,0.3
163,0.2,0.1,0.3
164,0.4,0.6,1
165,0.3,0.4,0.7
166,0.6,0.4,1
167,0.3,0.1,0.4
168,0.5,0.6,1.1
169,0.8,0.8,1.5
170,-,-,-
171,0.8,0.3,1.1
172,0.1,0.3,0.5
173,0.6,0.1,0.8
174,0.8,0.5,1.3
175,1.6,0.9,2.5
176,0.2,0.3,0.5
177,1.4,0.8,2.2
178,1.3,1.1,2.4
179,-,0.1,0.1
180,0.2,0.3,0.5
181,0.9,0.8,1.7
182,0.2,0.1,0.3
183,1.4,0.7,2.2
184,0.5,0.5,1
185,0.6,0.8,1.4
186,0.6,0.2,0.8
187,2.2,1.3,3.5
188,0.1,0.4,0.5
189,0.2,0.1,0.3
190,0.8,0.6,1.4
191,0.4,0.1,0.5
192,0.2,0.1,0.3
193,-,-,-
194,0.6,0.5,1.1
195,0.7,0.2,0.9
196,1.4,1.3,2.7
197,1,0.5,1.5
198,0.8,0.6,1.4
199,-,1,1
200,-,-,-
201,0.3,0.1,0.3
202,0.9,0.7,1.5
203,0.2,0.3,0.5
204,0.8,0.9,1.8
205,-,-,-
206,0.3,0.5,0.8
207,1.6,1.6,3.2
208,0.1,0.1,0.1
209,0.8,0.4,1.2
210,0.5,0.5,0.9
211,0.6,0.5,1.1
212,1,0.9,1.9
213,0.5,0.4,0.9
214,0.5,0.2,0.6
215,0.8,0.3,1.2
216,0.4,0.1,0.5
217,0.6,0.4,1.1
218,0.8,1,1.8
219,0.2,0.2,0.4
220,1,1.2,2.2
221,0.1,0.2,0.3
222,1.3,0.8,2
223,0.3,0.4,0.7
224,0.9,1,1.9
225,-,0.2,0.2
226,0.1,0.2,0.3
227,-,0.2,0.2
228,1.6,0.8,2.3
229,0.2,0.3,0.4
230,-,0.1,0.1
231,0.6,0.6,1.1
232,-,0.2,0.2
233,0.5,0.4,0.9
234,0.2,0.2,0.5
235,0.5,0.5,1
236,-,-,-
237,0.9,0.6,1.4
238,0.6,0.5,1.1
239,0.6,0.2,0.8
240,0.3,0.2,0.4
241,0.9,0.5,1.4
242,0.2,0.1,0.3
243,0.1,0.1,0.2
244,0.1,-,0.1
245,0.1,0.3,0.3
246,1,0.5,1.5
247,1,0.9,1.9
248,0.9,0.8,1.7
249,-,-,-
250,0.1,-,0.1
251,0.1,0.2,0.3
252,0.3,0.4,0.6
