,Fouled,Fouls
0,3.2,0.5
1,0.7,0.3
2,2,0.6
3,2.2,0.8
4,1.3,0.7
5,0.8,0.5
6,0.5,1.1
7,0.8,2.4
8,2.2,1.1
9,-,1
10,0.6,1
11,1.9,0.6
12,1.8,1.6
13,1.4,0.8
14,0.2,0.3
15,1,-
16,0.9,0.5
17,1.5,0.8
18,1.1,1.5
19,0.3,1.4
20,-,-
21,0.6,0.9
22,0.5,1.4
23,1.4,0.4
24,0.3,0.4
25,0.8,0.4
26,0.1,-
27,0.7,1
28,0.3,0.4
29,0.5,1.2
30,1.2,0.8
31,0.9,0.6
32,1,1
33,1.4,0.9
34,0.1,0.9
35,0.3,1.1
36,1.1,1.3
37,0.6,0.4
38,-,-
39,1.3,1
40,0.6,0.7
41,0.6,0.9
42,0.3,0.4
43,1.2,0.9
44,1.5,0.7
45,1.3,1.7
46,0.2,0.3
47,0.4,1
48,0.6,0.5
49,-,-
50,0.3,-
51,1.4,0.9
52,0.8,0.7
53,0.3,0.3
54,0.9,0.5
55,0.3,0.8
56,0.2,-
57,0.1,-
58,0.5,1.9
59,0.6,0.2
60,1.1,1.4
61,0.2,-
62,0.4,0.8
63,1.2,1.9
64,0.2,0.8
65,1.9,1
66,0.9,0.7
67,1.2,0.7
68,0.7,1
69,0.6,0.6
70,0.2,0.7
71,0.2,0.5
72,0.8,0.8
73,0.5,0.9
74,0.4,0.7
75,1.2,0.6
76,1.4,1.2
77,-,-
78,0.8,1
79,0.4,0.7
80,-,0.2
81,1.5,0.8
82,0.4,0.9
83,1.2,0.6
84,0.6,1.3
85,1.4,1
86,0.8,1.2
87,1,1.2
88,0.3,1.1
89,-,-
90,0.8,0.9
91,0.7,0.4
92,1,1
93,2.4,0.9
94,0.5,1.2
95,0.4,0.5
96,1.2,0.6
97,1.3,0.5
98,0.6,0.4
99,1.1,1.2
100,0.7,0.8
101,1.9,0.6
102,1.2,0.6
103,0.7,0.9
104,1.1,1.5
105,-,-
106,0.6,0.6
107,0.8,1.2
108,0.7,0.7
109,-,-
110,0.7,0.4
111,0.3,0.2
112,0.9,2.3
113,0.6,0.6
114,0.7,0.5
115,-,-
116,0.6,0.6
117,1.5,0.5
118,1.5,1.7
119,0.9,0.4
120,0.5,0.7
121,1.9,1.1
122,0.9,1.2
123,0.4,0.5
124,0.2,0.6
125,0.7,0.8
126,2.4,0.7
127,0.7,0.9
128,0.8,0.8
129,0.5,0.3
130,1.3,0.9
131,0.2,-
132,0.8,0.4
133,0.4,0.9
134,0.6,1.1
135,0.1,-
136,0.4,1.1
137,0.7,0.8
138,1.4,0.7
139,1.1,0.7
140,1.2,1.2
141,1.4,0.5
142,0.8,0.6
143,0.2,0.5
144,0.7,1
145,-,0.5
146,0.3,0.5
147,1,-
148,0.9,0.6
149,0.6,0.9
150,0.3,0.2
151,0.8,0.7
152,0.2,0.7
153,2.5,1.6
154,1,0.8
155,0.8,1.1
156,0.5,0.9
157,0.8,1.4
158,0.8,0.1
159,0.5,0.4
160,0.6,0.6
161,0.4,1
162,0.6,0.6
163,0.6,1.4
164,0.9,0.7
165,0.2,1.2
166,0.7,0.6
167,0.5,0.7
168,0.9,0.4
169,0.6,0.4
170,-,1.1
171,0.7,0.9
172,0.8,0.5
173,0.9,0.7
174,1.1,0.8
175,1.6,1
176,0.4,0.1
177,2.5,0.4
178,1.3,0.8
179,0.7,1.6
180,0.2,0.7
181,0.6,0.8
182,0.6,0.6
183,0.6,0.4
184,0.4,1.3
185,0.3,0.4
186,0.2,0.2
187,1.4,1.2
188,0.7,0.8
189,0.1,0.8
190,0.4,0.6
191,0.6,1.2
192,0.5,0.9
193,-,1
194,1.3,1.1
195,0.8,1.5
196,0.2,0.2
197,0.9,1
198,0.7,0.5
199,1.5,1
200,-,-
201,0.7,1.5
202,0.3,0.5
203,0.5,0.5
204,1.2,0.8
205,0.7,0.6
206,0.3,0.8
207,1.3,0.7
208,0.6,0.4
209,0.6,0.2
210,0.4,1.1
211,0.8,0.4
212,1.1,0.8
213,0.9,0.8
214,1.4,1.2
215,1.1,0.7
216,1.2,0.5
217,1.2,1
218,0.3,1.2
219,1.6,1.9
220,0.3,0.6
221,0.5,0.9
222,1.3,0.8
223,0.3,0.7
224,1.6,0.8
225,0.4,0.5
226,0.3,0.9
227,0.3,0.5
228,0.9,0.4
229,0.3,0.8
230,0.1,-
231,0.4,0.6
232,0.7,1.1
233,1.1,1
234,0.8,0.8
235,0.5,0.8
236,-,-
237,1,1.4
238,0.9,0.8
239,0.5,1
240,0.3,0.5
241,0.6,0.4
242,0.1,0.5
243,0.1,0.4
244,0.1,0.9
245,0.6,0.3
246,0.5,0.5
247,0.7,0.2
248,0.5,0.5
249,-,-
250,0.3,0.8
251,0.6,0.4
252,0.9,0.7
253,0.7,0.7
254,0.3,0.6
255,1.3,0.8
256,0.2,1.1
257,0.3,0.5
258,0.5,1.1
259,-,-
260,0.2,0.2
261,0.3,0.8
262,-,5
263,0.2,1
264,0.3,0.8
265,0.5,0.7
266,0.4,0.7
267,0.5,0.7
268,0.4,1
269,-,-
270,0.7,0.9
271,0.9,0.6
272,0.1,-
273,0.8,0.7
274,0.3,1
275,0.8,0.4
276,0.7,0.6
277,0.5,0.1
278,0.6,0.9
279,0.3,0.3
280,0.6,1.4
281,0.2,0.5
282,0.8,0.6
283,0.2,-
284,0.3,0.4
285,0.1,0.3
286,0.3,0.7
287,0.4,0.8
288,0.2,1
289,0.6,0.1
290,-,-
