,TotGs,SYBGs,PAGs,OOBGs
0,0.9,0.1,0.7,0.1
1,0.8,0.1,0.6,0.1
2,0.3,-,0.2,0.1
3,0.5,0.2,0.3,-
4,0.3,0.1,0.3,-
5,0.1,-,-,-
6,0.5,0.3,0.2,-
7,0.5,0.2,0.3,-
8,0.4,-,0.3,0.1
9,-,-,-,-
10,0.1,-,0.1,-
11,0.6,0.3,0.4,-
12,0.2,-,0.1,0.1
13,-,-,-,-
14,0.2,0.1,0.1,-
15,-,-,-,-
16,0.1,0.1,-,-
17,0.3,0.1,0.1,0.1
18,0.2,-,-,0.1
19,-,-,-,-
20,-,-,-,-
21,0.2,0.2,-,-
22,-,-,-,-
23,0.1,0.1,-,-
24,0.3,-,0.2,0.1
25,0.1,-,-,-
26,-,-,-,-
27,0.4,0.1,0.3,-
28,0.2,-,0.1,0.1
29,-,-,-,-
30,-,-,-,-
31,0.4,0.1,0.2,-
32,0.1,-,-,0.1
33,0.3,0.1,0.2,-
34,0.1,-,-,-
35,-,-,-,-
36,-,-,-,-
37,-,-,-,-
38,-,-,-,-
39,0.4,-,0.3,0.1
40,0.7,0.1,0.5,0.1
41,0.4,-,0.3,0.1
42,0.2,-,0.1,-
43,0.1,-,0.1,0.1
44,-,-,-,-
45,0.1,0.1,-,-
46,0.1,0.1,-,-
47,-,-,-,-
48,-,-,-,-
49,-,-,-,-
50,-,-,-,-
51,0.1,-,-,-
52,0.6,0.3,0.2,-
53,-,-,-,-
54,-,-,-,-
55,0.1,0.1,-,-
56,-,-,-,-
57,-,-,-,-
58,-,-,-,-
59,0.2,-,0.2,-
60,0.3,0.1,0.2,-
61,-,-,-,-
62,0.1,-,-,-
63,0.2,-,0.2,-
64,0.1,0.1,-,-
65,0.1,-,-,0.1
66,0.1,-,-,-
67,0.2,0.1,0.1,-
68,-,-,-,-
69,-,-,-,-
70,0.3,0.1,0.2,-
71,0.1,-,-,-
72,-,-,-,-
73,0.1,-,-,0.1
74,-,-,-,-
75,0.3,-,0.2,-
76,0.1,-,-,-
77,-,-,-,-
78,0.2,-,0.2,-
79,0.4,0.2,0.3,-
80,-,-,-,-
81,-,-,-,-
82,0.1,-,0.1,-
83,0.2,-,0.2,-
84,-,-,-,-
85,0.2,0.1,0.1,-
86,0.3,-,0.2,0.1
87,0.1,0.1,-,-
88,0.1,-,0.1,-
89,-,-,-,-
90,0.2,0.1,0.1,-
91,0.1,0.1,-,-
92,0.2,-,0.2,-
93,0.3,-,0.2,0.1
94,-,-,-,-
95,0.2,-,0.1,0.1
96,0.1,-,0.1,-
97,0.3,-,0.2,-
98,-,-,-,-
99,0.3,-,0.2,-
100,-,-,-,-
101,0.2,-,0.1,0.1
102,0.4,0.1,0.3,-
103,0.1,-,0.1,0.1
104,0.2,-,0.2,-
105,-,-,-,-
106,0.1,-,0.1,-
107,0.1,-,0.1,-
108,0.1,-,0.1,-
109,-,-,-,-
110,-,-,-,-
111,0.1,-,0.1,-
112,0.1,-,0.1,-
113,0.3,0.1,0.1,-
114,-,-,-,-
115,-,-,-,-
116,0.2,-,0.2,-
117,0.2,-,0.2,-
118,0.3,-,0.3,-
119,0.4,0.1,0.3,-
120,-,-,-,-
121,-,-,-,-
122,-,-,-,-
