,TotInt
0,0.1
1,0.1
2,0.3
3,0.3
4,0.3
5,0.7
6,0.2
7,0.4
8,0.5
9,1
10,1.7
11,0.1
12,0.6
13,1.4
14,0.3
15,2
16,0.6
17,0.5
18,1
19,1.6
20,-
21,0.8
22,1.6
23,0.7
24,0.2
25,0.5
26,-
27,0.3
28,0.3
29,1.6
30,1.9
31,0.2
32,0.4
33,0.3
34,1.4
35,0.7
36,1.5
37,1.3
38,-
39,0.6
40,0.1
41,0.2
42,0.4
43,0.4
44,0.8
45,1.6
46,1.2
47,0.4
48,2.1
49,0.1
50,-
51,1
52,-
53,1.8
54,1.8
55,0.8
56,-
57,-
58,0.6
59,0.3
60,0.7
61,-
62,0.7
63,0.6
64,1
65,0.9
66,1
67,1.1
68,1.4
69,1.5
70,0.2
71,1.1
72,1
73,0.2
74,1
75,0.2
76,1.1
77,-
78,0.3
79,-
80,-
81,1.8
82,0.8
83,0.3
84,1.2
85,0.7
86,0.2
87,0.1
88,1.4
89,-
90,2
91,0.3
92,0.2
93,0.2
94,1.4
95,0.7
96,0.4
97,0.2
98,1.3
99,0.4
100,1.2
101,0.8
102,0.1
103,1
104,0.6
105,-
106,0.3
107,1.3
108,0.4
109,-
110,0.5
111,0.5
112,1.2
113,0.2
114,0.8
115,-
116,0.8
117,0.1
118,0.3
119,0.2
120,1.2
121,0.9
122,0.7
123,0.3
124,0.7
125,0.4
126,0.2
127,0.1
128,0.9
129,1
130,-
131,-
132,0.5
133,1.1
134,1.4
135,-
136,1.4
137,0.7
138,0.5
139,0.4
140,1.3
141,1
142,1.1
143,1
144,1.7
145,1.2
146,2.3
147,2
148,0.3
149,1
150,0.3
151,1.4
152,1.1
153,1.3
154,0.8
155,2.1
156,0.3
157,1.2
158,0.6
159,1
160,0.3
161,1.1
162,0.7
163,1.4
164,0.5
165,0.9
166,0.4
167,0.5
168,1.1
169,0.1
170,0.9
171,0.5
172,0.2
173,0.1
174,0.8
175,0.3
176,0.5
177,0.1
178,0.4
179,0.7
180,0.8
181,0.8
182,1.2
183,0.9
184,0.3
185,0.2
186,0.2
187,0.1
188,1.1
189,1.1
190,0.8
191,1.4
192,0.7
193,-
194,0.9
195,0.2
196,0.2
197,0.6
198,1
199,1
200,-
201,1.2
202,0.5
203,0.6
204,0.5
205,1.3
206,1
207,0.3
208,1.1
209,0.8
210,0.2
211,0.1
212,0.4
213,1
214,0.8
215,0.6
216,0.7
217,0.7
218,0.3
219,1
220,0.2
221,0.7
222,0.2
223,0.8
224,0.5
225,0.6
226,0.9
227,0.9
228,0.2
229,0.7
230,-
231,-
232,1.1
233,0.9
234,0.9
235,0.3
236,-
237,0.4
238,0.1
239,0.6
240,0.1
241,0.2
242,0.3
243,0.6
244,0.9
245,0.9
246,0.2
247,0.3
248,-
249,-
250,0.8
251,0.7
252,0.8
253,0.5
254,0.7
255,0.7
256,0.2
257,0.5
258,1.2
259,-
260,0.2
261,0.7
262,1
263,0.6
264,-
265,0.5
266,1.5
267,0.7
268,1.3
269,-
270,0.6
271,0.7
272,-
273,0.5
274,0.7
275,0.6
276,0.5
277,0.2
278,0.3
279,0.7
280,1
281,0.6
282,0.4
283,-
284,0.3
285,0.6
286,0.7
287,0.5
288,0.8
289,0.1
290,-
291,1.2
292,-
293,0.1
294,0.6
295,0.8
296,0.1
297,0.7
298,0.4
299,0.2
300,0.2
301,0.6
302,0.4
303,0.5
304,-
305,0.5
306,0.1
307,0.6
308,0.4
309,0.1
310,-
311,-
312,0.1
313,0.2
314,-
315,0.3
316,0.6
317,0.6
318,0.1
319,-
320,0.1
321,-
322,-
323,0.4
324,-
325,0.6
326,0.1
327,1.2
328,-
329,0.5
330,0.5
331,-
332,0.4
333,1
334,0.1
335,0.8
336,0.2
337,1.2
338,0.5
339,0.3
340,0.9
341,0.3
342,-
343,0.5
344,0.4
345,-
346,0.4
347,0.6
348,0.3
349,1.1
350,0.2
351,0.8
352,0.5
353,0.4
354,0.3
355,-
356,-
357,0.2
358,-
359,0.1
360,0.6
361,0.2
362,0.4
363,0.1
364,-
365,0.2
366,0.6
367,0.1
368,-
369,-
370,-
371,-
372,0.1
373,0.5
374,0.9
375,0.2
376,0.6
377,1
378,0.3
379,-
380,0.4
381,0.9
382,0.1
383,-
384,0.7
385,0.4
386,0.1
387,0.2
388,-
389,0.1
390,0.5
391,0.2
392,0.1
393,0.2
394,-
395,-
396,0.1
397,-
398,-
399,0.1
400,-
401,0.2
402,-
403,0.4
404,0.1
405,0.7
406,0.1
407,0.5
408,-
409,-
410,0.5
411,1
412,0.3
413,0.3
414,-
415,-
416,0.3
417,-
418,-
419,0.4
420,0.2
421,-
422,-
423,0.2
424,0.2
425,0.1
426,0.2
427,-
428,0.1
429,0.5
430,0.1
431,-
432,0.1
433,0.3
434,0.3
435,-
436,-
437,-
438,0.1
439,0.3
440,-
441,-
442,0.3
443,-
444,0.5
445,-
446,0.1
447,-
448,0.3
449,0.1
450,0.2
451,-
452,0.1
453,-
454,-
455,-
456,-
457,-
458,-
459,0.2
460,-
461,-
462,-
463,-
464,-
465,-
466,-
467,-
468,-
469,-
470,-
471,-
472,0.2
473,-
474,1.3
475,-
476,-
477,-
478,-
479,-
480,-
481,-
482,-
483,-
484,-
485,-
486,3
