,TotKPs,LKPs,SKPs
0,2.1,0.6,1.5
1,1.1,0.2,0.9
2,2.5,0.3,2.2
3,1.6,-,1.6
4,1.9,0.2,1.7
5,2.5,0.8,1.7
6,1.4,0.1,1.3
7,0.9,0.1,0.8
8,2.1,0.4,1.7
9,-,-,-
10,0.4,0.1,0.3
11,0.9,-,0.8
12,2.1,0.9,1.2
13,1.5,0.3,1.2
14,2.4,0.6,1.8
15,3,2,1
16,1.6,0.3,1.3
17,0.8,0.2,0.6
18,1.6,0.6,1
19,0.2,-,0.2
20,-,-,-
21,0.3,-,0.3
22,0.3,0.1,0.3
23,1.4,0.1,1.4
24,2,0.5,1.4
25,2.3,0.8,1.6
26,-,-,-
27,1.1,0.1,1.1
28,1.2,-,1.2
29,0.5,0.2,0.3
30,0.4,0.1,0.3
31,1.2,0.1,1.1
32,1.6,0.3,1.3
33,0.7,-,0.7
34,0.2,-,0.2
35,1.6,0.3,1.2
36,0.8,0.3,0.6
37,0.2,-,0.1
38,-,-,-
39,0.7,-,0.6
40,0.4,-,0.4
41,0.6,-,0.6
42,1.3,0.1,1.1
43,2.1,0.3,1.8
44,1.8,0.4,1.5
45,0.4,0.1,0.3
46,0.3,-,0.3
47,2.2,0.7,1.5
48,0.2,-,0.2
49,-,-,-
50,-,-,-
51,0.5,0.1,0.4
52,0.7,-,0.7
53,0.1,-,0.1
54,0.6,0.1,0.5
55,0.2,-,0.2
56,0.1,0.1,-
57,0.1,0.1,-
58,0.3,-,0.3
59,1.8,0.6,1.2
60,0.8,-,0.8
61,-,-,-
62,0.6,0.1,0.5
63,1.2,-,1.2
64,0.1,-,0.1
65,1.6,0.6,0.9
66,0.3,-,0.2
67,1.1,-,1
68,0.1,0.1,-
69,1.1,0.2,0.9
70,0.9,-,0.9
71,0.1,0.1,-
72,0.8,0.3,0.5
73,0.3,-,0.3
74,0.4,0.1,0.3
75,0.8,0.1,0.7
76,0.8,0.2,0.6
77,-,-,-
78,1.1,-,1.1
79,0.5,-,0.5
80,-,-,-
81,0.6,0.2,0.4
82,0.2,-,0.2
83,0.9,-,0.9
84,1.1,0.1,1
85,1.3,0.2,1
86,0.9,-,0.9
87,0.9,0.1,0.8
88,0.1,0.1,-
89,-,-,-
90,0.4,-,0.4
91,0.9,0.1,0.8
92,0.7,-,0.7
93,0.9,-,0.9
94,0.2,-,0.2
95,0.4,-,0.3
96,0.8,-,0.8
97,1.1,0.1,1
98,0.4,0.2,0.1
99,0.9,0.1,0.8
100,1,0.4,0.6
101,0.9,0.2,0.7
102,0.9,0.1,0.7
103,0.9,0.1,0.7
104,1.8,0.7,1
105,-,-,-
106,0.9,0.2,0.7
107,0.2,-,0.2
108,0.9,-,0.9
109,-,-,-
110,1.3,-,1.3
111,2,0.2,1.8
112,0.9,0.1,0.7
113,0.9,0.1,0.8
114,0.1,-,0.1
115,-,-,-
116,0.4,0.1,0.3
117,0.8,0.1,0.7
118,1,-,1
119,1.4,0.2,1.2
120,0.3,-,0.3
121,0.4,-,0.4
122,1.2,0.3,0.9
123,2,0.8,1.2
124,1.3,0.5,0.7
125,0.6,-,0.6
126,1.3,0.4,0.9
127,0.7,-,0.7
128,0.5,0.1,0.3
129,0.5,-,0.5
130,1.2,-,1.2
131,0.1,0.1,-
132,0.2,0.1,0.1
133,0.4,-,0.3
134,0.8,-,0.8
135,0.1,0.1,-
136,0.4,0.1,0.3
137,0.3,-,0.2
138,1.9,0.7,1.2
139,0.9,0.1,0.8
140,-,-,-
141,0.6,-,0.6
142,0.6,-,0.6
143,1.6,0.4,1.2
144,0.4,0.1,0.3
145,0.3,0.2,0.2
146,0.5,-,0.5
147,-,-,-
148,0.9,0.1,0.8
149,0.7,0.2,0.5
150,1.2,0.5,0.7
151,0.4,0.1,0.3
152,0.4,-,0.4
153,0.6,0.1,0.5
154,0.6,0.1,0.4
155,0.2,-,0.2
156,0.4,-,0.4
157,0.4,0.1,0.3
158,1.3,0.3,1
159,0.3,-,0.2
160,1.4,0.2,1.3
161,0.3,0.1,0.2
162,1,0.1,0.9
163,0.4,-,0.3
164,0.9,0.2,0.7
165,0.2,-,0.1
166,0.7,0.2,0.5
167,0.4,0.1,0.3
168,0.6,-,0.6
169,0.9,-,0.9
170,0.3,-,0.3
171,1.3,0.7,0.6
172,0.8,0.1,0.7
173,0.5,-,0.5
174,0.7,0.2,0.5
175,0.6,0.1,0.6
176,1.1,-,1.1
177,1.1,0.6,0.4
178,0.7,0.1,0.7
179,0.1,-,0.1
180,0.7,-,0.6
181,0.6,-,0.6
182,0.2,0.1,0.1
183,0.6,-,0.6
184,0.6,-,0.6
185,0.8,0.1,0.7
186,1.4,-,1.4
187,0.8,-,0.8
188,0.7,0.1,0.6
189,0.8,0.2,0.6
190,1.4,0.5,0.9
191,0.2,-,0.2
192,0.1,0.1,-
193,-,-,-
194,0.3,-,0.3
195,0.4,-,0.3
196,0.9,0.2,0.8
197,0.1,-,0.1
198,0.8,-,0.8
199,0.5,-,0.5
200,-,-,-
201,0.2,-,0.2
202,1.7,0.9,0.9
203,0.4,0.2,0.2
204,1,-,1
205,0.3,-,0.3
206,0.7,0.2,0.5
207,0.7,0.1,0.6
208,0.2,-,0.2
209,0.2,-,0.2
210,0.6,-,0.6
211,0.8,0.1,0.7
212,0.8,0.2,0.6
213,0.4,-,0.4
214,0.3,0.1,0.2
215,0.7,0.1,0.6
216,0.8,0.2,0.5
217,0.7,0.2,0.4
218,0.9,0.1,0.8
219,0.1,-,0.1
220,0.6,0.1,0.5
221,0.2,0.1,0.1
222,0.6,-,0.6
223,0.5,0.3,0.2
224,0.3,0.1,0.2
225,0.1,-,0.1
226,0.9,0.2,0.7
227,0.1,-,0.1
228,0.8,0.1,0.7
229,0.2,-,0.1
230,0.1,0.1,-
231,0.7,-,0.7
232,0.5,-,0.5
233,1.3,0.4,0.9
234,0.2,-,0.2
235,0.5,-,0.5
236,-,-,-
237,0.7,-,0.6
238,0.7,-,0.7
239,0.5,0.1,0.4
240,1.2,0.1,1.1
241,0.3,0.1,0.3
242,1,0.3,0.7
243,0.3,-,0.3
244,0.1,-,0.1
245,0.1,-,0.1
246,0.2,-,0.2
247,0.8,0.4,0.4
248,0.4,0.1,0.4
249,-,-,-
250,0.2,0.1,0.1
251,0.3,0.1,0.2
252,0.6,0.2,0.4
253,0.8,-,0.7
254,0.2,-,0.2
255,0.7,0.1,0.6
256,0.9,0.1,0.8
257,0.3,0.1,0.2
258,0.3,0.2,0.1
259,-,-,-
260,0.1,-,0.1
261,0.5,0.1,0.4
262,1,-,1
263,0.3,0.1,0.2
264,0.6,0.1,0.5
265,0.6,0.1,0.4
266,0.6,0.1,0.4
267,0.6,0.1,0.5
268,0.1,-,0.1
269,0.5,0.5,-
270,0.6,-,0.6
271,0.5,0.1,0.4
272,0.1,0.1,-
273,0.8,0.1,0.7
274,0.7,0.1,0.6
275,0.5,0.1,0.4
276,0.4,0.1,0.3
277,0.1,-,0.1
278,0.3,-,0.3
279,0.4,0.1,0.4
280,0.4,-,0.4
281,1.2,0.3,0.9
282,0.7,0.2,0.5
283,-,-,-
284,1,-,1
285,-,-,-
286,0.1,-,0.1
287,0.2,-,0.2
288,-,-,-
289,0.5,-,0.5
290,-,-,-
291,0.2,-,0.2
292,0.2,-,0.2
293,0.7,-,0.7
294,0.8,0.1,0.7
295,0.3,-,0.3
296,0.4,-,0.4
297,0.6,0.2,0.4
298,0.1,-,0.1
299,0.8,-,0.8
300,0.8,0.1,0.7
301,0.8,0.3,0.5
302,0.5,-,0.4
303,0.7,0.1,0.6
304,-,-,-
305,0.1,-,0.1
306,0.5,0.1,0.4
307,0.5,0.1,0.4
308,0.9,0.2,0.7
309,0.5,-,0.5
310,0.3,-,0.3
311,0.7,0.1,0.6
312,0.6,0.2,0.4
313,0.9,0.2,0.7
314,-,-,-
315,0.2,-,0.1
316,0.6,0.2,0.3
317,0.6,0.1,0.5
318,0.4,-,0.4
319,-,-,-
320,0.3,-,0.3
321,0.3,-,0.3
322,-,-,-
323,0.7,-,0.7
324,0.8,0.3,0.5
325,0.2,-,0.2
326,0.1,-,0.1
327,0.2,-,0.2
328,0.9,-,0.9
329,0.2,0.1,0.1
330,0.2,-,0.2
331,0.1,-,0.1
332,0.5,0.1,0.4
333,0.1,-,0.1
334,0.4,-,0.4
335,0.5,-,0.5
336,0.5,0.1,0.4
337,0.3,-,0.2
338,0.3,-,0.3
339,0.3,-,0.3
340,0.4,-,0.4
341,0.4,0.1,0.3
342,0.4,-,0.4
343,1,-,1
344,0.7,0.1,0.6
345,0.2,-,0.2
346,0.1,0.1,-
347,0.4,0.1,0.3
348,0.1,-,0.1
349,0.6,-,0.6
350,1,0.4,0.7
351,0.2,-,0.2
352,0.6,-,0.6
353,0.1,-,0.1
354,0.5,0.1,0.4
355,-,-,-
356,-,-,-
357,0.3,-,0.3
358,0.7,-,0.7
359,0.1,-,0.1
360,0.5,0.1,0.4
361,0.9,0.5,0.4
362,0.3,-,0.3
363,0.2,-,0.2
364,-,-,-
365,0.6,-,0.6
366,0.1,-,0.1
367,0.1,-,0.1
368,0.3,-,0.3
369,0.3,-,0.3
370,0.6,0.1,0.5
371,-,-,-
372,0.4,0.1,0.3
373,0.5,0.5,-
374,0.4,0.1,0.3
375,0.2,0.1,0.1
376,-,-,-
377,-,-,-
378,0.3,0.2,0.1
379,0.3,-,0.3
380,0.4,-,0.4
381,0.9,0.3,0.7
382,0.4,0.1,0.3
383,-,-,-
384,-,-,-
385,0.5,0.1,0.4
386,0.6,-,0.6
387,0.5,-,0.5
388,0.2,-,0.2
389,0.7,0.1,0.6
390,0.1,-,0.1
391,0.3,-,0.3
392,0.3,0.1,0.2
393,0.6,-,0.6
394,0.2,-,0.2
395,-,-,-
396,0.1,-,0.1
397,-,-,-
398,-,-,-
399,0.3,-,0.3
400,0.2,-,0.2
401,-,-,-
402,0.6,-,0.6
403,0.3,0.2,0.2
404,0.3,0.1,0.2
405,0.3,-,0.3
406,0.1,-,0.1
407,-,-,-
408,0.3,-,0.3
409,0.3,-,0.3
410,0.3,-,0.3
411,-,-,-
412,0.1,0.1,-
413,0.3,-,0.3
414,0.2,-,0.2
415,0.1,-,0.1
416,0.1,0.1,-
417,0.5,0.1,0.4
418,0.4,0.1,0.3
419,0.3,-,0.3
420,0.2,-,0.2
421,-,-,-
422,-,-,-
423,0.3,-,0.3
424,-,-,-
425,0.1,-,0.1
426,0.1,-,0.1
427,0.1,-,0.1
428,0.1,-,0.1
429,-,-,-
430,0.5,0.1,0.4
431,-,-,-
432,-,-,-
433,0.3,-,0.3
434,0.8,0.1,0.6
435,-,-,-
436,0.5,-,0.5
