,COF
0,0.4
1,0.5
2,0.1
3,0.1
4,0.3
5,0.1
6,0.6
7,0.8
8,0.2
9,0.5
10,-
11,0.4
12,0.1
13,0.1
14,0.4
15,-
16,-
17,0.3
18,-
19,0.1
20,-
21,0.2
22,0.1
23,0.2
24,0.1
25,0.2
26,-
27,0.8
28,0.3
29,-
30,0.1
31,0.2
32,-
33,0.1
34,-
35,0.4
36,-
37,-
38,-
39,0.1
40,0.2
41,0.6
42,-
43,0.1
44,-
45,-
46,-
47,0.3
48,0.1
49,-
50,-
51,-
52,0.4
53,-
54,-
55,-
56,-
57,-
58,0.1
59,0.5
60,0.2
61,-
62,-
63,0.5
64,0.1
65,-
66,-
67,0.2
68,0.1
69,-
70,0.3
71,-
72,-
73,-
74,0.1
75,0.2
76,0.2
77,-
78,0.2
79,0.3
80,-
81,-
82,-
83,0.5
84,0.1
85,-
86,0.1
87,0.1
88,-
89,-
90,-
91,-
92,0.2
93,0.8
94,-
95,-
96,0.4
97,0.1
98,-
99,0.1
100,0.1
101,0.2
102,0.3
103,0.1
104,-
105,-
106,0.3
107,0.1
108,0.4
109,-
110,-
111,0.1
112,0.1
113,0.3
114,-
115,-
116,0.1
117,0.2
118,0.5
119,0.3
120,-
121,-
122,-
123,-
124,-
125,0.2
126,0.2
127,0.4
128,-
129,-
130,0.2
131,-
132,-
133,0.1
134,-
135,-
136,0.1
137,-
138,-
139,0.1
140,-
141,-
142,-
143,0.3
144,0.1
145,0.1
146,-
147,-
148,0.3
149,-
150,-
151,-
152,-
153,0.1
154,-
155,-
156,0.6
157,-
158,-
159,-
160,-
161,-
162,-
163,-
164,-
165,-
166,0.1
167,-
168,0.1
169,0.1
170,-
171,0.1
172,0.3
173,0.5
174,-
175,0.2
176,-
177,0.4
178,0.1
179,0.1
180,0.1
181,0.1
182,0.1
183,-
184,-
185,0.1
186,0.1
187,0.4
188,-
189,-
190,0.1
191,-
192,-
193,-
194,-
195,0.2
196,0.1
197,-
198,-
199,-
200,-
201,-
202,0.1
203,0.1
204,-
205,-
206,-
207,0.3
208,-
209,-
210,0.5
211,-
212,-
213,0.1
214,0.1
215,0.1
216,0.1
217,-
218,0.4
219,-
220,0.1
221,-
222,0.4
223,-
224,-
225,-
226,0.1
227,-
228,0.1
229,-
230,-
231,-
232,-
233,-
234,-
235,1
236,-
237,0.1
238,0.8
239,-
240,0.1
241,0.4
242,0.2
243,-
244,-
245,0.1
246,-
247,0.1
248,0.4
249,-
250,-
251,-
252,-
253,0.2
254,-
255,-
256,-
257,0.1
258,-
259,-
260,-
261,-
262,-
263,-
264,0.1
265,-
266,0.1
267,-
268,0.1
269,-
270,0.2
271,0.1
272,-
273,-
274,0.2
275,-
276,0.1
277,0.2
278,-
279,0.1
280,0.1
281,-
282,0.2
283,-
284,-
285,-
286,-
287,-
288,-
289,0.1
290,-
291,-
292,-
293,0.3
294,-
295,-
296,0.4
297,-
298,-
299,0.4
300,0.4
301,0.1
302,-
303,-
304,-
305,-
306,0.5
307,-
308,-
309,0.3
310,-
311,-
312,-
313,0.1
314,-
315,-
316,-
317,0.1
318,0.6
319,-
320,0.2
321,0.2
322,-
323,-
324,0.1
325,0.1
326,0.1
327,-
328,0.5
329,-
330,-
331,-
332,-
333,-
334,0.4
335,0.2
336,0.1
337,-
338,0.3
339,-
340,-
341,-
342,0.5
343,-
344,0.1
345,0.6
346,-
347,-
348,-
349,-
350,0.1
351,-
352,0.5
353,-
354,-
355,-
356,0.5
357,-
358,0.3
359,-
360,-
361,-
362,-
363,0.1
364,-
365,-
366,0.1
367,0.6
368,0.3
369,0.1
370,0.1
371,-
372,0.1
373,-
374,0.1
375,-
376,-
377,-
378,-
379,0.4
380,-
381,-
382,-
383,-
384,-
385,0.1
386,0.1
387,0.3
388,0.4
389,0.4
390,-
391,-
392,0.1
393,0.2
394,-
395,-
396,-
397,-
398,-
399,0.1
400,0.2
401,-
402,-
403,0.1
404,-
405,-
406,0.1
407,-
408,-
409,0.2
410,-
411,-
412,0.1
413,0.3
414,0.1
415,0.2
416,-
417,0.1
418,-
419,0.1
420,-
421,0.2
422,-
423,-
424,-
425,0.1
426,0.1
427,-
428,0.1
429,-
430,0.1
431,-
432,0.6
433,-
434,-
435,-
436,-
437,-
438,-
439,-
440,-
441,-
442,0.1
443,-
444,-
445,-
446,0.1
447,0.6
448,-
449,-
450,-
451,-
452,-
453,-
454,-
455,-
456,-
457,0.4
458,0.2
459,0.2
460,-
461,-
462,-
463,-
464,0.2
465,-
466,-
467,-
468,-
469,-
470,0.2
471,-
472,-
473,-
474,-
475,-
476,-
477,1
478,-
479,-
480,-
481,-
482,-
483,-
484,-
485,-
486,-
