,TotPs,AccLB,InAccLB,AccSP,InAccSP
0,20.2,0.6,0.5,15.4,3.6
1,20.2,1.3,0.6,14.9,3.4
2,41,0.6,0.6,34.7,5
3,36.9,0.5,0.2,30.3,5.8
4,50.5,1,0.4,40.7,8.4
5,104.1,5.9,1.6,90.8,5.8
6,19.3,0.4,0.2,14.4,4.3
7,23.3,0.4,0.4,14.1,8.3
8,44.2,1.5,0.9,35.3,6.6
9,42.5,3,2,35,2.5
10,95.4,3.7,1.4,86.1,4.3
11,20.6,0.4,0.3,14.7,5.3
12,52.1,2.8,3.4,40.2,5.7
13,51,2,2.2,42.5,4.3
14,23.6,0.3,0.4,17.4,5.5
15,43,1,-,34,8
16,27.3,0.9,1,22.7,2.7
17,29.6,0.9,1,21.5,6.1
18,44.5,2.1,1.6,35,5.8
19,44.4,1.5,3.4,35.9,3.5
20,31.4,5.4,8.8,17,0.2
21,69.3,2.7,3.2,58.3,5
22,38.9,2.7,4.3,28.4,3.5
23,60.1,0.5,0.4,54.2,4.9
24,40.6,1.7,2.2,31.7,5
25,53.8,1.3,1.4,45.1,6
26,38.4,9,12.5,16.8,0.1
27,22.7,1.1,0.3,15.5,5.9
28,24,0.4,0.4,21,2.2
29,35.7,2.4,3.8,25.7,3.8
30,45.1,3.5,4.2,32.3,5.2
31,28.6,0.3,-,24.5,3.8
32,83.6,4.7,1.6,71.5,5.8
33,16.5,0.2,0.2,13.3,2.8
34,93.5,2.7,2,83.9,4.9
35,38.3,1.5,2.1,27.4,7.3
36,50.3,2.5,2.9,39.3,5.6
37,61.8,1.7,1.7,55.2,3.3
38,31.5,7.7,10.7,13.2,-
39,21.9,0.5,0.4,17.7,3.3
40,11.8,-,-,9.3,2.5
41,18.7,0.2,0.2,12.5,5.9
42,53,0.7,0.3,47.3,4.8
43,45.9,1.9,1.5,34.2,8.2
44,76.8,3.4,2.4,65.5,5.4
45,48.4,3.4,4.5,36.4,4.1
46,52.5,5.3,3.8,40.5,2.8
47,36,1.5,2.1,26.7,5.6
48,48.6,2.3,3.1,39.3,3.9
49,37.2,6.6,6.1,24.2,0.3
50,27.8,4.5,5.5,17.8,-
51,61,2,2.5,52.5,3.9
52,16.7,0.7,0.3,11.6,4.1
53,41.7,1.3,1.7,34.4,4.4
54,41.5,1.5,2.1,32,5.8
55,59.3,2.6,2.4,51.2,3.2
56,28.7,5.1,9.4,14,0.1
57,32.4,6.6,13.1,12.5,0.1
58,53.8,2.1,4.4,42.6,4.6
59,21.4,1.4,1,13.6,5.4
60,34.1,1.7,2,25,5.4
61,27.4,6.1,10,11.2,0.2
62,45.7,1.6,2.7,34.8,6.6
63,21.7,0.3,0.6,14.4,6.4
64,64.2,1.9,1.3,58.3,2.7
65,43,3.7,2.5,32.4,4.4
66,69.2,2.9,2.4,60.2,3.7
67,30.7,0.5,0.6,24,5.6
68,55.7,3.4,2.8,46.7,2.7
69,32.2,1.4,2,23.7,5.2
70,21.1,0.3,0.3,17.8,2.8
71,71.5,2.5,2,64.3,2.7
72,88.4,5.7,3.8,73.6,5.4
73,74.9,2.3,1.3,68.2,3.2
74,48.8,4.1,4.1,36.1,4.4
75,17.5,0.5,0.6,11.8,4.6
76,19.2,0.7,0.8,11.9,5.8
77,25.3,4,5,16.1,0.3
78,15.3,0.4,-,11.6,3.2
79,12.4,0.5,0.2,8.3,3.4
80,37.5,6.2,10.7,20.7,-
81,30.2,1.7,1.5,22.7,4.4
82,58.4,1.7,3.7,50.5,2.4
83,15.3,0.3,0.2,10.3,4.6
84,32.6,1,1.4,22.4,7.7
85,36.4,1,1.4,26.2,7.9
86,15,0.4,1,9.2,4.4
87,21.9,0.5,0.4,13.7,7.3
88,47.4,2,2.4,40.1,2.9
89,40.1,7.7,10.7,21.5,0.3
90,32.9,1.4,2,24.8,4.6
91,29.6,1,1.3,23.4,3.8
92,18.5,0.1,0.1,12.4,5.8
93,17.2,0.3,0.4,11.1,5.4
94,43.4,4.6,4.6,28.5,5.7
95,47.1,1,0.7,41.8,3.6
96,21.5,0.4,0.8,16.3,4
97,19,0.6,0.3,12.9,5.1
98,55.3,3.2,3.8,43.8,4.5
99,32.6,1.1,1,24.5,6
100,49.1,3.3,3.6,38.1,4.1
101,27.2,1.4,0.7,20.6,4.4
102,24.7,1.1,0.5,17.5,5.5
103,29.1,1.3,0.8,21.4,5.6
104,33.1,1.7,1.8,23,6.5
105,39.3,6.5,11,21.5,0.2
106,23.9,0.9,0.9,17.9,4.1
107,60.1,3.1,3.3,50.6,3.1
108,15.9,0.2,0.7,10.4,4.5
109,26,4,5,17,-
110,43.6,0.9,0.5,38.6,3.6
111,37.2,1.2,0.6,29.6,5.8
112,32.5,1.3,2,23.7,5.5
113,13.2,-,0.1,9.6,3.5
114,51.3,1.6,2,42.9,4.9
115,31.4,4,9,18.2,0.3
116,37.4,2.3,3,29.6,2.6
117,17.5,0.6,0.8,12.3,3.8
