,UnTch,Dispo
0,3.9,2.2
1,1.3,0.7
2,1.6,0.8
3,2.7,1.3
4,1.9,1.6
5,0.7,0.2
6,2.9,0.9
7,2.6,1.4
8,3.1,2.3
9,0.5,-
10,0.3,0.2
11,2.5,1
12,1.5,0.9
13,0.9,0.3
14,1.3,0.6
15,-,-
16,1.1,0.4
17,1.7,1.8
18,1.4,1.3
19,0.4,-
20,-,-
21,0.6,0.2
22,0.8,0.2
23,1.7,1
24,1.1,0.5
25,1.8,0.4
26,-,-
27,2.8,0.6
28,1,0.6
29,0.6,0.3
30,0.6,0.2
31,2.1,1
32,0.5,0.4
33,1.7,1.2
34,0.5,0.2
35,1.3,0.7
36,0.7,0.3
37,0.3,-
38,-,-
39,2.9,1.7
40,1.3,0.9
41,1.9,1.7
42,0.8,0.6
43,2.3,1.8
44,0.7,0.8
45,0.7,0.3
46,0.3,-
47,0.7,0.4
48,0.5,0.2
49,-,-
50,-,-
51,0.6,0.1
52,2.5,1.2
53,0.7,0.3
54,1.2,1
55,0.4,0.1
56,-,-
57,0.1,-
58,0.1,0.1
59,0.9,0.3
60,1,0.4
61,-,-
62,1.3,0.5
63,2.2,0.9
64,0.3,0.1
65,0.7,0.4
66,0.8,0.4
67,2.3,0.8
68,0.4,0.2
69,1.6,0.4
70,0.9,0.3
71,0.5,0.3
72,0.5,0.4
73,0.7,0.1
74,0.5,0.2
75,1.7,1.4
76,1.5,1
77,-,-
78,1.7,1.4
79,2.3,1.5
80,-,-
81,0.8,0.8
82,0.3,0.3
83,2,1.2
84,1.4,0.4
85,2.3,1.2
86,1.9,1.1
87,1.7,1
88,0.8,0.3
89,-,-
90,0.4,0.3
91,0.2,0.6
92,1.5,0.8
93,2.6,0.9
94,0.5,0.3
95,0.2,0.2
96,1.6,1.3
97,1.8,0.9
98,0.6,0.3
99,2.2,1.3
100,0.4,0.2
101,1.5,0.4
102,1.4,0.8
103,1,0.7
104,1.4,0.7
105,-,-
106,1.9,1.4
107,0.4,0.1
108,1.4,0.5
109,-,-
110,0.7,0.9
111,1.6,1.1
112,1.3,0.9
113,1.3,0.9
114,1,0.4
115,-,-
116,0.4,-
117,1.7,0.8
118,2.3,0.8
119,1.6,1.2
120,0.4,-
121,1,0.5
122,1.4,0.6
123,0.8,0.3
124,0.3,0.2
125,1.6,0.8
126,1.7,0.5
127,1.9,1.1
128,0.5,0.2
129,0.5,0.2
130,3,1.7
131,-,-
132,0.2,-
133,0.7,0.1
134,1.2,0.7
135,-,-
136,0.4,0.2
