,TotSh,OOBSh,SYBSh,PASh
0,4.5,1.4,0.1,3.1
1,3.7,0.9,0.4,2.4
2,2.4,0.7,0.1,1.6
3,2.7,0.7,0.3,1.7
4,2.4,0.9,0.1,1.4
5,1,0.7,-,0.2
6,3.5,0.9,0.5,2.1
7,2.5,0.3,0.4,1.7
8,1.8,0.9,-,0.9
9,1,-,0.5,0.5
10,0.7,0.1,0.2,0.4
11,3,0.2,0.5,2.3
12,2,1.3,-,0.8
13,0.6,0.5,-,0.1
14,1.6,0.3,0.1,1.3
15,-,-,-,-
16,0.6,0.1,0.1,0.4
17,1.8,0.7,0.2,1
18,1.6,1,-,0.5
19,0.5,-,0.2,0.4
20,-,-,-,-
21,0.9,-,0.4,0.5
22,0.5,-,0.1,0.5
23,0.9,0.4,0.1,0.4
24,2,1,-,1
25,1.4,0.9,-,0.5
26,-,-,-,-
27,2.4,0.6,0.1,1.7
28,1.6,0.5,0.2,0.9
29,0.4,0.1,-,0.3
30,0.6,0.1,0.1,0.4
31,2.3,0.7,0.2,1.4
32,0.7,0.6,-,0.1
33,1.8,0.4,0.1,1.3
34,0.3,-,0.1,0.1
35,1,0.4,0.1,0.5
36,1,0.6,-,0.4
37,0.5,-,0.1,0.3
38,-,-,-,-
39,1.8,1,-,0.8
40,2.3,0.3,0.4,1.7
41,2.2,0.7,0.1,1.3
42,1,0.3,-,0.6
43,1.5,0.6,-,0.9
44,0.7,0.4,-,0.3
45,0.5,0.3,0.1,0.1
46,1,0.5,0.2,0.3
47,0.4,0.1,-,0.3
48,0.7,0.2,0.1,0.5
49,-,-,-,-
50,-,-,-,-
51,0.7,0.1,0.2,0.3
52,2.2,0.3,0.5,1.4
53,0.4,0.1,0.1,0.2
54,0.5,0.3,0.1,0.2
55,0.6,0.2,0.1,0.3
56,-,-,-,-
57,-,-,-,-
58,0.5,-,0.1,0.4
59,2.2,0.6,-,1.5
60,1.4,0.2,0.1,1.1
61,-,-,-,-
62,0.7,-,0.1,0.5
63,1.6,0.3,0.3,1
64,0.4,-,0.3,0.1
65,1,0.9,-,0.1
66,0.8,0.1,0.1,0.6
67,1.2,-,0.2,1
68,0.2,-,0.1,-
69,0.4,-,-,0.4
70,1.8,0.4,0.2,1.2
71,0.7,0.1,0.2,0.4
72,0.7,0.3,0.2,0.3
73,0.4,0.3,-,0.1
74,0.5,0.2,0.1,0.2
75,2.2,0.8,0.1,1.3
76,1.4,0.6,0.2,0.6
77,-,-,-,-
78,1.9,0.6,-,1.3
79,2.7,0.4,0.4,1.8
80,-,-,-,-
81,0.8,0.4,0.1,0.4
82,0.7,-,0.1,0.5
83,1.5,0.3,0.1,1.2
84,1.4,0.1,0.2,1.1
85,1.3,0.1,0.1,1
86,1.4,0.6,-,0.8
87,1.7,0.4,0.3,1
88,0.5,0.1,0.1,0.2
89,-,-,-,-
90,0.7,0.3,0.2,0.3
91,0.4,-,0.1,0.3
92,1.2,-,0.1,1
93,2.6,0.7,0.1,1.7
94,0.3,-,0.1,0.2
95,1.3,0.7,-,0.6
96,1,0.4,-,0.6
97,1.2,0.1,0.1,1
98,1.2,0.6,-,0.6
99,1.3,0.6,0.1,0.6
100,0.8,0.7,-,0.1
101,0.3,0.1,0.1,0.2
102,1.4,0.3,0.2,1
103,1.2,0.5,-,0.7
104,1.1,0.3,-,0.8
105,-,-,-,-
106,1.6,0.7,-,0.9
107,0.6,0.1,0.1,0.4
108,1,0.3,0.1,0.6
109,-,-,-,-
110,0.6,0.2,-,0.3
111,1.5,0.7,-,0.8
112,0.8,0.4,0.1,0.3
113,1.4,0.2,0.2,1.1
114,0.2,0.1,-,-
115,-,-,-,-
116,0.7,0.1,0.1,0.6
117,1.3,0.3,-,1
118,1.9,0.4,0.2,1.4
119,2.1,0.5,0.2,1.4
120,0.3,-,-,0.3
121,0.4,0.2,0.1,0.1
122,0.6,0.3,-,0.3
123,0.9,0.4,0.1,0.5
124,0.3,0.2,-,0.1
125,1,0.4,0.1,0.4
126,1.5,0.9,-,0.6
127,2.6,0.5,0.4,1.8
128,0.6,0.1,0.2,0.4
129,0.2,-,0.2,-
130,1.4,-,0.2,1.1
131,-,-,-,-
132,0.8,0.1,0.2,0.5
133,0.6,0.2,-,0.4
134,1.3,0.5,0.2,0.6
135,-,-,-,-
136,1,-,0.1,0.9
137,0.3,0.1,-,0.1
138,0.8,0.4,-,0.3
139,1.1,0.5,-,0.6
140,0.5,0.1,-,0.3
141,0.8,0.6,-,0.1
142,1.1,0.5,0.1,0.5
143,0.6,0.2,-,0.4
144,0.4,-,0.1,0.4
145,0.3,0.1,-,0.2
146,1,-,0.3,0.8
147,-,-,-,-
148,1.1,0.1,0.1,0.8
149,0.7,0.5,-,0.2
150,0.6,0.4,-,0.2
151,0.6,0.5,-,0.1
152,0.1,0.1,-,-
153,0.9,0.4,-,0.4
154,0.6,0.4,-,0.1
155,0.7,0.4,-,0.2
156,1.7,0.1,0.2,1.4
157,1,0.5,-,0.4
158,0.3,0.1,-,0.1
159,0.3,-,0.1,0.2
160,0.3,-,0.1,0.3
161,0.3,-,0.2,0.1
162,1,0.6,0.1,0.3
163,0.4,0.2,0.1,0.2
164,1.4,0.5,-,0.9
165,0.8,0.4,0.1,0.3
166,1.4,0.5,0.1,0.8
167,0.6,0.1,-,0.4
168,0.5,0.1,0.2,0.1
169,1,0.3,0.1,0.6
170,0.8,-,0.1,0.7
171,1.1,0.6,0.1,0.5
172,1.6,0.5,0.1,1
173,1.9,0.1,0.3,1.4
174,1.1,0.4,0.2,0.5
175,1.3,0.4,0.1,0.8
176,0.2,-,-,0.2
177,1,0.3,0.1,0.6
178,1.5,0.6,0.3,0.7
179,0.1,-,-,0.1
180,0.6,0.3,-,0.3
181,0.6,0.2,-,0.4
182,0.3,0.1,-,0.2
183,0.6,0.2,0.1,0.3
184,0.6,0.2,-,0.3
185,0.4,0.1,-,0.3
186,0.7,-,-,0.7
187,2.2,0.5,-,1.6
188,0.4,0.2,-,0.2
189,0.1,0.1,-,-
190,0.4,0.1,-,0.3
191,0.3,-,0.3,-
192,0.2,0.1,-,0.1
193,-,-,-,-
194,0.4,0.3,-,0.1
195,1.6,0.2,0.3,1.2
196,1,0.2,-,0.8
197,0.2,-,-,0.2
198,0.4,0.4,-,-
199,0.5,-,-,0.5
200,-,-,-,-
201,0.4,-,-,0.3
202,0.3,0.3,-,0.1
203,0.4,0.2,0.1,0.2
204,0.8,0.6,-,0.2
205,0.1,0.1,-,-
206,0.3,0.1,-,0.1
207,1.2,0.6,-,0.6
208,0.2,0.1,-,0.2
209,-,-,-,-
