,TotTkl,DribPast,TotAttTkl
0,0.7,0.2,0.9
1,0.4,0.1,0.6
2,1.1,0.5,1.6
3,1.4,0.7,2.1
4,1.1,0.4,1.5
5,1.5,0.6,2
6,0.5,0.2,0.7
7,0.9,0.9,1.8
8,1.1,0.6,1.7
9,2.5,1,3.5
10,1.8,0.7,2.5
11,0.2,0.1,0.3
12,1.6,1,2.6
13,2.7,0.7,3.4
14,0.9,0.3,1.2
15,-,-,-
16,2.6,0.4,3
17,2,0.6,2.6
18,3.1,1.3,4.4
19,1.9,0.3,2.2
20,0.2,-,0.2
21,1.5,0.4,1.9
22,1.2,0.3,1.5
23,1.6,0.5,2.1
24,0.7,0.6,1.3
25,0.7,0.8,1.5
26,0.1,0.1,0.1
27,0.9,0.8,1.6
28,0.6,0.2,0.8
29,0.8,0.3,1.2
30,2.1,0.6,2.7
31,0.7,0.3,1
32,1.4,0.5,2
33,1,0.1,1.1
34,1.3,0.4,1.7
35,1.9,0.5,2.4
36,2.3,0.5,2.7
37,1.6,0.3,1.8
38,-,-,-
39,1.5,0.6,2.1
40,0.2,0.1,0.4
41,0.2,0.3,0.5
42,0.9,0.2,1
43,1.4,0.8,2.2
44,1.6,0.5,2.1
45,2.3,0.7,3
46,0.6,0.4,1
47,1.5,0.6,2
48,1.8,0.6,2.4
49,-,-,-
50,-,-,-
51,1.5,0.5,2
52,0.4,0.2,0.6
53,1,0.3,1.3
54,1.8,0.7,2.5
55,0.8,0.4,1.3
56,-,-,-
57,0.1,-,0.1
58,0.8,0.3,1
59,0.3,0.4,0.7
60,1.7,0.8,2.4
61,-,-,-
62,2,1,3
63,1.5,0.6,2
64,0.9,0.3,1.2
65,1.2,0.7,1.9
66,1.3,0.3,1.6
67,1.3,0.7,2
68,2.3,1.1,3.4
69,1.6,0.6,2.2
70,0.8,0.2,0.9
71,0.5,0.2,0.6
72,1.7,0.8,2.4
73,1.8,0.5,2.3
74,1.5,0.4,1.9
75,0.8,0.4,1.2
76,1.5,0.9,2.4
77,-,-,-
78,0.9,0.5,1.4
79,0.3,0.1,0.3
80,-,-,-
81,1.8,0.7,2.5
82,1.3,0.4,1.8
83,1.3,0.3,1.7
84,1.9,0.7,2.6
85,1.9,0.8,2.7
86,1.4,0.6,2.1
87,0.6,0.2,0.8
88,1.5,0.4,1.9
89,-,-,-
90,1.6,0.8,2.4
91,1.1,0.2,1.3
92,1.2,0.5,1.7
93,0.3,0.2,0.5
94,2.2,0.4,2.6
95,0.9,0.4,1.3
96,1.4,0.8,2.2
97,0.3,0.1,0.4
98,1.2,0.8,1.9
99,1.2,0.8,1.9
100,1.4,0.5,1.9
101,1.4,0.5,1.9
102,0.3,0.3,0.5
103,1.5,0.7,2.3
104,2.1,1,3.1
105,-,0.1,0.1
106,0.6,0.5,1.1
107,1.1,0.6,1.7
108,1.4,0.5,1.9
109,-,-,-
110,0.9,0.3,1.2
111,0.8,0.7,1.5
112,2.1,0.7,2.8
113,0.9,0.7,1.5
114,1.5,0.3,1.8
115,-,-,-
116,1.1,0.2,1.3
117,0.5,0.3,0.8
118,0.8,0.1,0.9
119,0.5,0.2,0.7
120,1.3,0.3,1.6
121,1.8,1,2.8
122,1.6,0.6,2.2
123,1.5,1.2,2.7
124,1.5,0.5,2
125,1.3,0.8,2
126,0.7,0.5,1.2
127,0.4,0.5,0.9
128,1.5,0.6,2
129,0.3,-,0.3
130,0.4,0.2,0.5
131,0.1,0.1,0.2
132,0.9,0.4,1.3
133,1.4,0.4,1.8
134,1.7,1.2,2.9
135,-,0.1,0.1
136,1.1,0.3,1.4
137,1.7,0.6,2.3
138,1.3,0.7,2
139,0.7,0.5,1.2
140,1.4,0.3,1.7
141,1.9,0.8,2.6
142,1.7,0.6,2.3
143,2.2,0.6,2.8
144,0.9,0.1,1
145,2,0.3,2.3
146,-,-,-
147,1,-,1
148,1,0.4,1.4
149,2.1,0.9,3
150,0.4,0.3,0.7
151,1.6,0.5,2.2
152,1.8,0.4,2.1
153,2,0.6,2.6
154,1.4,0.4,1.8
155,2.3,0.9,3.3
156,0.2,0.4,0.5
157,1.1,0.3,1.4
158,1.3,-,1.3
159,1.1,0.4,1.5
160,1.7,0.9,2.6
161,0.8,0.3,1.1
162,1.4,0.8,2.3
163,2.2,0.4,2.6
