,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,Omar Marmoush,17,1454,15,9,2,-,4.5,79.6,0.4,9,8.23
1,Harry Kane,27(2),2272,24,7,5,-,3.7,80.4,1,9,7.71
2,Michael Olise,25(6),2078,9,12,2,-,2.4,86.4,0.3,6,7.61
3,Jamal Musiala,21(4),1807,12,2,3,-,2.7,83.5,0.3,5,7.56
4,Florian Wirtz,22(6),2087,9,10,2,-,2.4,82.6,0.3,7,7.52
5,Joshua Kimmich,29(1),2577,2,5,4,-,1,92.9,0.4,2,7.34
6,Hugo Ekitiké,28(2),2313,15,6,1,-,3.5,76.7,1.4,4,7.33
7,Tim Kleindienst,29,2564,15,6,3,1,2.5,62.2,4.7,5,7.31
8,Xavi Simons,22,1887,9,5,5,-,1.8,83.1,0.8,4,7.30
9,David Odogu,2,180,-,-,-,-,1,89.4,4.5,-,7.24
10,Dayot Upamecano,20,1763,2,-,6,-,0.7,94.1,3,1,7.22
11,Serhou Guirassy,26(1),2344,17,2,4,-,3,73.2,4,5,7.20
12,Nadiem Amiri,27,2215,6,4,6,2,2,82.5,0.6,5,7.19
13,Maximilian Mittelstädt,25(3),2228,1,6,5,-,0.6,87.3,0.9,2,7.18
14,Franck Honorat,15(1),1227,3,6,-,-,1.6,74.9,0.3,1,7.17
15,Mohamed Simakan,1,55,-,-,-,-,-,81.4,3,-,7.14
16,Nathaniel Brown,19(4),1689,3,6,1,-,0.6,86.3,0.3,1,7.13
17,Ritsu Doan,30(1),2615,9,7,2,-,1.8,75.9,0.5,2,7.12
18,Tom Bischof,27(1),2322,5,2,5,-,1.6,83.3,0.4,3,7.11
19,Moritz Jenz,18(1),1602,-,-,4,-,0.5,84.3,3.9,1,7.10
20,Tiago Pereira Cardoso,4(1),378,-,-,-,-,-,71.3,0.8,1,7.10
21,Willi Orbán,25,2224,5,-,4,2,0.9,88,4.2,3,7.08
22,Stefan Bell,13(2),1180,-,1,3,-,0.5,80,4.3,1,7.08
23,Alphonso Davies,17(2),1562,1,2,-,-,0.9,91.1,0.5,-,7.08
24,Vincenzo Grifo,28(3),2199,8,10,2,-,2,82.3,0.5,4,7.07
25,Álex Grimaldo,28(1),2442,2,6,3,1,1.4,86.2,0.4,3,7.06
26,Finn Dahmen,16,1440,-,-,-,-,-,67.1,0.4,-,7.05
