Name,Club,Age,Height,National,Positions
Mohamed Salah,Liverpool,32 years old (15-06-1992),175cm,Egypt,"Attacking Midfielder (Centre, Left, Right), Forward"
Bukayo Saka,Arsenal,23 years old (05-09-2001),178cm,England,"Defender (Left), Midfielder (Centre, Left, Right)"
Alexander Isak,Newcastle,25 years old (21-09-1999),192cm,Sweden,"Attacking Midfielder (Left), Forward"
Matheus Cunha,Wolves,25 years old (27-05-1999),183cm,Brazil,"Attacking Midfielder (Centre, Left), Forward"
Erling Haaland,Manchester City,24 years old (21-07-2000),194cm,Norway,Forward
Cole Palmer,Chelsea,22 years old (06-05-2002),189cm,England,"Attacking Midfielder (Centre, Right), Forward"
Bryan Mbeumo,Brentford,25 years old (07-08-1999),173cm,Cameroon,"Attacking Midfielder (Left, Right), Forward"
Luis Díaz,Liverpool,28 years old (13-01-1997),178cm,Colombia,"Attacking Midfielder (Left, Right), Forward"
Omar Marmoush,Manchester City,26 years old (07-02-1999),183cm,Egypt,"Attacking Midfielder (Centre, Left), Forward"
Bruno Fernandes,Manchester United,30 years old (08-09-1994),179cm,Portugal,"Midfielder (Centre, Left, Right), Forward"
Antoine Semenyo,Bournemouth,25 years old (07-01-2000),185cm,Ghana,"Attacking Midfielder (Left, Right), Forward"
Mark Travers,Middlesbrough,25 years old (18-05-1999),191cm,Ireland,Goalkeeper
Jérémy Doku,Manchester City,22 years old (27-05-2002),173cm,Belgium,"Midfielder (Left, Right)"
Amad Diallo,Manchester United,22 years old (11-07-2002),173cm,Ivory Coast,"Midfielder (Centre, Right)"
Trent Alexander-Arnold,Liverpool,26 years old (07-10-1998),175cm,England,"Defender (Right), Defensive Midfielder (C), Midfielder (Right)"
Brandon Austin,Tottenham,26 years old (08-01-1999),188cm,England,Goalkeeper
Son Heung-Min,Tottenham,32 years old (08-07-1992),183cm,South Korea,"Midfielder (Centre, Left, Right), Forward"
Antonee Robinson,Fulham,27 years old (08-08-1997),183cm,USA,"Defender (Left), Midfielder (Left)"
Kai Havertz,Arsenal,25 years old (11-06-1999),193cm,Germany,"Midfielder (Centre, Right), Forward"
Youri Tielemans,Aston Villa,27 years old (07-05-1997),176cm,Belgium,Midfielder (Centre)
Virgil van Dijk,Liverpool,33 years old (08-07-1991),195cm,Netherlands,Defender (Centre)
Daniel Muñoz,Crystal Palace,28 years old (26-05-1996),180cm,Colombia,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)"
James Tarkowski,Everton,32 years old (19-11-1992),185cm,England,Defender (Centre)
Jarrod Bowen,West Ham,28 years old (20-12-1996),175cm,England,"Attacking Midfielder (Centre, Left, Right), Forward"
Mikkel Damsgaard,Brentford,24 years old (03-07-2000),180cm,Denmark,"Attacking Midfielder (Centre, Left)"
Alexis Mac Allister,Liverpool,26 years old (24-12-1998),176cm,Argentina,"Midfielder (Centre, Left), Forward"
Jacob Murphy,Newcastle,30 years old (24-02-1995),179cm,England,"Defender (Right), Midfielder (Left, Right)"
Mark Flekken,Brentford,31 years old (13-06-1993),195cm,Netherlands,Goalkeeper
Ryan Gravenberch,Liverpool,22 years old (16-05-2002),190cm,Netherlands,Defensive Midfielder (C)
Declan Rice,Arsenal,26 years old (14-01-1999),188cm,England,"Defender (Centre), Defensive Midfielder (C)"
Eberechi Eze,Crystal Palace,26 years old (29-06-1998),178cm,England,"Attacking Midfielder (Centre, Left, Right)"
Neto,Arsenal,35 years old (19-07-1989),190cm,Brazil,Goalkeeper
Aaron Wan-Bissaka,West Ham,27 years old (26-11-1997),183cm,England,"Defender (Left, Right), Midfielder (Right)"
Chris Wood,Nottingham Forest,33 years old (07-12-1991),191cm,New Zealand,Forward
