,TotAD,WonAD,LostAD
0,0.7,0.3,0.4
1,1.4,0.4,0.9
2,2.5,0.9,1.6
3,1.2,0.4,0.9
4,3.4,1.8,1.6
5,0.3,-,0.2
6,3.1,1,2.1
7,1.3,0.4,0.9
8,0.8,0.3,0.5
9,1.5,0.6,0.9
10,4.2,1.9,2.3
11,0.2,0.2,-
12,0.4,-,0.4
13,1.1,0.4,0.7
14,0.5,0.1,0.4
15,4,4,-
16,0.6,0.2,0.4
17,2.2,1.4,0.8
18,6.6,3,3.5
19,1.2,0.7,0.5
20,4.5,3.2,1.3
21,3.8,1.6,2.2
22,4.3,3.2,1.1
23,1.7,0.3,1.4
24,1.1,0.4,0.8
25,1.6,0.6,1
26,0.6,0.1,0.5
27,0.1,0.1,-
28,1,0.7,0.3
29,1.7,1,0.7
30,1.5,0.2,1.3
31,-,-,-
32,1.6,0.7,0.9
33,6.6,2.6,4
34,2.8,1.3,1.5
35,1,0.5,0.4
36,1.7,1.1,0.6
37,1.1,0.2,0.9
38,0.9,0.2,0.6
39,1.5,0.9,0.6
40,2.4,1.5,0.9
41,0.4,0.2,0.3
42,1,0.3,0.8
43,1.9,1.2,0.6
44,1,0.2,0.9
45,1.5,0.5,1
46,0.6,0.3,0.3
47,0.4,0.2,0.3
48,2,0.7,1.3
49,1.1,0.4,0.7
50,0.1,-,0.1
51,3.8,2.3,1.5
52,0.7,0.2,0.5
53,2.4,0.6,1.8
54,2.5,1.3,1.2
55,1.6,0.9,0.7
56,0.5,0.5,-
57,4.9,3.2,1.7
58,0.5,0.1,0.4
59,3.3,1.6,1.8
60,1.5,0.5,1
61,2,1,1
62,3.6,2,1.7
63,1.4,0.6,0.8
64,4.1,2.9,1.2
65,2.3,1.1,1.1
66,3.2,1.3,1.9
67,1.8,0.8,1
68,3.4,1.8,1.6
69,1,0.5,0.5
70,5.3,3,2.3
71,3.1,1.8,1.3
72,0.8,0.3,0.4
73,4.2,1.8,2.4
74,2.5,1.4,1.1
75,3.3,2,1.4
76,1.6,0.8,0.8
77,1.7,0.3,1.4
78,1.4,0.8,0.6
79,2.1,1.3,0.8
80,2.4,1.3,1.1
81,0.9,0.2,0.7
82,1.9,1.1,0.8
83,3.4,1.9,1.5
84,0.4,0.4,-
85,3.7,2.6,1.1
86,2.2,0.9,1.3
87,3,1.9,1.1
88,1.2,0.6,0.7
89,1.5,0.8,0.7
90,1.9,1.2,0.7
91,1.7,0.4,1.3
92,1.5,0.6,1
93,3.7,1.5,2.2
94,1,0.1,0.9
95,3.9,2.4,1.5
96,4.9,1.8,3
97,0.4,0.4,-
98,0.6,0.5,0.1
99,-,-,-
100,0.9,0.3,0.5
101,5.9,4,1.9
102,0.6,0.3,0.3
103,1.2,0.7,0.5
104,1,0.4,0.6
105,2.3,1.5,0.8
106,0.2,0.2,-
107,1.6,0.9,0.7
108,1.1,0.4,0.7
109,2.4,1.5,0.9
110,2.4,1.4,1
111,5.3,3,2.3
112,4.4,2.3,2.1
113,3.9,2.4,1.5
114,0.4,0.1,0.3
115,2.1,0.7,1.4
116,3.2,1.8,1.4
117,1.4,0.4,1
118,3.6,2,1.6
119,3.8,2,1.8
120,4.1,2.3,1.9
121,0.5,0.1,0.4
122,1.5,0.5,1
123,0.6,0.5,0.1
124,4.6,2,2.6
125,0.3,0.3,-
126,6.7,3.6,3.1
127,0.8,0.2,0.6
128,1.4,0.8,0.7
129,1.7,0.7,1
130,0.3,0.3,-
131,2,1.3,0.7
132,0.7,0.3,0.3
133,2.7,1.5,1.2
134,3.7,2.2,1.6
135,3.9,2.1,1.8
136,4.9,2.9,2
137,3.3,1.3,1.9
138,2.1,1.2,0.9
139,2.2,1.3,0.8
140,0.7,0.2,0.5
141,3,1.9,1.1
142,1.4,0.6,0.8
143,3.4,1.3,2.1
