,BlkSh,BlkCr,BlkPs
0,-,-,0.3
1,-,0.1,0.9
2,0.1,-,0.5
3,-,0.1,0.6
4,-,-,0.4
5,-,-,0.4
6,0.1,0.1,0.6
7,-,-,0.5
8,0.1,-,0.8
9,0.1,0.2,0.8
10,0.2,0.2,1.5
11,-,-,-
12,-,-,0.4
13,-,0.1,0.5
14,0.3,0.3,0.6
15,-,-,-
16,-,-,0.4
17,0.2,0.3,0.9
18,0.2,-,0.9
19,0.5,-,0.6
20,0.4,-,0.3
21,0.1,0.4,1
22,1.3,0.1,0.5
23,0.1,0.1,0.6
24,0.1,0.1,1
25,0.2,-,1.7
26,-,0.1,1
27,-,-,0.1
28,0.3,0.1,0.7
29,0.3,-,0.4
30,-,0.1,0.9
31,-,-,-
32,0.3,0.4,0.7
33,0.2,-,0.1
34,0.1,-,0.4
35,0.3,0.1,0.7
36,1.4,0.2,0.7
37,-,-,0.5
38,0.1,0.3,0.7
39,0.3,0.2,1
40,0.5,0.4,0.6
41,0.1,0.1,0.8
42,-,-,0.7
43,0.3,0.2,1.1
44,-,-,0.7
45,1,0.5,-
46,-,-,0.7
47,0.1,0.1,0.4
48,0.1,-,0.4
49,0.6,0.3,0.8
50,0.1,-,0.4
51,0.9,0.2,0.3
52,-,0.1,0.3
53,-,-,0.3
54,-,-,0.6
55,0.2,0.2,0.5
56,-,-,-
57,1.5,0.1,0.6
58,-,-,0.4
59,-,-,0.5
60,0.2,0.1,0.9
61,0.2,-,0.7
62,0.2,-,1.1
63,0.2,0.3,1.1
64,0.7,-,0.5
65,0.7,0.9,0.6
66,0.3,0.1,0.8
67,0.4,0.1,1.1
68,0.8,-,0.8
69,-,-,-
70,0.3,-,0.3
71,0.9,-,0.4
72,0.1,-,0.8
73,0.3,-,0.4
74,0.6,-,1
75,1,0.1,0.5
76,0.1,0.1,1.4
77,0.2,0.1,0.5
78,0.5,0.5,0.7
79,0.3,-,1.1
80,0.3,0.1,0.6
81,0.1,0.1,0.7
82,0.2,0.5,1
83,0.4,0.1,0.9
84,-,-,-
85,0.6,0.3,0.5
86,0.1,0.1,0.5
87,0.4,-,0.3
88,0.1,0.2,1
89,0.4,0.2,0.7
90,0.3,0.3,0.4
91,-,-,0.8
92,-,0.1,0.6
93,-,-,0.3
94,-,0.1,0.3
95,0.2,0.3,0.9
96,0.1,-,0.4
97,-,-,-
98,-,-,-
99,-,-,0.3
100,-,-,0.5
101,0.7,0.1,0.3
102,-,-,0.2
103,0.3,-,1.1
104,0.4,0.3,0.7
105,0.5,0.1,1.1
106,-,-,-
107,0.4,0.2,0.8
108,0.1,0.1,0.6
109,0.4,0.1,0.3
110,0.1,0.3,0.4
111,0.6,-,0.6
112,0.2,0.1,0.5
113,0.9,0.1,0.3
114,-,-,0.4
115,0.3,0.2,0.7
116,0.8,0.1,0.3
117,-,-,0.2
118,0.9,0.2,0.2
119,0.1,0.1,0.8
120,0.1,0.1,0.4
121,0.2,-,0.7
122,-,0.1,0.4
123,-,-,-
124,0.2,-,0.4
125,-,-,-
126,1,0.2,0.6
127,-,0.1,0.8
128,0.1,0.1,0.5
129,-,0.2,0.3
130,-,-,-
131,0.3,0.2,0.9
132,0.3,0.1,0.6
133,0.3,0.3,0.4
134,0.7,0.1,1
135,0.7,0.2,1.1
136,0.8,0.1,0.5
137,0.1,-,0.3
138,0.1,0.2,0.7
139,0.3,0.3,0.7
140,-,0.1,0.2
141,-,-,1.3
142,-,-,0.6
143,0.8,0.1,0.4
144,0.2,0.1,0.5
145,0.1,-,0.4
146,0.2,0.3,0.7
147,1.1,-,0.5
148,1.6,0.2,0.4
149,0.1,-,0.3
150,0.4,-,0.7
151,-,-,0.3
152,-,-,-
153,0.3,-,-
154,0.6,0.2,0.4
155,0.2,0.3,1.4
156,0.3,0.3,0.5
157,0.6,0.1,0.4
158,0.8,0.2,0.3
159,-,-,0.5
160,0.4,0.1,0.4
161,0.6,0.1,0.4
162,-,-,0.4
163,0.7,0.1,0.4
164,0.5,-,0.1
165,-,0.1,0.3
166,1.2,-,0.4
167,0.4,0.2,0.8
168,-,-,-
169,0.7,0.4,0.9
170,0.4,0.6,0.6
171,-,-,0.3
172,0.3,0.4,0.4
173,0.3,0.4,1.5
174,0.8,0.1,0.3
175,0.4,0.1,0.1
176,0.1,0.1,1
177,0.2,-,0.5
178,2,-,0.6
179,1.2,0.1,0.6
180,0.3,0.3,0.5
181,0.6,0.2,0.4
182,0.1,-,0.6
183,-,-,-
184,0.3,0.4,0.7
185,0.7,-,0.7
186,0.3,0.3,0.3
187,-,-,-
188,1,0.3,0.3
189,0.9,0.1,0.3
190,0.2,0.1,0.4
191,-,0.3,0.2
192,0.2,0.2,0.7
193,0.3,-,0.9
