,YelC,RedC
0,-,-
1,0.2,-
2,-,-
3,0.1,-
4,0.1,-
5,0.2,-
6,0.1,-
7,0.1,-
8,-,-
9,0.1,0.1
10,0.3,-
11,-,-
12,-,-
13,0.1,-
14,0.1,-
15,-,-
16,-,-
17,0.3,-
18,0.2,-
19,0.1,-
20,0.1,-
21,0.3,-
22,0.2,-
23,-,-
24,0.1,-
25,0.2,-
26,0.1,-
27,-,-
28,0.2,-
29,0.1,-
30,-,-
31,-,-
32,-,-
33,-,-
34,0.2,-
35,0.2,-
36,0.2,-
37,0.1,-
38,0.1,-
39,0.3,-
40,-,-
41,0.1,-
42,0.2,-
43,0.2,-
44,-,-
45,-,-
46,0.2,-
47,0.2,-
48,0.3,-
49,0.1,-
50,0.1,-
51,0.3,-
52,0.1,-
53,0.4,-
54,-,-
55,0.1,-
56,0.1,-
57,0.1,-
58,0.1,-
59,0.2,-
60,0.2,-
61,0.1,-
62,0.3,-
63,0.1,-
64,0.1,-
65,0.1,-
66,-,-
67,0.3,-
68,0.1,-
69,-,-
70,0.3,-
71,0.2,-
72,0.1,-
73,-,-
74,0.2,-
75,0.1,-
76,-,-
77,0.3,-
78,0.1,0.1
79,0.2,-
80,0.3,-
81,0.2,-
82,0.2,-
83,0.2,-
84,0.3,-
85,0.2,-
86,0.2,-
87,0.1,-
88,0.2,-
89,0.4,-
90,0.2,-
91,-,-
92,0.2,-
93,-,-
94,-,-
95,0.1,-
96,0.1,-
97,-,-
98,0.1,-
99,0.1,-
100,0.1,-
101,0.3,-
102,0.2,-
103,0.2,-
104,0.1,-
105,0.1,-
106,0.2,-
107,0.2,-
108,0.1,-
109,0.2,-
110,0.2,-
111,0.3,-
112,0.1,-
113,0.2,-
114,0.1,-
115,0.1,-
116,0.2,-
117,-,-
118,0.1,-
119,-,-
120,0.1,-
121,0.2,-
122,-,-
123,0.1,-
124,0.1,-
125,0.1,-
126,0.3,-
127,0.1,-
128,0.2,-
129,-,-
130,-,-
131,0.2,-
132,0.2,-
133,0.1,-
134,0.2,-
135,0.3,-
136,0.1,-
137,-,-
138,0.1,-
139,0.1,-
140,-,-
141,0.4,-
142,0.1,-
143,0.2,-
144,0.1,-
145,0.1,-
146,0.3,-
147,0.1,-
148,0.2,-
149,0.3,-
150,0.3,-
151,0.3,-
152,0.1,-
153,0.2,-
154,0.5,-
155,0.1,-
156,0.2,-
157,0.1,-
158,0.1,-
159,0.1,-
160,0.2,-
161,0.2,-
162,0.1,-
163,0.2,-
164,0.3,-
165,0.3,-
166,0.3,-
167,0.2,-
168,-,-
169,0.1,-
170,0.3,-
171,-,-
172,-,-
173,0.1,-
174,0.2,-
175,0.2,-
176,0.3,-
177,0.3,-
178,0.4,-
179,0.1,-
180,0.3,-
181,0.2,-
182,0.1,-
183,0.2,-
184,-,-
185,0.3,-
186,0.2,-
187,0.1,-
188,0.2,-
189,-,-
190,0.5,-
191,-,-
192,0.2,-
193,0.3,-
194,-,-
195,0.2,-
196,0.1,-
197,0.1,-
198,0.1,-
199,0.1,-
200,0.4,-
201,0.1,-
202,0.1,-
203,-,-
204,0.1,-
205,-,-
206,0.1,-
207,-,-
208,0.2,-
209,0.4,-
210,-,-
211,0.1,-
212,0.3,-
213,0.3,-
214,0.1,-
215,-,-
216,0.1,-
217,0.1,-
218,0.4,-
219,0.4,-
220,0.1,-
221,0.3,-
222,0.1,-
223,0.3,-
224,-,-
225,0.1,-
226,0.1,-
227,0.2,-
228,0.1,-
229,0.2,-
230,0.3,-
231,0.1,-
232,-,-
233,0.1,-
234,0.2,-
235,0.1,-
236,0.2,-
237,-,-
238,0.2,-
239,0.3,-
240,-,-
241,0.1,-
242,-,-
243,0.2,-
244,0.2,-
245,0.1,-
246,0.2,-
247,0.2,-
248,-,-
249,0.2,-
250,0.2,-
251,-,-
252,0.2,-
253,0.2,-
254,0.1,-
255,0.2,-
256,0.2,-
257,0.1,-
258,-,-
259,-,-
260,0.1,-
261,-,-
262,-,-
263,-,-
264,0.3,-
265,0.2,-
266,0.1,-
267,-,-
268,0.1,-
269,0.2,-
270,0.2,-
271,0.3,-
272,0.1,-
273,0.1,-
274,0.1,-
275,0.1,-
276,-,-
277,0.3,-
278,0.2,-
279,-,-
280,0.2,-
281,0.2,-
282,-,-
283,0.2,-
284,-,-
285,0.4,-
286,0.1,-
287,0.1,-
288,0.1,-
289,-,-
290,0.1,-
291,0.1,-
292,0.2,-
293,0.1,-
294,0.1,-
295,0.1,-
296,-,-
297,0.2,-
298,0.2,-
299,-,-
300,-,-
301,0.1,-
302,0.1,0.1
303,0.2,-
304,0.2,-
305,-,-
306,0.1,-
307,0.3,-
308,0.2,-
309,-,-
310,0.2,-
311,0.2,-
312,0.2,0.1
313,0.7,-
314,-,-
315,0.1,-
316,0.2,-
317,0.2,-
318,0.2,-
319,0.1,-
320,0.4,-
321,0.3,-
322,0.1,-
323,-,-
324,0.1,-
325,0.1,-
326,0.1,-
327,-,-
328,-,-
329,0.1,-
330,0.1,-
331,0.2,-
332,0.1,-
333,-,-
334,0.2,-
335,-,-
336,0.1,-
337,0.1,-
338,0.1,-
339,-,-
340,0.3,-
341,0.2,-
342,0.1,-
343,0.1,-
344,0.3,-
345,0.1,-
346,0.3,-
347,0.1,-
348,0.1,-
349,0.1,-
350,0.3,-
351,0.1,-
352,0.1,-
353,-,-
354,0.2,-
355,0.1,-
356,-,-
357,0.1,-
358,-,-
359,-,-
360,-,-
361,0.3,-
362,0.1,-
363,-,-
364,0.2,0.2
365,0.3,-
366,0.2,-
367,0.2,-
368,-,-
369,0.1,-
370,0.1,-
371,0.2,-
372,0.1,-
373,0.3,-
374,-,-
375,0.2,-
376,0.2,-
377,0.2,-
378,-,-
379,0.2,-
380,0.3,-
381,0.1,-
382,0.2,-
383,-,-
384,-,-
385,0.1,-
386,-,-
387,0.2,-
388,0.1,-
389,0.1,-
390,-,-
391,0.3,-
392,0.3,-
393,-,-
394,-,-
395,-,-
396,-,-
397,0.2,0.1
398,0.1,-
399,0.1,-
400,0.1,-
401,-,-
402,0.2,-
403,0.1,-
404,0.5,-
405,0.5,-
406,-,-
407,-,-
408,0.1,-
409,0.2,-
410,-,-
411,-,-
412,0.2,-
413,-,-
414,0.3,-
415,0.2,-
416,0.1,-
417,-,-
418,0.5,-
419,-,-
420,0.1,-
421,-,-
422,-,-
423,0.2,0.1
424,-,-
425,0.1,-
426,0.1,-
427,0.2,-
428,0.1,-
429,0.1,-
430,-,-
431,0.2,-
432,0.1,-
433,0.1,-
434,-,-
435,0.1,-
436,1,-
437,-,-
438,0.1,-
439,0.1,-
440,0.3,-
441,-,-
442,-,-
443,0.1,-
444,0.2,0.1
445,0.1,-
446,-,-
447,-,-
448,0.1,-
449,0.1,-
450,-,-
451,-,-
452,0.3,-
453,-,-
454,0.1,-
455,-,-
456,-,-
457,0.4,-
458,-,-
459,-,-
460,-,-
461,-,-
462,-,-
463,-,-
464,-,-
