,UnDrib,SucDrib,TotDrib
0,2,1.6,3.7
1,2.4,1.9,4.3
2,1.4,1.4,2.9
3,2.5,1.9,4.4
4,0.8,0.4,1.1
5,1.8,1.4,3.2
6,1.6,1.2,2.8
7,1.9,1.5,3.4
8,1.6,0.6,2.2
9,1.2,0.8,2
10,1.8,2,3.8
11,-,-,-
12,3.3,4,7.3
13,1.6,1.6,3.3
14,0.6,0.5,1
15,-,-,-
16,1.9,1,2.9
17,1.3,1,2.3
18,1.4,0.4,1.8
19,0.8,0.9,1.7
20,0.1,0.1,0.2
21,1,0.6,1.5
22,0.1,0.2,0.2
23,2.4,1.4,3.9
24,1.3,1.4,2.7
25,0.8,0.5,1.3
26,0.9,1,1.9
27,-,-,-
28,1.2,1,2.2
29,0.5,0.4,0.8
30,2.3,2.1,4.3
31,-,-,-
32,1.4,1.6,3.1
33,0.2,0.1,0.3
34,1.5,1,2.5
35,1.1,0.9,2
36,0.2,0.8,1
37,1.1,1.3,2.5
38,2.6,2.2,4.8
39,0.9,0.6,1.5
40,0.5,0.7,1.3
41,2.1,1.3,3.4
42,1.6,1.1,2.7
43,1.1,1.1,2.2
44,1.3,1.3,2.6
45,-,1,1
46,0.7,0.8,1.5
47,1.4,1,2.5
48,1.5,0.7,2.1
49,0.7,0.4,1.1
50,2.3,1.9,4.2
51,0.1,0.1,0.2
52,0.8,0.5,1.4
53,1.6,2.3,3.9
54,3.6,2.6,6.3
55,0.3,0.6,0.9
56,-,0.1,0.1
57,0.2,0.2,0.4
58,1,1.2,2.2
59,2,1,3
60,0.7,0.7,1.4
61,1,0.4,1.4
62,1.1,0.5,1.6
63,1.6,1.6,3.2
64,-,-,-
65,0.4,0.4,0.8
66,1.3,1.2,2.5
67,0.9,0.8,1.7
68,0.3,0.5,0.8
69,-,-,-
70,0.7,0.3,1
71,0.3,0.7,1
72,2.6,1.3,3.8
73,1.4,0.7,2.1
74,0.2,0.2,0.4
75,-,0.1,0.2
76,2.5,1.5,4.1
77,2.7,1.8,4.6
78,1.6,1.7,3.3
79,0.7,1.1,1.8
80,0.2,0.3,0.5
81,0.8,0.7,1.4
82,0.8,0.5,1.3
83,0.2,0.3,0.4
84,-,-,-
85,0.1,0.1,0.2
86,1.2,0.9,2
87,0.2,0.4,0.6
88,0.5,0.6,1.2
89,0.1,0.3,0.4
90,0.8,0.8,1.6
91,3.8,2.9,6.7
92,1.6,1.4,3
93,0.5,0.2,0.8
94,1.3,1.1,2.4
95,0.2,0.1,0.2
96,0.7,0.5,1.3
97,-,-,-
98,-,-,-
99,0.7,0.7,1.4
100,1.7,1.2,2.8
101,-,0.1,0.1
102,1.2,0.8,2
103,0.6,0.5,1.1
104,1.2,1,2.1
105,0.1,0.1,0.3
106,-,-,-
107,0.6,0.5,1.1
108,0.7,0.9,1.6
109,0.4,0.6,0.9
110,0.6,0.6,1.1
111,0.2,0.2,0.4
112,0.4,0.3,0.7
113,0.1,0.2,0.3
114,1,0.5,1.6
115,0.8,0.6,1.3
116,0.1,0.1,0.2
117,0.6,1.2,1.8
118,-,0.2,0.2
119,0.3,-,0.3
120,1.5,0.8,2.3
121,1,0.9,2
122,2.6,1.1,3.7
123,-,-,-
124,0.8,0.6,1.4
125,-,-,-
126,-,0.1,0.1
127,1.3,0.9,2.2
128,1,0.8,1.8
129,1.5,0.7,2.2
130,-,-,-
131,0.5,0.1,0.7
132,0.4,0.6,1
133,0.4,0.2,0.6
134,0.1,0.4,0.5
135,0.7,0.5,1.2
136,0.3,0.1,0.4
137,0.9,0.3,1.2
138,0.3,0.3,0.6
139,0.6,0.8,1.3
140,1.1,0.7,1.9
141,0.4,0.1,0.6
142,0.8,0.4,1.2
143,0.1,0.3,0.4
144,1.1,0.4,1.6
145,0.3,0.2,0.5
146,0.4,0.2,0.6
147,0.2,0.4,0.6
148,-,-,0.1
149,0.4,0.8,1.2
150,0.4,0.4,0.8
151,1.3,1.2,2.5
152,-,-,-
153,0.7,0.5,1.2
154,0.5,0.6,1.1
155,0.8,0.5,1.3
156,1.7,1.1,2.8
157,0.1,0.2,0.3
158,0.1,0.1,0.1
159,2,0.6,2.6
160,0.2,0.5,0.8
161,0.3,0.6,0.9
162,0.9,0.5,1.4
163,0.2,0.1,0.3
164,0.1,0.1,0.2
165,2.1,0.9,2.9
166,-,0.1,0.1
167,0.6,0.2,0.8
168,-,-,-
169,0.2,0.1,0.3
170,1.1,0.9,2.1
171,1.9,1.7,3.5
172,0.3,0.2,0.5
173,0.5,0.4,0.9
174,0.1,0.2,0.3
