,Fouled,Fouls
0,1,0.7
1,1.8,0.7
2,0.4,0.8
3,2.2,1.4
4,0.4,0.8
5,1.7,0.4
6,1.1,0.7
7,0.9,1.5
8,1.7,0.8
9,1.2,0.8
10,1.1,2
11,0.2,-
12,1.2,0.3
13,1,0.9
14,0.3,0.3
15,2,-
16,1,0.2
17,0.5,0.9
18,1,1.7
19,1.5,1.3
20,0.4,0.5
21,0.6,1.5
22,0.8,1.1
23,1.5,0.6
24,0.7,0.4
25,1.2,1.9
26,0.3,0.4
27,0.1,-
28,1.4,1.2
29,0.5,0.6
30,1.6,0.3
31,1,-
32,0.7,0.7
33,0.7,0.7
34,1.2,1.1
35,3,1.5
36,0.1,0.7
37,0.9,0.4
38,1.6,0.8
39,1.6,1.8
40,0.6,0.4
41,2.2,0.7
42,0.9,1.4
43,1.6,1.2
44,0.5,0.5
45,1.5,1
46,0.8,0.8
47,2.1,1
48,1,1
49,0.9,0.8
50,1,0.7
51,0.3,1
52,0.6,0.6
53,1.3,0.6
54,1.8,1
55,0.9,1.2
56,0.1,-
57,0.8,0.8
58,0.7,0.4
59,1.7,0.9
60,1.4,1.5
61,1.5,0.9
62,1.2,2
63,1.1,0.8
64,0.1,0.5
65,0.8,0.3
66,0.6,0.5
67,1.1,1.5
68,1.3,0.8
69,0.5,-
70,0.7,1.3
71,0.4,0.3
72,1.2,1.4
73,1.5,1.6
74,0.9,1.3
75,0.7,0.7
76,0.7,1.2
77,1.5,1.4
78,1.2,0.9
79,1.5,1.3
80,0.3,1.5
81,0.8,0.9
82,1.2,0.7
83,0.6,1.1
84,0.1,0.1
85,0.7,0.9
86,0.9,1
87,0.5,0.9
88,0.7,1.2
89,0.4,1.1
90,0.3,1.3
91,2.1,1.3
92,0.3,0.6
93,1.6,1.1
94,0.4,0.1
95,0.7,0.7
96,0.8,0.9
97,0.1,-
98,0.3,-
99,0.4,0.9
100,0.8,0.8
101,0.4,0.8
102,0.8,0.4
103,1.2,1.5
104,1.1,0.7
105,0.9,0.7
106,0.2,-
107,0.8,1.4
108,0.7,0.6
109,0.5,1
110,0.6,1.2
111,0.8,1.3
112,0.8,1.4
113,0.6,0.7
114,1.2,0.2
115,1.4,0.8
116,0.5,0.3
117,0.4,0.8
118,0.8,0.3
119,1,1.1
120,1,0.6
121,0.9,0.8
122,0.6,0.5
