,TotGs,SYBGs,PAGs,OOBGs
0,0.8,0.2,0.7,-
1,0.3,0.1,0.3,-
2,0.7,0.3,0.3,0.1
3,0.5,-,0.3,0.2
4,0.8,0.1,0.5,0.1
5,0.5,-,0.3,0.1
6,0.5,-,0.4,0.1
7,0.4,-,0.3,-
8,0.6,-,0.4,0.2
9,0.3,-,0.1,0.2
10,0.3,0.1,0.2,-
11,-,-,-,-
12,0.1,-,0.1,-
13,0.3,-,0.3,-
14,0.1,-,-,-
15,-,-,-,-
16,0.3,-,0.3,-
17,-,-,-,-
18,0.4,0.1,0.2,-
19,0.1,-,0.1,-
20,0.1,-,-,-
21,0.1,-,0.1,-
22,-,-,-,-
23,0.3,0.1,0.2,-
24,0.1,-,0.1,-
25,0.1,-,0.1,-
26,0.3,0.1,0.2,-
27,-,-,-,-
28,-,-,-,-
29,0.1,-,0.1,-
30,0.1,-,-,0.1
31,-,-,-,-
32,0.1,-,0.1,-
33,0.6,0.1,0.4,-
34,0.2,0.1,0.1,-
35,0.1,0.1,0.1,-
36,-,-,-,-
37,0.2,0.1,-,0.1
38,0.3,-,0.3,-
39,-,-,-,-
40,0.2,-,0.1,-
41,0.2,-,0.2,-
42,0.4,-,0.3,0.1
43,-,-,-,-
44,0.3,-,0.2,0.1
45,-,-,-,-
46,0.2,-,-,0.2
47,0.3,0.1,0.1,0.1
48,0.3,0.1,0.3,-
49,0.1,-,0.1,-
50,-,-,-,-
51,0.1,-,-,-
52,0.1,-,-,0.1
53,0.1,-,0.1,-
54,-,-,-,-
55,0.1,-,-,0.1
56,-,-,-,-
57,0.1,-,-,-
58,0.2,-,-,0.1
59,0.4,0.1,0.3,-
60,0.2,0.1,0.1,-
61,0.5,0.2,0.3,-
62,0.1,-,0.1,-
63,0.1,-,0.1,-
64,0.1,0.1,0.1,-
65,-,-,-,-
66,0.2,0.1,0.2,-
67,0.1,-,-,-
68,0.3,0.2,0.1,-
69,-,-,-,-
70,-,-,-,-
71,-,-,-,-
72,0.3,0.1,0.2,-
73,0.3,0.1,0.2,-
74,0.1,-,0.1,-
75,0.1,0.1,-,-
76,0.2,0.1,0.1,-
77,0.3,-,0.2,0.1
78,0.1,-,0.1,-
79,0.1,-,-,-
80,-,-,-,-
81,0.4,0.2,0.2,-
82,-,-,-,-
83,-,-,-,-
84,-,-,-,-
85,-,-,-,-
86,0.1,-,0.1,-
87,0.1,0.1,-,-
88,0.2,-,0.1,-
89,0.1,-,0.1,0.1
90,-,-,-,-
91,0.1,-,0.1,-
92,0.2,-,0.2,-
93,0.4,0.2,0.2,-
94,0.1,-,-,0.1
95,0.1,0.1,-,-
96,0.4,0.1,0.3,-
97,-,-,-,-
98,-,-,-,-
99,0.4,0.1,0.3,-
100,0.3,-,0.2,-
101,-,-,-,-
102,0.1,-,0.1,-
103,-,-,-,-
104,0.1,-,-,-
105,-,-,-,-
106,-,-,-,-
107,-,-,-,-
108,0.3,0.1,0.1,0.1
109,0.1,-,0.1,-
110,-,-,-,-
111,0.2,-,0.2,-
112,0.3,0.1,0.2,-
113,-,-,-,-
114,0.3,-,0.2,-
115,0.1,-,0.1,-
116,-,-,-,-
117,0.2,-,0.2,-
118,-,-,-,-
119,0.1,-,0.1,-
120,0.2,0.1,0.2,-
121,0.1,-,-,-
122,0.2,0.1,0.1,-
123,-,-,-,-
124,0.3,0.1,0.3,-
125,-,-,-,-
126,-,-,-,-
127,0.2,-,0.1,-
128,-,-,-,-
129,0.2,-,0.2,-
130,-,-,-,-
131,-,-,-,-
132,0.1,-,0.1,-
133,-,-,-,-
134,0.1,0.1,-,-
135,-,-,-,-
136,0.1,-,-,-
137,0.4,0.1,0.3,-
138,-,-,-,-
139,-,-,-,-
140,0.3,0.1,0.2,-
141,-,-,-,-
142,0.3,0.1,0.2,-
143,0.1,-,-,-
144,0.2,0.1,0.2,-
145,0.4,0.1,0.3,0.1
146,0.1,0.1,0.1,-
147,-,-,-,-
148,-,-,-,-
149,0.1,-,0.1,-
150,0.1,-,0.1,-
151,0.4,0.1,0.3,-
152,-,-,-,-
153,0.2,-,0.2,-
154,-,-,-,-
155,-,-,-,-
156,-,-,-,-
157,-,-,-,-
158,0.1,-,-,-
159,0.3,-,0.2,0.1
160,0.1,-,0.1,0.1
161,-,-,-,-
162,0.3,-,0.2,-
163,-,-,-,-
164,-,-,-,-
165,0.1,-,0.1,-
166,0.1,-,0.1,-
167,-,-,-,-
168,-,-,-,-
169,0.1,0.1,-,-
170,-,-,-,-
171,0.1,-,0.1,-
172,-,-,-,-
173,-,-,-,-
174,-,-,-,-
175,0.1,-,0.1,-
176,0.1,-,0.1,-
177,-,-,-,-
178,-,-,-,-
179,-,-,-,-
180,-,-,-,-
181,0.1,-,-,-
182,0.3,0.1,0.2,-
183,-,-,-,-
184,-,-,-,-
185,-,-,-,-
186,-,-,-,-
187,-,-,-,-
188,-,-,-,-
189,-,-,-,-
190,-,-,-,-
191,-,-,-,-
192,-,-,-,-
193,0.1,-,-,-
194,-,-,-,-
195,0.1,0.1,-,-
196,0.1,-,0.1,-
197,-,-,-,-
198,-,-,-,-
199,0.1,-,-,0.1
200,0.2,-,0.2,-
201,-,-,-,-
202,-,-,-,-
203,0.5,-,0.5,-
204,-,-,-,-
205,-,-,-,-
206,-,-,-,-
207,0.1,-,0.1,-
208,-,-,-,-
209,-,-,-,-
210,-,-,-,-
211,0.1,-,0.1,-
212,0.1,-,0.1,-
213,0.1,-,0.1,-
214,0.2,-,0.2,-
215,-,-,-,-
216,0.2,-,0.2,-
217,0.1,-,0.1,-
218,-,-,-,-
219,-,-,-,-
220,-,-,-,-
221,0.1,0.1,-,-
222,0.1,-,0.1,-
223,-,-,-,-
224,-,-,-,-
225,-,-,-,-
226,-,-,-,-
227,-,-,-,-
228,-,-,-,-
229,0.1,-,0.1,-
230,-,-,-,-
231,-,-,-,-
232,-,-,-,-
233,-,-,-,-
234,-,-,-,-
235,-,-,-,-
236,0.1,-,-,-
237,-,-,-,-
238,0.2,0.1,0.1,-
239,0.1,-,0.1,-
240,0.1,0.1,-,-
241,-,-,-,-
242,0.3,0.1,0.2,-
243,-,-,-,-
244,-,-,-,-
245,0.2,0.1,0.1,-
246,-,-,-,-
247,0.1,-,0.1,-
248,-,-,-,-
249,0.1,0.1,-,-
250,0.2,0.1,0.1,-
251,-,-,-,-
252,-,-,-,-
253,0.2,0.1,0.1,0.1
254,-,-,-,-
255,0.1,-,0.1,-
256,-,-,-,-
257,0.3,0.3,-,-
258,-,-,-,-
259,0.3,-,0.3,-
260,-,-,-,-
261,-,-,-,-
262,-,-,-,-
263,-,-,-,-
264,0.2,-,0.2,-
265,0.1,-,0.1,-
266,-,-,-,-
267,-,-,-,-
268,0.1,-,0.1,-
269,0.1,-,0.1,-
270,-,-,-,-
271,-,-,-,-
272,0.2,-,0.1,-
273,0.1,-,-,-
274,0.2,0.1,-,-
275,-,-,-,-
276,-,-,-,-
277,-,-,-,-
278,0.1,-,0.1,-
279,0.3,-,0.3,-
280,0.3,0.1,0.2,-
281,-,-,-,-
282,0.3,0.1,0.2,-
283,0.1,-,-,-
284,-,-,-,-
285,-,-,-,-
286,-,-,-,-
287,0.1,-,-,-
288,0.1,0.1,0.1,-
289,0.2,-,0.1,0.1
290,-,-,-,-
291,0.1,-,0.1,-
292,-,-,-,-
293,0.2,0.1,-,0.1
294,-,-,-,-
295,-,-,-,-
296,0.1,0.1,-,-
297,0.1,-,0.1,-
298,-,-,-,-
299,-,-,-,-
300,-,-,-,-
301,-,-,-,-
302,0.1,-,0.1,-
303,0.1,-,0.1,-
304,-,-,-,-
305,-,-,-,-
306,-,-,-,-
307,-,-,-,-
308,0.2,-,0.1,-
309,0.3,0.3,-,-
310,-,-,-,-
