,TotInt
0,0.2
1,0.1
2,0.1
3,0.6
4,0.2
5,0.2
6,0.4
7,0.2
8,0.5
9,0.8
10,0.2
11,-
12,0.2
13,0.5
14,1.1
15,-
16,0.2
17,1.7
18,0.3
19,0.7
20,1.6
21,1.2
22,1.3
23,0.6
24,0.8
25,0.6
26,0.4
27,-
28,1.7
29,0.8
30,0.4
31,-
32,1.8
33,0.1
34,0.6
35,0.8
36,0.9
37,0.3
38,0.6
39,1.3
40,1.1
41,0.2
42,0.5
43,0.8
44,0.3
45,0.5
46,0.7
47,0.4
48,0.1
49,1.1
50,0.2
51,1.8
52,0.3
53,0.1
54,0.4
55,1
56,0.1
57,1
58,0.5
59,0.3
60,0.4
61,0.3
62,0.8
63,0.7
64,0.7
65,0.7
66,0.3
67,1
68,1.6
69,-
70,1.3
71,0.9
72,0.4
73,-
74,1.4
75,0.6
76,0.4
77,0.2
78,0.9
79,1.4
80,1.3
81,0.1
82,0.8
83,1.7
84,-
85,0.4
86,0.2
87,0.6
88,0.3
89,1.6
90,1.2
91,0.2
92,0.4
93,-
94,0.1
95,1.2
96,0.1
97,-
98,-
99,0.1
100,0.3
101,0.8
102,0.1
103,1.2
104,1
105,0.6
106,-
107,1.8
108,0.3
109,1.6
110,1.1
111,0.5
112,0.5
113,1.3
114,0.4
115,1.2
116,0.9
117,0.4
118,0.5
119,0.5
120,0.2
121,0.7
122,0.1
123,-
124,0.3
125,0.1
126,0.9
127,0.3
128,0.7
129,0.2
130,-
131,1.3
132,1
133,1.1
134,0.8
135,1
136,1
137,0.2
138,0.9
139,1
140,0.2
141,0.6
142,0.2
143,1.4
144,0.2
145,0.1
146,0.2
147,1.1
148,1.1
149,0.3
150,1.5
151,0.1
152,-
153,1.3
154,1
155,0.8
156,0.5
157,1.1
158,1.2
159,0.3
160,0.5
161,0.8
162,0.3
163,0.8
164,1.6
165,0.3
166,2
167,0.9
168,-
169,0.5
170,0.8
171,0.1
172,1
173,0.4
174,1
175,0.5
176,0.6
177,0.8
178,2
179,0.7
180,1
181,0.8
182,0.3
183,-
184,0.6
185,0.7
186,0.6
187,0.1
188,0.7
189,0.8
190,0.9
191,0.5
192,0.9
193,0.8
194,0.5
195,1.2
196,-
197,-
198,0.9
199,0.8
200,1
201,-
202,-
203,-
204,0.5
205,0.4
206,0.6
207,-
208,0.8
209,0.8
210,1.3
211,1.1
212,0.4
213,0.8
214,0.4
215,0.8
216,0.1
217,0.5
218,0.8
219,1
220,0.8
221,0.3
222,0.3
223,0.9
224,-
225,-
226,0.7
227,0.9
228,-
229,0.7
230,1.3
231,0.7
232,-
233,0.6
234,0.7
235,1.4
236,0.7
237,-
238,0.2
239,0.6
240,0.2
241,0.8
242,0.2
243,1
244,0.1
245,0.3
246,0.8
247,0.7
248,0.3
249,0.9
250,0.1
251,0.5
252,1
253,0.6
254,0.8
255,1.4
256,0.8
257,-
258,1.4
259,0.2
260,1
261,-
262,1
263,-
264,0.1
265,0.3
266,0.9
267,-
268,0.3
269,0.7
270,0.5
271,0.9
272,0.3
273,0.3
274,-
275,0.9
276,0.3
277,0.4
278,0.4
279,-
280,-
281,0.6
282,-
283,0.3
284,1.2
285,0.6
286,0.6
287,0.2
288,0.4
289,0.5
290,0.5
291,0.8
292,-
293,1
294,0.5
295,0.9
296,0.1
297,0.1
298,0.6
299,0.3
300,-
301,0.8
302,0.4
303,0.4
304,-
305,-
306,-
307,0.3
308,0.5
309,-
310,0.5
311,0.3
312,-
313,0.7
314,-
315,0.5
316,0.4
317,0.6
318,0.4
319,0.9
320,1
321,0.6
322,-
323,2
324,0.1
325,0.4
326,1
327,-
328,0.3
329,0.6
330,0.3
331,1.4
332,0.3
333,0.3
334,0.6
335,0.7
336,0.5
337,0.5
338,0.9
339,0.7
340,1
341,0.5
342,-
343,0.4
344,0.9
345,0.8
346,1
347,0.2
348,0.2
349,0.6
350,0.3
351,0.2
352,0.2
353,-
354,0.8
355,0.3
356,-
357,-
358,-
359,0.5
360,0.2
361,0.7
362,0.2
363,0.5
364,0.2
365,0.6
366,0.4
367,0.4
368,0.3
369,0.9
370,0.4
371,0.5
372,1
373,0.3
374,-
375,0.5
376,0.5
377,0.2
378,0.3
379,0.7
380,1
381,0.1
382,0.9
383,0.3
384,0.7
385,0.2
386,0.3
387,0.4
388,0.3
389,0.4
390,0.2
391,1
392,0.1
393,0.3
394,0.2
395,0.1
396,0.1
397,1.2
398,0.5
399,0.1
400,0.2
401,-
402,0.3
403,0.4
404,-
405,1.3
406,0.3
407,0.2
408,0.1
409,0.4
410,0.3
411,1
412,0.4
413,-
414,0.1
415,0.2
416,0.8
417,-
418,-
419,-
420,0.2
421,1.3
422,1.3
423,0.2
424,0.6
425,0.3
426,0.6
427,0.1
428,0.5
429,-
430,0.1
431,0.2
432,0.2
433,0.2
434,0.2
435,0.3
436,-
437,-
438,0.2
439,0.1
440,0.2
441,-
442,1
443,-
444,1.1
445,-
446,0.2
447,0.2
448,0.5
449,0.6
450,-
451,0.1
452,0.4
453,0.2
454,0.3
455,0.3
456,0.2
457,0.5
458,0.1
459,-
460,0.3
461,-
462,0.3
463,0.7
464,0.1
465,0.2
466,0.4
467,0.1
468,-
469,0.5
470,-
471,-
472,0.2
473,-
474,0.1
475,-
476,-
477,0.2
478,0.4
479,0.3
480,0.6
481,0.6
482,1.3
483,0.1
484,0.1
485,-
486,0.1
487,-
488,-
489,-
490,-
491,-
492,-
493,0.1
494,-
495,0.5
496,0.5
497,0.2
498,-
499,-
500,-
501,0.2
502,-
503,-
504,0.1
505,-
506,0.1
507,-
508,-
509,1
510,1
511,-
512,-
513,0.4
514,0.7
515,0.3
516,-
517,0.1
518,-
519,-
520,-
521,0.7
522,-
523,0.2
524,-
525,-
526,-
527,-
528,0.3
529,-
530,-
531,0.3
532,-
533,-
534,-
535,-
536,-
537,-
538,-
539,0.7
540,-
541,-
542,-
543,-
544,-
545,-
546,-
547,-
548,-
549,0.1
550,-
551,-
552,0.1
553,-
554,-
555,-
556,0.3
557,-
558,-
559,-
560,0.6
561,-
562,1
563,-
