,TotKPs,LKPs,SKPs
0,2.3,0.2,2.2
1,2.3,0.6,1.7
2,1.3,0.1,1.2
3,1.7,0.2,1.5
4,0.9,-,0.9
5,2.5,0.6,1.8
6,1.8,0.3,1.4
7,1.6,-,1.5
8,1,0.1,0.9
9,2.5,0.4,2.1
10,1.3,0.1,1.3
11,-,-,-
12,1,-,1
13,1.8,0.3,1.5
14,1.8,0.4,1.5
15,-,-,-
16,1.8,0.1,1.7
17,1.3,0.2,1.1
18,0.8,-,0.8
19,1.8,0.4,1.3
20,0.3,-,0.3
21,1.2,-,1.1
22,0.5,0.1,0.3
23,1.6,0.3,1.3
24,1.7,0.4,1.3
25,1.2,0.3,0.9
26,1.2,0.1,1.1
27,0.1,0.1,-
28,0.8,0.1,0.7
29,1.7,0.7,1
30,1.8,0.3,1.5
31,-,-,-
32,0.9,0.1,0.7
33,0.5,0.1,0.5
34,1.6,0.2,1.4
35,1.3,0.1,1.2
36,0.4,0.1,0.3
37,2.2,0.9,1.3
38,0.6,-,0.6
39,0.8,0.2,0.7
40,0.8,-,0.8
41,1.8,0.4,1.4
42,1.5,0.2,1.4
43,1.1,0.3,0.8
44,1.6,0.2,1.4
45,-,-,-
46,1.1,-,1.1
47,1.3,0.2,1.1
48,1,0.1,0.9
49,1.6,0.6,1
50,1.7,0.1,1.6
51,0.5,-,0.5
52,2,0.5,1.5
53,1.1,0.3,0.9
54,0.5,-,0.5
55,0.6,-,0.6
56,-,-,-
57,0.3,-,0.2
58,1.6,0.1,1.6
59,1.1,0.1,1
60,2.3,0.5,1.8
61,0.8,-,0.8
62,0.8,-,0.8
63,1.1,0.2,1
64,0.2,0.1,0.2
65,1.3,0.4,0.9
66,1.1,0.1,0.9
67,1.4,0.2,1.2
68,0.3,0.1,0.3
69,-,-,-
70,-,-,-
71,0.2,0.1,0.1
72,2.3,0.2,2.1
73,0.6,-,0.6
74,0.5,0.1,0.4
75,0.5,0.1,0.4
76,1.1,-,1.1
77,1.4,0.1,1.3
78,0.5,0.1,0.5
79,0.7,0.3,0.5
80,1.5,0.3,1.2
81,0.7,-,0.7
82,0.5,0.1,0.4
83,0.2,-,0.2
84,0.1,0.1,-
85,0.4,0.2,0.2
86,1.6,0.4,1.2
87,0.2,-,0.2
88,1.4,0.1,1.2
89,0.5,0.2,0.3
90,0.8,0.1,0.7
91,1,0.1,0.9
92,1,0.1,0.8
93,0.8,-,0.8
94,1.4,0.1,1.3
95,0.4,0.1,0.3
96,0.8,0.1,0.8
97,-,-,-
98,-,-,-
99,1,0.1,0.9
100,1.1,0.1,1
101,0.2,0.1,0.2
102,2,0.2,1.8
103,0.6,-,0.6
104,0.4,0.1,0.3
105,0.9,0.2,0.7
106,0.1,0.1,-
107,0.3,0.3,0.1
108,1,0.2,0.9
109,0.6,0.1,0.5
110,0.9,0.2,0.7
111,0.5,-,0.4
112,0.6,-,0.6
113,0.1,0.1,-
114,1.7,0.4,1.3
115,0.8,0.2,0.6
116,0.1,0.1,-
117,0.4,0.2,0.2
118,0.3,0.1,0.2
119,0.5,-,0.5
120,0.6,0.1,0.5
121,1.6,-,1.5
122,1.2,0.1,1.1
123,-,-,-
124,0.5,0.1,0.5
125,-,-,-
126,0.2,-,0.2
127,1.1,0.1,1
128,0.6,-,0.6
129,1.2,0.3,1
130,-,-,-
131,0.6,-,0.6
132,0.4,-,0.4
133,0.6,0.1,0.5
134,0.4,0.2,0.2
135,0.6,0.1,0.5
136,0.4,0.1,0.3
137,0.7,-,0.7
138,1.2,0.3,0.9
139,0.5,0.1,0.4
140,0.7,-,0.7
141,0.1,-,0.1
142,0.6,-,0.6
143,0.2,0.1,0.1
144,1.1,-,1.1
145,0.6,-,0.6
146,0.4,0.1,0.3
147,0.5,0.1,0.4
148,0.1,0.1,-
149,1,-,1
150,0.4,0.1,0.3
151,0.6,0.1,0.5
152,-,-,-
153,0.8,0.3,0.5
154,0.4,0.1,0.4
155,0.7,0.1,0.6
156,0.7,0.1,0.6
157,0.3,0.2,0.2
158,0.2,0.1,0.1
159,1,0.3,0.7
160,0.4,-,0.4
161,0.3,-,0.2
162,0.5,-,0.5
163,0.4,0.1,0.3
164,0.3,0.1,0.2
165,1.4,0.3,1.1
166,0.2,-,0.2
167,0.3,0.1,0.2
168,0.3,0.3,-
169,0.1,-,0.1
170,0.7,0.1,0.5
171,1.3,-,1.3
172,0.4,0.1,0.3
173,1.1,0.1,1.1
174,0.5,-,0.5
175,0.1,-,0.1
176,0.9,0.3,0.6
177,0.5,0.2,0.3
178,0.4,0.4,-
179,0.2,-,0.2
180,0.5,-,0.4
181,0.4,0.2,0.3
182,0.9,0.1,0.8
183,-,-,-
184,0.6,0.1,0.5
185,1.3,0.3,1
186,1.2,0.6,0.7
187,-,-,-
188,0.7,-,0.7
189,0.4,-,0.4
190,0.8,0.2,0.7
191,0.7,0.4,0.3
192,0.7,0.3,0.4
193,0.6,-,0.6
194,0.3,-,0.3
195,0.4,0.1,0.3
196,1.1,-,1.1
197,0.1,0.1,-
198,1.4,0.5,0.9
199,0.7,0.3,0.4
200,0.2,-,0.2
201,0.2,0.2,-
202,-,-,-
203,-,-,-
204,0.5,0.2,0.3
205,1.2,0.1,1.1
206,1,0.2,0.7
207,0.5,0.1,0.4
208,0.7,0.1,0.6
209,0.2,-,0.2
210,0.3,0.1,0.2
211,0.4,-,0.4
212,0.9,0.2,0.7
213,0.7,-,0.6
214,0.7,-,0.6
215,0.2,-,0.1
216,0.3,-,0.3
217,1.2,0.1,1.1
218,0.2,-,0.2
219,0.3,0.1,0.2
220,1.3,0.6,0.7
221,1.8,0.7,1.2
222,0.3,-,0.3
223,0.4,0.1,0.4
224,-,-,-
225,0.1,0.1,-
226,0.4,0.1,0.4
227,0.2,-,0.2
228,-,-,-
229,0.6,-,0.6
230,0.3,-,0.3
231,1.3,0.3,1
232,-,-,-
233,0.9,0.3,0.6
234,-,-,-
235,0.1,0.1,0.1
236,0.6,0.3,0.3
237,-,-,-
238,0.5,0.1,0.4
239,1.1,0.1,1
240,0.7,-,0.7
241,0.2,-,0.2
242,0.2,-,0.2
243,0.3,0.1,0.3
244,-,-,-
245,0.6,-,0.6
246,0.7,0.1,0.6
247,0.5,0.1,0.4
248,0.3,-,0.3
249,0.1,-,0.1
250,0.6,-,0.6
251,0.5,-,0.5
252,0.4,-,0.4
253,0.5,-,0.5
254,0.4,0.1,0.3
255,0.4,-,0.4
256,1.8,0.5,1.3
