,UnTch,Dispo
0,3.1,1.8
1,1.4,1.9
2,2,1.7
3,2.5,1.6
4,1.4,0.9
5,1.8,1
6,2.7,1.2
7,1.6,1.4
8,2.8,0.9
9,1.1,1.2
10,2.4,2.1
11,-,-
12,2.1,2.2
13,1.6,1.5
14,0.7,0.5
15,-,-
16,0.9,1
17,1.3,0.5
18,2,1
19,0.9,0.8
20,0.2,0.2
21,1.5,0.6
22,0.4,0.2
23,2.3,2.3
24,1.7,1.3
25,0.8,0.6
26,0.9,1.1
27,0.1,-
28,1.4,0.6
29,1.2,0.8
30,1.8,1.6
31,-,-
32,0.9,0.6
33,2.1,0.7
34,2.2,1.3
35,1.5,2.3
36,0.6,0.3
37,1.5,1.6
38,1.7,1.4
39,1,0.7
40,0.8,0.5
41,1,1.3
42,1.6,0.9
43,1.6,1.1
44,1.6,1.2
45,1,0.5
46,0.6,1.1
47,0.8,0.8
48,2.2,1.3
49,0.8,0.5
50,1.6,1.4
51,0.6,-
52,1,1
53,1.5,2.6
54,1.6,1.1
55,0.6,0.4
56,-,-
57,0.5,0.3
58,1.6,0.9
59,2.7,1.4
60,0.9,0.9
61,2,0.9
62,1.4,1.8
63,1.2,1.2
64,-,0.1
65,1.2,0.7
66,1.8,1
67,1.5,0.9
68,0.3,0.6
69,-,-
70,0.3,-
71,0.2,0.3
72,2.6,2.5
73,2.8,2
74,1,0.6
75,0.3,0.1
76,1.5,0.7
77,2.9,2.1
78,1.2,1.2
79,1.2,1.1
80,0.9,0.5
81,0.8,0.6
82,0.7,0.5
83,0.7,0.1
84,0.1,-
85,0.3,0.1
86,1.6,1.8
87,0.6,0.2
88,1.1,0.7
89,0.1,0.2
90,1.2,0.6
91,2.3,3.2
92,1.6,0.7
93,1.2,0.8
94,0.8,0.1
95,0.5,0.3
96,2.1,1.2
97,-,-
98,-,-
99,0.6,0.9
100,1.5,0.9
101,0.6,0.1
102,1.1,1.5
103,0.9,1.1
104,1.3,0.7
105,0.5,0.5
106,0.1,-
107,1,0.6
108,1.2,0.6
109,1.2,0.6
110,1,0.9
111,0.6,0.3
112,0.9,0.8
113,0.2,0.1
114,1.4,1.2
115,1.3,0.6
116,0.3,0.1
117,1.4,0.6
118,0.3,0.1
119,2.9,0.6
120,1.4,1
121,0.7,1.1
122,1.6,1.2
123,-,-
124,1.7,1.3
125,-,-
126,0.4,-
127,1.5,1.2
128,1.1,0.8
129,2,1.1
130,-,-
131,1,0.4
132,0.7,0.8
133,0.7,0.3
134,0.5,0.5
135,1.4,1.2
136,0.1,0.2
137,1.4,1.3
138,0.6,0.5
139,0.7,0.5
140,0.8,0.5
141,0.9,1
142,1.7,0.9
143,0.4,0.2
144,1.8,1.2
145,2.8,1
146,0.3,0.3
147,0.4,0.1
148,0.4,0.1
149,1,0.9
150,0.7,0.8
151,3,1.8
152,-,-
153,1,0.3
154,1.1,0.4
155,1.3,0.8
156,1.3,0.6
157,0.5,0.1
158,0.2,0.1
159,0.9,0.4
160,0.6,0.3
161,0.6,0.5
162,1.7,1
163,0.3,0.2
164,0.3,0.1
165,1.2,0.8
166,0.3,0.1
167,1,0.4
168,-,-
169,0.3,0.3
170,1.2,0.6
171,1,0.7
172,0.7,0.2
173,1.1,0.8
174,0.4,0.2
175,0.2,-
176,1.5,1
177,0.5,0.3
178,0.8,0.2
179,0.5,0.2
180,0.7,0.3
181,0.4,0.2
182,0.7,0.2
183,-,-
184,0.7,1
185,-,-
186,0.2,0.3
187,0.1,-
188,0.3,0.3
189,0.1,-
190,0.8,0.3
191,0.4,0.2
192,0.6,0.5
193,0.8,0.6
194,1.5,-
195,0.5,0.4
196,1,0.6
197,-,-
198,0.8,0.7
199,0.5,0.3
200,-,0.2
201,-,-
202,-,-
203,0.5,-
204,0.3,0.1
205,0.8,0.7
206,1.1,0.5
207,0.9,0.8
208,0.4,0.6
209,0.4,0.4
210,0.3,0.1
211,0.6,0.6
212,1.9,1.4
213,1.1,1.5
214,1.6,1.3
215,0.5,0.3
216,2,1.2
217,1.3,0.7
218,0.5,0.4
219,1.1,0.8
220,0.8,0.3
221,0.7,0.7
222,3.2,1.5
223,0.6,0.3
224,0.1,-
225,0.1,-
226,0.4,0.5
227,0.2,-
228,0.2,0.1
229,0.8,0.2
230,0.4,0.6
231,0.8,0.3
232,-,-
233,1.1,0.8
234,0.2,-
235,0.4,-
236,0.8,0.3
237,-,-
238,0.8,0.8
239,1.8,1.7
240,0.8,1.1
241,0.1,0.2
242,1.5,0.8
243,0.6,0.3
244,-,-
245,1.1,0.4
246,0.3,-
247,0.8,0.6
248,1.8,0.2
249,0.4,0.1
250,1,0.4
251,-,-
252,0.9,0.5
253,0.3,0.5
254,0.3,0.2
255,1,0.4
256,1.2,0.5
257,0.5,0.6
258,0.5,0.4
259,1.1,0.6
260,0.9,0.4
261,-,-
262,-,-
263,0.1,-
264,0.8,0.7
265,0.5,0.3
266,0.5,0.3
267,-,-
268,1.1,1.1
269,0.8,0.1
270,0.9,0.2
271,1.3,1.6
272,1.6,1.3
273,1.2,0.8
274,2,1.5
275,0.8,0.7
276,0.4,0.3
277,1.1,0.9
278,2.5,2
279,1.4,1
280,0.9,0.3
281,0.8,0.6
282,0.7,0.7
283,1.4,1.9
284,0.2,-
285,0.7,0.9
286,1.3,0.5
287,1.2,1.1
288,1.3,1.2
289,0.7,0.3
290,0.7,0.7
291,0.7,0.2
292,0.2,-
293,1.1,1
294,1.2,1
295,0.2,-
296,0.5,0.3
297,0.5,0.8
298,1,1.2
299,1.6,0.8
300,-,-
301,0.6,0.6
302,0.5,0.5
303,0.9,0.4
304,0.1,-
305,-,-
306,-,-
307,0.5,0.1
308,2,1.2
309,0.3,-
310,0.3,0.2
311,0.2,0.5
312,0.8,0.8
313,0.3,0.3
314,-,-
315,0.2,0.2
316,0.4,0.2
317,1.1,0.8
318,0.2,0.3
319,0.3,0.3
320,0.1,0.5
321,0.9,0.5
322,-,-
323,1,-
324,1.5,1.1
