,TotSh,OOBSh,SYBSh,PASh
0,3.4,0.3,0.4,2.7
1,2.7,0.6,0.2,1.9
2,2.9,0.5,0.3,2
3,3.3,1.6,0.1,1.6
4,3.6,0.3,0.7,2.6
5,3.6,1.8,0.1,1.8
6,2.1,0.6,0.1,1.4
7,2,0.4,0.3,1.4
8,3,1.6,-,1.4
9,2.5,1.5,-,1
10,3.6,1.2,0.2,2.3
11,-,-,-,-
12,1,0.3,-,0.7
13,1.8,0.6,-,1.2
14,1.4,1,-,0.3
15,-,-,-,-
16,2,0.6,-,1.3
17,0.5,0.4,-,0.1
18,2.5,0.3,0.6,1.6
19,1.1,0.6,0.1,0.5
20,0.7,0.1,0.2,0.4
21,1,0.1,0.2,0.7
22,0.4,-,0.1,0.3
23,2.6,0.8,0.3,1.5
24,1,0.3,-,0.7
25,1.1,0.5,-,0.6
26,1.3,0.6,0.2,0.6
27,-,-,-,-
28,0.5,0.4,-,0.1
29,1.3,0.6,-,0.7
30,3.2,1.9,-,1.3
31,-,-,-,-
32,0.4,0.1,-,0.3
33,1.8,0.4,0.3,1.1
34,1.8,0.7,0.4,0.7
35,1.1,0.4,0.2,0.4
36,0.6,0.4,0.1,0.2
37,1.5,0.9,0.1,0.6
38,1.1,0.3,-,0.9
39,0.5,0.4,-,0.1
40,1.1,0.2,0.2,0.7
41,2,0.6,0.2,1.2
42,2,0.6,0.1,1.3
43,1.1,0.6,-,0.5
44,1.8,0.7,0.1,1.1
45,-,-,-,-
46,1.3,1,-,0.3
47,1.3,0.5,0.2,0.6
48,2.8,0.3,0.5,2
49,1.2,0.9,-,0.3
50,2,0.8,-,1.2
51,0.6,0.1,0.3,0.1
52,2,1.2,-,0.8
53,2.3,1.5,-,0.8
54,1.2,0.8,0.1,0.3
55,0.8,0.5,0.1,0.1
56,-,-,-,-
57,0.5,0.1,0.1,0.3
58,1.4,0.4,-,0.9
59,1.8,0.3,0.1,1.3
60,1.6,0.7,0.1,0.8
61,2.4,0.4,0.4,1.6
62,1.6,0.4,0.3,1
63,0.9,0.2,0.1,0.7
64,0.8,0.1,0.2,0.5
65,0.4,0.1,-,0.3
66,1.9,0.4,0.4,1.1
67,1.1,0.6,0.1,0.4
68,0.9,0.3,0.3,0.4
69,-,-,-,-
70,0.3,-,-,0.3
71,0.5,0.3,-,0.2
72,1.5,0.3,0.1,1.1
73,2.4,0.2,0.2,2
74,1.1,0.4,0.1,0.6
75,0.8,0.1,0.5,0.3
76,1.6,0.2,0.2,1.2
77,1.5,0.5,0.2,0.9
78,0.4,0.3,-,0.2
79,1.4,1.2,-,0.2
80,0.5,0.4,-,0.1
81,1.8,-,0.4,1.4
82,1.1,0.6,-,0.6
83,0.9,0.1,0.2,0.5
84,-,-,-,-
85,0.5,-,0.1,0.4
86,2,1.1,0.2,0.7
87,0.2,-,0.1,-
88,1.9,0.8,0.1,1
89,0.9,0.2,0.1,0.6
90,0.7,0.2,0.2,0.4
91,2.4,0.6,0.2,1.6
92,1,0.1,-,0.9
93,2.4,0.3,0.4,1.7
94,1.9,0.8,-,1.1
95,0.9,-,0.2,0.7
96,1.9,0.4,0.2,1.3
97,-,-,-,-
98,-,-,-,-
99,2.4,0.7,0.1,1.6
100,2.7,0.5,0.2,2
101,0.5,-,0.1,0.5
102,1.5,0.7,-,0.9
103,0.8,0.7,-,0.1
104,0.3,0.2,-,0.1
