,TotTkl,DribPast,TotAttTkl
0,0.6,0.2,0.8
1,1.2,0.5,1.7
2,0.4,0.2,0.7
3,1.2,0.9,2.1
4,0.3,0.1,0.5
5,0.8,0.4,1.2
6,1.2,0.3,1.5
7,1,0.7,1.7
8,1.1,0.6,1.7
9,2.4,1.5,3.8
10,1.6,0.8,2.5
11,-,-,-
12,1.2,0.3,1.5
13,1.5,0.5,2
14,2.4,1.9,4.3
15,-,-,-
16,0.6,0.6,1.3
17,2.6,1.3,3.9
18,0.8,0.5,1.3
19,2.4,1,3.3
20,1.1,0.3,1.3
21,3.4,1.2,4.6
22,1.9,0.5,2.4
23,1.3,0.7,2
24,2.3,1.3,3.6
25,2.7,1.4,4.1
26,0.7,0.4,1.2
27,0.1,0.2,0.3
28,1.8,0.6,2.5
29,1.5,0.7,2.2
30,1.3,0.6,2
31,-,-,-
32,2,0.2,2.2
33,0.1,0.2,0.4
34,1.3,0.5,1.8
35,2.1,1,3.1
36,1.4,0.6,2
37,0.7,0.6,1.3
38,1.7,0.9,2.6
39,2.9,0.9,3.8
40,1.6,0.5,2.1
41,1.1,0.8,1.9
42,0.7,0.5,1.3
43,2.5,1.6,4
44,1.2,0.3,1.5
45,1.5,-,1.5
46,2.2,1.2,3.4
47,1,0.6,1.6
48,0.7,0.2,0.9
49,2,1,3
50,0.8,0.3,1.2
51,1.2,0.4,1.6
52,0.6,0.7,1.3
53,0.9,0.1,1
54,1.9,0.7,2.6
55,2.6,0.8,3.4
56,-,-,-
57,1.1,0.3,1.4
58,0.7,0.2,0.9
59,0.6,0.3,0.8
60,1.9,1.5,3.4
61,0.6,0.4,1
62,2,0.7,2.6
63,2.5,0.8,3.3
64,1.4,0.2,1.5
65,2.1,1.3,3.4
66,1.1,0.8,1.8
67,1.9,1.3,3.1
68,1.7,0.9,2.6
69,-,-,-
70,1.7,0.3,2
71,2.1,0.5,2.6
72,1.4,1.1,2.5
73,0.8,0.3,1.1
74,2.6,0.9,3.5
75,0.9,0.1,1
76,1.3,0.9,2.2
77,1.1,0.6,1.7
78,2,0.3,2.3
79,2.3,0.9,3.2
80,2.4,0.9,3.3
81,1.3,0.5,1.9
82,2.3,0.8,3.1
83,2.2,0.5,2.7
84,-,-,-
85,1.3,0.4,1.7
86,1.7,0.7,2.3
87,1.8,0.2,2
88,1,0.7,1.7
89,2,0.8,2.8
90,2.1,0.6,2.7
91,1.3,0.6,1.9
92,1.5,1.1,2.6
93,0.5,0.2,0.7
94,0.9,0.1,1
95,1.9,0.5,2.5
96,0.5,0.4,1
97,-,-,-
98,-,-,-
99,0.9,0.6,1.4
100,0.7,0.8,1.5
101,1,0.5,1.5
102,0.8,0.8,1.5
103,3.7,1,4.7
104,1.8,0.8,2.6
105,3.5,1.2,4.7
106,-,-,0.1
107,2.6,0.7,3.3
108,0.8,0.4,1.2
109,3,0.5,3.5
110,1.9,0.5,2.4
111,1.2,0.6,1.8
112,1.3,0.6,1.9
113,1,0.3,1.3
114,0.5,0.4,0.9
115,1.5,0.4,1.9
116,1.3,0.3,1.6
117,1.2,0.4,1.6
118,0.5,-,0.5
119,2.1,0.5,2.6
120,1,0.3,1.3
121,1.7,0.9,2.6
122,0.7,0.5,1.2
123,-,-,-
124,0.9,0.3,1.2
125,-,0.1,0.1
126,0.9,0.6,1.5
127,0.8,0.6,1.4
128,2,0.3,2.3
129,0.5,0.4,0.9
130,-,-,0.1
131,3.3,1.3,4.6
132,1.4,0.7,2.1
133,1.8,0.7,2.6
134,1.8,0.4,2.2
135,3,1,4
136,1.6,0.5,2.1
137,0.3,0.2,0.5
138,2.1,0.6,2.7
139,3,1.1,4
140,0.6,0.1,0.7
141,1.9,0.6,2.4
142,0.8,0.4,1.2
143,1.1,0.6,1.7
144,0.7,0.5,1.2
145,0.3,0.6,0.9
146,1.3,0.3,1.5
147,0.9,0.1,1
148,1.4,0.4,1.8
149,1.2,0.6,1.8
150,1.6,0.8,2.4
151,0.3,0.4,0.7
152,-,-,0.1
153,1.7,1.5,3.2
154,0.9,0.6,1.5
155,3.1,0.6,3.7
156,1.3,0.5,1.8
157,1.5,0.4,1.9
158,1.1,0.3,1.4
159,0.5,0.4,0.9
160,1.5,0.6,2.2
161,1.9,0.3,2.2
162,0.5,0.6,1.1
163,1.3,0.6,1.9
164,1.2,0.2,1.4
165,0.6,0.3,1
166,1.3,0.6,1.9
167,2.2,1.1,3.3
168,0.8,-,0.8
169,2.2,0.8,3
170,1.9,0.8,2.7
171,0.4,0.3,0.7
172,2.1,0.9,3
173,2.4,0.6,3
174,1.2,0.3,1.6
175,0.7,0.2,0.9
176,2.5,1,3.6
177,1,0.3,1.3
178,2.2,1,3.2
179,1.4,0.4,1.7
180,2.1,0.5,2.6
181,1.4,0.3,1.7
182,0.5,0.3,0.8
183,-,0.1,0.1
184,1.6,0.7,2.3
185,1.7,-,1.7
186,1.2,0.9,2.1
187,-,0.1,0.1
188,1.8,0.5,2.3
189,0.7,0.1,0.9
190,2.4,1.2,3.6
191,1.5,0.6,2
192,1.9,1,2.9
193,1.3,0.7,2
194,1.3,0.5,1.8
195,2.3,0.5,2.8
196,0.6,0.3,0.8
197,0.1,-,0.1
198,1.9,1.4,3.3
199,0.6,0.5,1.1
200,1,0.3,1.3
201,-,0.1,0.1
202,0.1,-,0.1
203,0.5,-,0.5
204,1.6,0.3,1.9
205,0.8,0.5,1.3
206,1.2,0.7,1.9
207,0.5,0.5,1
208,1.9,0.4,2.4
209,2.5,1.1,3.6
210,0.7,0.5,1.3
211,0.8,0.2,1
212,1.8,1.6,3.4
213,3,1.8,4.8
214,1.4,0.8,2.2
215,1.1,0.1,1.3
216,0.5,0.1,0.6
217,0.7,0.7,1.5
218,0.9,0.5,1.5
219,2.8,1.4,4.2
220,1.4,0.6,1.9
221,0.8,1,1.7
222,0.4,0.2,0.6
223,2.5,1.1,3.7
224,-,-,-
225,0.1,0.1,0.2
226,2.2,1.1,3.3
227,0.6,0.1,0.8
228,-,0.1,0.1
229,1.8,0.8,2.6
230,1,0.6,1.6
231,1.3,0.6,1.8
232,0.3,-,0.3
233,1.8,0.9,2.8
234,1.2,0.3,1.5
235,1.1,0.4,1.5
236,2,0.7,2.6
237,-,0.1,0.1
238,0.6,0.3,0.9
239,2.1,0.8,2.9
240,1.2,0.3,1.5
241,1.4,0.6,2
242,0.3,-,0.3
