,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Yellow_Cards,Red_Cards,Total_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,Mohamed Salah,Liverpool,32 years old (15-06-1992),175cm,Egypt,"Attacking Midfielder (Centre, Left, Right), Forward",0.7,0.3,0.4,0.1,-,-,-,-,0.5,0.6,-,-,0.3,-,-,0.2,2,1.6,3.7,1,0.7,0.8,0.2,0.7,-,0.2,2.3,0.2,2.2,0.5,31,0.7,0.7,22.3,7.3,3.1,1.8,-,-,-,-,3.4,0.3,0.4,2.7,0.6,0.2,0.8,Mohamed Salah,32,2840,27,18,1,-,3.4,74.3,0.3,10,7.75
1,Bukayo Saka,Arsenal,23 years old (05-09-2001),178cm,England,"Defender (Left), Midfielder (Centre, Left, Right)",1.4,0.4,0.9,0.3,0.2,0.1,-,-,0.2,0.5,-,0.1,0.9,0.2,-,0.3,2.4,1.9,4.3,1.8,0.7,0.3,0.1,0.3,-,0.1,2.3,0.6,1.7,0.2,24.1,0.3,0.5,20.1,3.3,1.4,1.9,-,-,-,-,2.7,0.6,0.2,1.9,1.2,0.5,1.7,Bukayo Saka,16(3),1372,6,10,3,-,2.7,84.3,0.4,6,7.59
2,Alexander Isak,Newcastle,25 years old (21-09-1999),192cm,Sweden,"Attacking Midfielder (Left), Forward",2.5,0.9,1.6,-,-,-,-,-,0.2,0.2,0.1,-,0.5,-,-,0.5,1.4,1.4,2.9,0.4,0.8,0.7,0.3,0.3,0.1,0.1,1.3,0.1,1.2,0.7,19.2,0.4,0.4,14,4.4,2,1.7,-,-,-,-,2.9,0.5,0.3,2,0.4,0.2,0.7,Alexander Isak,29,2351,21,6,1,-,2.9,75.2,0.9,5,7.44
3,Matheus Cunha,Wolves,25 years old (27-05-1999),183cm,Brazil,"Attacking Midfielder (Centre, Left), Forward",1.2,0.4,0.9,-,-,-,-,-,0.1,0.1,-,0.1,0.6,0.1,-,0.7,2.5,1.9,4.4,2.2,1.4,0.5,-,0.3,0.2,0.6,1.7,0.2,1.5,0.3,28.8,1.4,1.2,21,5.1,2.5,1.6,-,-,-,-,3.3,1.6,0.1,1.6,1.2,0.9,2.1,Matheus Cunha,24(3),2168,14,4,3,-,3.3,77.9,0.4,8,7.37
4,Erling Haaland,Manchester City,24 years old (21-07-2000),194cm,Norway,Forward,3.4,1.8,1.6,-,-,-,-,-,0.1,0.1,-,-,0.4,0.1,-,0.8,0.8,0.4,1.1,0.4,0.8,0.8,0.1,0.5,0.1,0.2,0.9,-,0.9,0.1,12,0.1,-,7.9,4,1.4,0.9,-,-,-,-,3.6,0.3,0.7,2.6,0.3,0.1,0.5,Erling Haaland,28,2484,21,3,2,-,3.6,66.4,1.8,6,7.37
5,Cole Palmer,Chelsea,22 years old (06-05-2002),189cm,England,"Attacking Midfielder (Centre, Right), Forward",0.3,-,0.2,-,-,-,-,-,0.2,0.3,-,-,0.4,0.2,-,0.5,1.8,1.4,3.2,1.7,0.4,0.5,-,0.3,0.1,0.2,2.5,0.6,1.8,0.2,35.4,2.5,1.1,26.9,4.9,1.8,1,-,-,-,-,3.6,1.8,0.1,1.8,0.8,0.4,1.2,Cole Palmer,30(1),2659,14,8,6,-,3.6,82.9,-,5,7.37
6,Bryan Mbeumo,Brentford,25 years old (07-08-1999),173cm,Cameroon,"Attacking Midfielder (Left, Right), Forward",3.1,1,2.1,0.1,-,-,-,-,0.1,0.2,0.1,0.1,0.6,0.1,-,1.2,1.6,1.2,2.8,1.1,0.7,0.5,-,0.4,0.1,0.4,1.8,0.3,1.4,0.3,28.3,0.7,0.7,20.4,6.5,2.7,1.2,-,-,-,-,2.1,0.6,0.1,1.4,1.2,0.3,1.5,Bryan Mbeumo,32,2877,16,5,2,-,2.1,74.7,1,4,7.27
7,Luis Díaz,Liverpool,28 years old (13-01-1997),178cm,Colombia,"Attacking Midfielder (Left, Right), Forward",1.3,0.4,0.9,-,-,-,-,-,0.2,0.2,-,-,0.5,0.1,-,0.2,1.9,1.5,3.4,0.9,1.5,0.4,-,0.3,-,0.2,1.6,-,1.5,0.3,23.9,1,0.2,19.6,3.1,1.6,1.4,-,-,-,-,2,0.4,0.3,1.4,1,0.7,1.7,Luis Díaz,24(7),2072,11,5,2,-,2,86.1,0.4,5,7.24
8,Omar Marmoush,Manchester City,26 years old (07-02-1999),183cm,Egypt,"Attacking Midfielder (Centre, Left), Forward",0.8,0.3,0.5,-,-,-,-,-,-,-,0.1,-,0.8,-,-,0.3,1.6,0.6,2.2,1.7,0.8,0.6,-,0.4,0.2,0.5,1,0.1,0.9,0.8,18.6,0.1,-,15.5,3,2.8,0.9,-,-,-,-,3,1.6,-,1.4,1.1,0.6,1.7,Omar Marmoush,9(1),742,6,-,-,-,3,83.9,0.3,1,7.24
9,Bruno Fernandes,Manchester United,30 years old (08-09-1994),179cm,Portugal,"Midfielder (Centre, Left, Right), Forward",1.5,0.6,0.9,0.1,0.1,0.1,-,-,0.1,0.3,0.1,0.2,0.8,0.1,0.1,0.9,1.2,0.8,2,1.2,0.8,0.3,-,0.1,0.2,0.8,2.5,0.4,2.1,0.1,55,4.1,2.9,40.2,7.8,1.1,1.2,-,-,-,-,2.5,1.5,-,1,2.4,1.5,3.8,Bruno Fernandes,31,2642,8,9,2,2,2.5,80.5,0.6,4,7.23
