Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Mohamed Salah,32,2840,27,18,1,-,3.4,74.3,0.3,10,7.75
Bukayo Saka,16(3),1372,6,10,3,-,2.7,84.3,0.4,6,7.59
Alexander Isak,29,2351,21,6,1,-,2.9,75.2,0.9,5,7.44
Matheus Cunha,24(3),2168,14,4,3,-,3.3,77.9,0.4,8,7.37
Erling Haaland,28,2484,21,3,2,-,3.6,66.4,1.8,6,7.37
Cole Palmer,30(1),2659,14,8,6,-,3.6,82.9,-,5,7.37
Bryan Mbeumo,32,2877,16,5,2,-,2.1,74.7,1,4,7.27
Luis Díaz,24(7),2072,11,5,2,-,2,86.1,0.4,5,7.24
Omar Marmoush,9(1),742,6,-,-,-,3,83.9,0.3,1,7.24
Bruno Fernandes,31,2642,8,9,2,2,2.5,80.5,0.6,4,7.23
Antoine Semenyo,31,2740,8,4,9,-,3.6,77.3,1.9,3,7.22
Mark Travers,5,450,-,-,-,-,-,62.8,0.2,1,7.20
Jérémy Doku,14(9),1277,3,4,1,-,1,84.8,-,3,7.18
Amad Diallo,17(5),1595,6,6,3,-,1.8,85.2,0.4,3,7.16
Trent Alexander-Arnold,26(2),2158,2,6,4,-,1.4,78.2,0.1,1,7.15
Brandon Austin,1,90,-,-,-,-,-,66.7,4,-,7.11
Son Heung-Min,23(5),2012,7,9,1,-,2,84,0.2,3,7.09
Antonee Robinson,31(1),2808,-,10,8,-,0.5,80.5,1.4,4,7.09
Kai Havertz,21,1842,9,3,4,-,2.5,79.9,3,1,7.09
Youri Tielemans,32,2742,2,6,4,-,1.1,86.3,0.7,4,7.09
Virgil van Dijk,32,2880,2,1,3,-,0.7,91.7,3.2,2,7.08
Daniel Muñoz,31,2693,4,4,8,-,1,74.7,1.6,1,7.08
James Tarkowski,32,2872,1,1,6,-,0.4,81.5,3.2,2,7.08
Jarrod Bowen,28,2461,8,5,1,-,2.6,79.4,0.3,4,7.06
Mikkel Damsgaard,28(4),2423,2,10,2,-,1,77.7,0.4,2,7.06
Alexis Mac Allister,28(3),2390,4,4,6,-,1.1,87,0.6,-,7.06
Jacob Murphy,25(4),1969,8,11,3,-,1.3,75.7,0.1,2,7.06
Mark Flekken,31,2736,-,1,1,-,-,72.5,0.1,2,7.05
Ryan Gravenberch,32,2748,-,3,5,-,0.5,89.2,0.7,1,7.04
Declan Rice,28(2),2416,2,6,4,1,1.3,89.9,1,2,7.04
Eberechi Eze,26(2),2244,3,8,1,-,3.2,82.2,0.2,2,7.03
Neto,2,180,-,-,-,-,-,61.1,-,-,7.03
Aaron Wan-Bissaka,30(1),2705,2,2,1,-,0.4,82.3,0.7,3,7.02
Chris Wood,29(1),2452,18,3,1,-,1.8,67.2,2.6,2,7.02
Morgan Gibbs-White,28,2306,5,7,6,1,1.8,80.8,1.3,3,7.01
Bruno Guimarães,32,2746,4,6,5,-,1.1,83.1,0.5,-,7.00
Murillo,31,2750,1,-,5,-,0.6,78.9,1.1,3,6.99
Dwight McNeil,13(2),1147,3,4,1,-,1.5,81.5,0.2,-,6.99
Iliman Ndiaye,24(3),2046,7,-,3,-,1.1,83.5,0.2,1,6.99
Moisés Caicedo,32,2816,1,2,9,-,0.5,90.4,0.9,-,6.99
Josko Gvardiol,30(1),2740,5,-,1,-,1.1,91.7,1.5,2,6.99
Anthony Gordon,25(3),2164,6,5,2,-,2,79.9,0.2,1,6.99
Justin Kluivert,24(4),1952,12,6,6,-,2,79.3,0.3,2,6.99
Elliot Anderson,27(4),2240,1,6,6,-,1.1,81.9,1.2,2,6.99
Alex Iwobi,30(2),2568,8,5,1,-,1.8,79.5,0.2,6,6.98
Ayden Heaven,1(1),96,-,-,-,-,-,81.6,0.5,-,6.98
Mateo Kovacic,21(5),1862,5,1,5,-,1.3,92.9,0.3,2,6.98
James Maddison,20(10),1772,9,6,6,-,1.3,86.7,0.2,2,6.98
Nicolas Jackson,24(2),1965,9,5,7,-,2.8,75.4,0.7,2,6.97
Pedro Porro,25(5),2371,2,5,4,-,1.2,76.1,0.4,2,6.97
