,Name,Club,Age,Height,National,Positions
0,Lamine Yamal,Barcelona,17 years old (13-07-2007),180cm,Spain,Attacking Midfielder (Right)
1,Sergio Arribas,Real Betis,22 years old (10-02-2003),185cm,Spain,Defender
2,Aitor Fernández,Osasuna,33 years old (03-05-1991),182cm,Spain,Goalkeeper
3,Raphinha,Barcelona,28 years old (14-12-1996),176cm,Brazil,"Attacking Midfielder (Centre, Left, Right), Forward"
4,Kylian Mbappé,Real Madrid,26 years old (20-12-1998),178cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
5,Cucho Hernández,Real Betis,26 years old (20-04-1999),175cm,,"Attacking Midfielder (Centre, Left, Right), Forward"
6,Robert Lewandowski,Barcelona,36 years old (21-08-1988),185cm,Poland,Forward
7,Jude Bellingham,Real Madrid,21 years old (29-06-2003),186cm,England,"Midfielder (Centre, Left, Right), Forward"
8,Vinícius Júnior,Real Madrid,24 years old (12-07-2000),176cm,Brazil,"Attacking Midfielder (Left), Forward"
9,Álex Baena,Villarreal,23 years old (20-07-2001),175cm,Spain,"Attacking Midfielder (Centre, Left), Forward"
10,Isco,Real Betis,33 years old (21-04-1992),176cm,Spain,"Midfielder (Centre, Left, Right), Forward"
11,Pedri,Barcelona,22 years old (25-11-2002),174cm,Spain,"Midfielder (Centre, Left)"
12,Federico Valverde,Real Madrid,26 years old (22-07-1998),182cm,Uruguay,"Defender (Right), Midfielder (Centre, Left, Right)"
13,Antony,Real Betis,25 years old (24-02-2000),174cm,Brazil,Attacking Midfielder (Right)
14,Rodrygo,Real Madrid,24 years old (09-01-2001),174cm,Brazil,"Attacking Midfielder (Centre, Left, Right), Forward"
15,Dani Olmo,Barcelona,26 years old (07-05-1998),179cm,Spain,"Attacking Midfielder (Centre, Left, Right), Forward"
16,Ayoze Pérez,Villarreal,31 years old (29-07-1993),178cm,Spain,"Attacking Midfielder (Centre, Left, Right), Forward"
17,Leo Román,Mallorca,24 years old (06-07-2000),189cm,Spain,Goalkeeper
18,Éder Militão,Real Madrid,27 years old (18-01-1998),186cm,Brazil,"Defender (Centre, Right)"
19,Dodi Lukébakio,Sevilla,27 years old (24-09-1997),187cm,Belgium,"Attacking Midfielder (Centre, Left, Right), Forward"
20,Pelayo Fernández,Rayo Vallecano,22 years old (29-04-2003),190cm,Spain,Defender
21,Juan Foyth,Villarreal,27 years old (12-01-1998),187cm,Argentina,"Defender (Centre, Right), Defensive Midfielder (C)"
22,Nico Williams,Athletic Club,22 years old (12-07-2002),181cm,Spain,"Attacking Midfielder (Left, Right)"
23,Giovani Lo Celso,Real Betis,29 years old (09-04-1996),177cm,Argentina,"Midfielder (Centre, Right), Forward"
24,Ramon Terrats,Getafe,24 years old (18-10-2000),181cm,Spain,"Midfielder (Centre, Right)"
25,Iñigo Martínez,Barcelona,33 years old (17-05-1991),182cm,Spain,Defender (Centre)
26,Yeray Álvarez,Athletic Club,30 years old (24-01-1995),182cm,Spain,Defender (Centre)
27,Marc Bartra,Real Betis,34 years old (15-01-1991),184cm,Spain,"Defender (Centre, Right), Defensive Midfielder (C)"
28,Joan García,Espanyol,23 years old (04-05-2001),191cm,Spain,Goalkeeper
29,Ante Budimir,Osasuna,33 years old (22-07-1991),190cm,Croatia,Forward
30,Iñaki Williams,Athletic Club,30 years old (15-06-1994),186cm,Ghana,"Attacking Midfielder (Centre, Left, Right), Forward"
