,TotAD,WonAD,LostAD
0,0.1,-,-
1,1,1,-
2,-,-,-
3,0.4,0.3,0.2
4,0.3,0.1,0.2
5,5.1,2.5,2.6
6,2.4,1.1,1.3
7,1.8,0.9,1
8,0.3,-,0.3
9,1.3,0.6,0.7
10,1.8,0.7,1.1
11,0.3,0.2,0.2
12,1.2,0.8,0.5
13,1.3,0.3,1
14,0.8,0.2,0.5
15,0.8,0.5,0.4
16,1.5,0.5,1
17,0.2,0.2,-
18,2.8,1.8,1
19,1,0.5,0.6
20,5,3,2
21,3.9,2.3,1.7
22,1,0.4,0.6
23,0.8,0.2,0.5
24,2,1.1,0.9
25,3.5,2.3,1.2
26,3.9,2.2,1.7
27,3.8,2,1.8
28,0.7,0.7,-
29,7.6,3.8,3.8
30,1.6,0.9,0.7
31,3,1.3,1.8
32,3.5,1.5,2
33,4.6,3,1.6
34,1.8,1.1,0.6
35,3.1,1.6,1.5
36,2.1,1.2,0.9
37,4.5,2.9,1.6
38,2.1,1.3,0.8
39,0.9,0.4,0.5
40,4.7,2.8,1.9
41,1.4,0.5,0.9
42,1.4,0.4,1
43,0.7,0.2,0.5
44,3.3,2.5,0.9
45,1.2,0.6,0.6
46,0.9,0.4,0.5
47,1.5,0.9,0.6
48,1.3,0.7,0.6
49,1.7,0.9,0.8
50,1,0.5,0.5
51,1,1,-
52,2.3,1.3,1.1
53,6.8,5,1.8
54,6.1,3.6,2.5
55,4.1,2.6,1.5
56,4.4,2.2,2.3
57,2.3,1,1.3
58,2.5,1.5,1
59,0.7,0.7,-
60,3,1.4,1.6
61,1,-,1
62,-,-,-
63,2.1,0.7,1.4
64,1.9,1.1,0.8
65,1.4,1.1,0.3
66,2,0.8,1.2
67,3.9,2.4,1.5
68,3.4,1.8,1.6
69,1.1,0.4,0.7
70,0.3,0.3,-
71,2.3,1.3,1
72,2.4,1.3,1.1
73,2.4,0.9,1.5
74,4.4,2.9,1.5
75,0.5,0.2,0.4
76,3.1,2.1,1
77,3.4,1.9,1.4
78,1.4,0.8,0.6
79,2.8,1.9,0.9
80,2,1,1
81,8.6,5.1,3.5
82,1.5,0.8,0.7
83,2.3,1.2,1.1
84,4.5,3,1.6
85,2.1,0.9,1.1
86,2.1,1.5,0.6
87,1.8,1.1,0.7
88,0.8,0.5,0.3
89,3.4,2.3,1.1
90,3.8,2.3,1.6
91,4.4,1.9,2.5
92,3.4,1.6,1.8
93,1.2,0.6,0.5
94,2.2,1.3,0.9
95,4.1,2.3,1.9
96,0.6,0.3,0.4
97,0.2,0.1,0.1
98,1.8,0.8,1
99,3.1,1.9,1.2
100,0.8,0.3,0.5
101,0.5,-,0.4
102,1.4,0.4,1
103,1.2,0.6,0.5
104,0.2,0.2,-
105,2.3,0.9,1.4
106,2,1.5,0.5
107,1.7,1,0.6
108,3.5,2.5,1
109,3.2,1.7,1.5
110,4.6,2.8,1.8
111,6.1,3.2,2.9
112,3.8,2.2,1.6
113,1.1,0.4,0.7
114,0.2,0.2,-
115,5.2,4.1,1.1
116,2,1,1
117,0.8,0.2,0.6
118,3.2,1.8,1.4
119,0.7,0.3,0.3
120,2.6,1.4,1.2
121,1.3,0.6,0.7
122,0.6,0.3,0.3
123,0.7,0.2,0.6
124,2,0.7,1.3
125,0.2,-,0.2
126,1,0.4,0.5
127,0.1,0.1,-
128,3.1,1.9,1.2
129,1.1,0.4,0.6
130,0.6,0.3,0.3
131,0.8,0.3,0.5
132,1.2,0.4,0.8
133,-,-,-
134,2,1.1,0.9
135,2,1,1
136,3.4,1.7,1.7
137,0.5,0.2,0.4
138,1.9,0.8,1.1
139,1.2,0.4,0.8
140,1,0.5,0.6
141,1.3,0.4,0.9
142,2.3,0.3,2
143,1.9,0.8,1.1
144,0.7,0.2,0.4
145,1.4,0.4,1
146,0.5,0.2,0.3
147,1,0.7,0.3
148,0.4,0.4,-
149,2.5,1.5,1
150,0.3,0.3,-
151,0.4,0.4,-
152,1,0.3,0.7
153,0.7,0.3,0.3
154,0.6,0.2,0.4
155,3.7,2.6,1.1
156,1,1,-
157,0.8,0.4,0.4
158,1.3,0.8,0.6
159,2.7,1.3,1.3
160,0.7,0.1,0.6
161,3.5,2,1.5
162,1.8,1,0.8
163,2.8,1.5,1.3
164,0.4,0.1,0.2
165,0.1,0.1,-
166,0.5,0.4,0.1
167,1.9,0.9,1
168,0.6,0.2,0.4
169,-,-,-
170,0.4,0.4,-
171,0.8,0.2,0.7
172,2,0.8,1.2
173,0.8,0.3,0.5
174,1,0.3,0.7
175,6.8,2.8,4
176,1.3,0.7,0.5
177,1.2,0.4,0.8
178,3.4,1.8,1.7
179,1.5,0.8,0.6
180,0.2,0.2,-
181,2.2,1.3,0.9
182,3.5,1.8,1.8
183,1.9,1.1,0.8
184,1.7,1,0.7
185,2.1,1.2,0.9
186,0.8,0.3,0.5
187,0.9,0.5,0.4
188,2.4,1.5,0.9
189,1.4,0.6,0.8
190,1.9,1,0.9
191,2.3,1.2,1.1
192,0.6,0.2,0.4
193,1.3,0.6,0.7
194,1.3,0.7,0.6
195,0.6,0.1,0.5
196,1.4,0.6,0.8
197,1.1,0.3,0.9
198,0.6,0.3,0.3
199,0.2,0.1,0.1
200,2.7,1,1.7
201,3.5,3,0.5
202,0.7,0.2,0.5
203,0.3,0.3,-
204,1.9,0.4,1.5
205,2.5,1.2,1.3
206,1.6,0.9,0.7
207,5.7,2.4,3.3
208,8.1,4.3,3.8
209,-,-,-
210,2.3,1.5,0.8
211,2.6,1.7,0.9
212,3,2.1,0.9
213,1.3,0.5,0.8
214,1.1,0.9,0.3
215,1.4,0.4,1
216,0.8,0.4,0.5
217,3,2,1
218,7,3,4
219,2.1,1.1,1.1
220,2.1,1.4,0.7
221,1.6,0.9,0.8
222,2.4,1.4,1
223,0.2,0.2,-
224,0.1,0.1,-
225,0.7,0.1,0.6
226,1.2,0.3,0.8
227,1.7,0.9,0.8
228,1.5,0.8,0.7
229,0.4,0.3,0.1
230,5.9,2.2,3.7
231,1.2,0.4,0.8
232,1.1,0.5,0.6
233,2,1.1,0.9
234,1.3,0.5,0.8
235,1.8,0.6,1.1
236,1.5,0.7,0.8
237,2.7,1.4,1.3
238,0.1,0.1,-
239,4.9,2.5,2.4
240,0.6,0.1,0.5
241,0.5,0.3,0.3
242,1.8,1.2,0.6
243,1.8,1,0.8
244,2.1,1.2,0.9
245,0.3,0.3,-
246,-,-,-
247,0.7,0.3,0.4
248,0.1,0.1,-
249,1.3,0.7,0.7
250,1,0.4,0.6
251,1.3,0.4,0.9
252,2.7,1.4,1.2
253,3.5,2.1,1.4
254,1.1,0.6,0.5
255,0.7,0.1,0.5
256,1.2,0.7,0.5
257,0.3,0.3,-
258,2.2,1.2,1
259,2.7,1.5,1.3
260,1.1,0.4,0.7
261,1.1,0.3,0.8
262,2.7,1.4,1.3
263,1,0.5,0.5
264,1.1,0.5,0.7
265,2.3,1.1,1.1
266,1.9,0.8,1.1
267,5.4,2.9,2.4
268,0.6,0.3,0.2
269,1.3,0.9,0.5
270,1.9,0.8,1.1
271,1,0.4,0.6
272,3,1.1,1.9
273,1.1,0.4,0.8
274,1.5,0.7,0.8
275,1.9,0.9,1
276,0.5,0.1,0.4
277,0.1,-,0.1
278,1.3,0.7,0.7
279,2.5,1.1,1.3
280,0.2,0.2,-
281,1.5,0.7,0.8
282,0.5,0.5,-
283,1.7,0.9,0.8
284,2.1,1.4,0.7
285,2,1.4,0.6
286,0.2,0.2,-
287,1.6,0.5,1.1
288,0.7,0.2,0.5
289,1.6,0.7,0.9
290,1,0.4,0.6
291,1.4,0.7,0.8
292,1.9,0.9,1
293,2.1,0.7,1.5
294,1.2,0.3,0.9
295,1.5,0.5,1
296,1.5,0.5,1.1
297,3.3,0.9,2.4
298,0.2,0.2,-
299,1.4,0.7,0.8
300,4.4,2.8,1.6
301,1,0.8,0.2
302,2.5,1.5,1
303,0.6,0.2,0.5
304,0.9,0.4,0.5
305,0.8,0.4,0.4
306,2.9,2,0.9
307,2.1,1.5,0.6
308,1.5,1.1,0.4
309,0.7,0.4,0.3
310,0.5,0.2,0.3
311,1.3,0.7,0.6
312,0.3,0.2,0.2
313,0.3,0.3,-
314,0.5,0.3,0.3
315,2.9,1.9,1
316,1.9,0.9,1
317,0.9,0.3,0.6
318,1.9,0.7,1.2
319,0.9,0.2,0.7
320,0.3,0.2,-
321,0.8,0.4,0.4
322,3,2,1
323,1.9,1,0.9
324,2.9,1,1.8
325,0.9,0.5,0.4
326,1,0.8,0.2
327,3.2,1.4,1.8
328,3.2,2.3,0.9
329,2.3,1.7,0.6
330,0.8,0.6,0.2
331,2.2,1,1.2
332,0.3,-,0.3
333,2,0.9,1.1
334,6.7,3.6,3.1
335,1.5,0.7,0.8
336,2.7,1,1.7
337,0.5,0.5,-
338,2.6,1.4,1.2
339,2.4,1.6,0.8
340,1.1,0.4,0.7
341,1.3,0.7,0.7
342,1.2,0.3,0.9
343,0.8,0.3,0.5
344,2.3,0.9,1.4
345,1.7,0.6,1.1
346,0.2,-,0.1
347,0.6,0.1,0.5
348,1.3,0.9,0.5
349,0.6,0.2,0.4
350,0.5,0.1,0.4
351,1.4,0.8,0.6
352,1.3,0.5,0.8
353,0.8,0.3,0.5
354,1.3,0.5,0.8
355,1.7,1.1,0.6
356,2.8,1.5,1.3
357,0.4,0.3,0.1
358,0.6,0.4,0.2
359,0.3,0.3,0.1
360,0.4,0.2,0.3
361,2.3,0.8,1.5
362,1.3,0.4,0.9
363,0.7,0.1,0.6
364,1.1,0.5,0.5
365,0.8,0.3,0.5
366,1,1,-
367,2.7,1.4,1.3
368,1.4,0.5,0.9
369,1,0.4,0.6
370,0.1,0.1,-
371,2,0.8,1.2
372,0.8,0.4,0.4
373,1.7,0.6,1.1
374,1.8,1,0.8
375,2,0.9,1.2
376,4.4,2.3,2.1
377,1.4,0.4,1
378,2.6,1.8,0.8
379,1.1,0.5,0.6
380,5.1,2.1,3
381,1.3,0.6,0.7
382,0.8,0.3,0.5
383,1.5,1,0.5
384,0.4,0.3,0.1
385,0.4,-,0.4
386,3.9,1.7,2.2
387,1,0.3,0.6
388,0.8,0.2,0.6
389,1,0.7,0.3
390,1.3,0.6,0.7
391,0.3,0.1,0.2
392,1.9,0.8,1.2
393,0.3,-,0.3
394,0.7,0.4,0.3
395,0.6,0.2,0.4
396,1.2,0.5,0.7
397,0.7,0.5,0.2
398,2.4,0.8,1.6
399,1.8,0.4,1.4
400,0.7,0.4,0.3
401,1,0.5,0.5
402,1.9,1.4,0.4
403,0.6,0.4,0.1
404,1.7,0.7,1
405,2.3,1.1,1.2
406,2.5,1,1.5
407,1.7,0.3,1.4
408,0.7,0.6,0.1
409,0.6,0.3,0.2
410,0.6,0.4,0.3
411,2.3,1.3,1
412,1.3,0.6,0.7
413,1.4,0.4,0.9
414,0.3,-,0.3
415,2.5,0.9,1.6
416,1.5,1.5,-
417,0.1,-,0.1
418,1.7,0.6,1.1
419,1.4,0.8,0.6
420,1.1,0.3,0.8
421,-,-,-
422,0.7,-,0.7
423,0.9,0.6,0.3
424,2.1,1,1.1
425,2,0.2,1.8
426,0.1,0.1,-
427,0.2,0.2,0.1
428,1.3,0.4,0.9
429,1.8,0.9,0.9
430,0.4,0.2,0.2
431,1.4,0.4,1
432,1.6,0.6,1
433,0.6,0.4,0.2
434,5.4,3.3,2.2
435,1.2,0.5,0.7
436,0.4,0.1,0.3
437,1.9,1,0.9
438,1.8,0.5,1.3
439,2.8,1,1.8
440,1.5,1,0.5
441,0.5,0.3,0.2
442,3.6,1.5,2
443,0.2,0.2,-
444,0.8,0.2,0.6
445,1.8,0.2,1.6
446,0.5,0.5,-
447,0.7,0.3,0.4
448,1.7,0.6,1.1
449,2.1,1,1.1
450,0.3,-,0.3
451,2.7,1.8,0.9
452,-,-,-
453,-,-,-
454,2.7,1.7,1
455,4.2,2,2.2
456,1.4,0.4,1
457,0.7,0.2,0.5
458,1.4,0.5,0.9
459,1,0.6,0.4
460,4.4,1.6,2.8
461,0.3,-,0.3
462,3.7,1.3,2.4
463,4,3,1
464,2.2,1.2,1
465,0.5,0.4,0.1
466,1.2,0.7,0.5
467,2.2,0.5,1.7
468,1.6,1,0.6
469,0.3,0.1,0.2
470,0.6,0.5,0.1
471,0.5,0.5,-
472,0.5,0.2,0.2
473,4,1,3.1
474,1.5,1,0.5
475,5.4,3.3,2.1
476,2.3,1,1.3
477,0.7,0.3,0.4
478,1,1,-
479,1.3,-,1.3
480,0.2,0.2,-
481,1.6,0.6,1
482,0.8,0.3,0.5
483,2,0.7,1.3
484,0.7,0.3,0.4
485,3,-,3
486,0.8,0.2,0.6
487,-,-,-
488,4,1.5,2.5
489,2.2,1.1,1.1
490,1.6,0.3,1.4
491,0.5,0.3,0.2
492,1.6,0.5,1.1
493,0.8,0.2,0.6
494,1.5,0.9,0.6
495,-,-,-
496,0.3,-,0.3
497,0.7,0.2,0.5
498,2.9,1.3,1.6
499,1,0.5,0.5
500,0.5,0.1,0.4
501,-,-,-
502,1,-,1
503,0.5,0.5,-
504,0.5,-,0.5
505,1,0.3,0.7
506,0.8,0.3,0.5
507,2.1,0.8,1.4
508,0.8,0.4,0.3
509,0.3,0.2,0.1
510,1.8,1,0.8
511,1.3,0.3,1
512,0.4,0.2,0.2
513,1.9,1.3,0.7
514,0.3,0.1,0.2
515,0.7,0.2,0.5
516,0.2,0.2,-
517,1,1,-
518,0.8,-,0.8
519,0.8,0.4,0.4
520,1,1,-
521,1,1,-
522,2,1,1
523,0.5,0.3,0.2
524,0.8,0.1,0.6
525,-,-,-
526,1.6,0.7,0.9
527,1.2,0.6,0.6
528,-,-,-
529,-,-,-
530,0.3,-,0.3
531,0.4,0.1,0.3
532,0.8,-,0.8
533,1.1,0.4,0.8
534,0.8,0.1,0.6
535,-,-,-
536,0.5,0.5,-
537,-,-,-
538,0.3,0.3,-
539,1.3,0.7,0.6
540,0.3,0.1,0.2
541,1,1,-
542,-,-,-
543,1.1,0.2,0.9
544,0.8,0.6,0.2
545,0.3,-,0.3
546,-,-,-
547,1,-,1
548,1.7,1.2,0.5
549,0.3,0.3,-
550,0.5,0.5,-
551,0.7,0.5,0.3
552,1,1,-
553,1,-,1
554,0.7,-,0.7
555,0.3,-,0.3
556,7,2,5
557,-,-,-
558,-,-,-
559,0.5,-,0.5
560,1,-,1
561,-,-,-
562,1,0.6,0.4
563,0.5,-,0.5
564,-,-,-
565,1,0.7,0.3
566,0.5,-,0.5
567,1,-,1
568,-,-,-
569,1,-,1
570,2,-,2
