,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
0,0.1,-,0.2,-,-,0.1,0.4
1,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-
3,0.1,-,-,-,-,0.2,0.3
4,-,-,0.1,-,-,-,0.1
5,-,-,-,-,-,0.1,0.1
6,-,-,-,-,-,0.1,0.1
7,-,-,0.1,-,-,0.1,0.3
8,0.1,-,-,-,-,0.1,0.2
9,0.1,-,-,-,-,0.1,0.3
10,0.1,0.1,0.1,-,-,0.1,0.3
11,-,-,-,-,-,0.1,0.1
12,-,-,-,-,-,0.1,0.1
13,-,-,-,-,-,0.2,0.2
14,-,-,-,-,-,0.1,0.2
15,-,-,-,-,-,0.1,0.1
16,-,-,-,-,-,-,0.1
17,-,-,-,-,-,-,-
18,-,-,-,-,-,0.1,0.1
19,-,-,-,-,-,0.1,0.1
20,-,-,-,-,-,-,-
21,-,-,-,-,-,-,-
22,0.1,0.1,-,-,-,0.1,0.2
23,-,-,-,-,-,-,0.1
24,-,-,-,-,-,-,-
25,-,-,-,-,-,0.1,0.2
26,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-
29,-,-,-,-,-,0.1,0.1
30,0.1,-,-,-,-,0.1,0.3
31,0.3,-,-,-,-,-,0.3
32,-,-,-,-,-,0.5,0.5
33,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-
36,-,-,-,-,-,0.1,0.1
37,-,-,-,-,-,-,-
38,0.2,-,-,-,-,-,0.2
39,-,-,-,-,-,-,-
40,-,-,-,-,-,0.1,0.1
41,-,-,-,-,-,-,0.1
42,-,-,-,-,-,0.1,0.1
43,-,-,-,-,-,0.1,0.2
44,-,-,-,-,-,-,-
45,-,-,-,-,-,0.1,0.2
46,-,-,-,-,-,0.1,0.1
47,-,-,-,-,-,-,-
48,-,-,-,-,-,-,-
49,-,-,-,-,-,0.1,0.1
50,0.1,-,-,-,-,-,0.1
51,-,-,-,-,-,-,-
52,-,-,-,-,-,-,-
53,-,-,-,-,-,-,-
54,-,-,-,-,-,-,-
55,-,-,-,-,-,-,-
56,-,-,-,-,-,0.1,0.1
57,0.1,-,-,-,-,-,0.1
58,-,-,-,-,-,-,-
59,-,-,-,-,-,-,-
60,-,-,-,-,-,-,-
61,0.5,0.5,-,-,-,-,0.5
62,-,-,-,-,-,-,-
63,0.1,-,-,-,-,0.1,0.2
64,0.1,-,-,-,-,-,0.1
65,-,-,-,-,-,0.1,0.1
66,0.1,-,-,-,-,0.1,0.2
67,-,-,-,-,-,0.1,0.1
68,-,-,-,-,-,0.1,0.1
69,0.1,-,-,-,-,0.1,0.2
70,-,-,-,-,-,-,-
71,-,-,-,-,-,0.1,0.1
72,-,-,-,-,-,-,-
73,0.1,-,-,-,-,0.1,0.2
74,-,-,-,-,-,0.1,0.1
75,-,-,-,-,-,0.1,0.1
76,-,-,-,-,-,-,-
77,-,-,-,-,-,-,-
78,-,-,-,-,-,-,0.1
79,-,-,-,-,-,0.1,0.1
