,BlkSh,BlkCr,BlkPs
0,-,-,0.4
1,2,-,-
2,-,-,-
3,0.1,0.1,0.8
4,-,-,0.1
5,0.1,-,1.1
6,0.1,-,0.4
7,0.1,0.1,1.1
8,-,-,0.2
9,0.1,0.3,1
10,-,0.1,0.5
11,0.1,0.3,1.2
12,0.2,-,0.9
13,-,0.3,0.8
14,-,0.1,0.6
15,0.2,-,0.2
16,-,0.1,0.5
17,-,-,-
18,0.7,0.1,0.4
19,-,0.1,0.5
20,-,1,-
21,0.7,0.5,0.6
22,-,0.2,0.6
23,0.1,-,0.6
24,0.1,0.2,0.4
25,0.3,0.2,0.4
26,0.3,0.1,0.2
27,1,0.1,0.6
28,-,-,-
29,0.1,-,0.4
30,0.1,0.1,0.9
31,-,0.5,1.5
32,-,0.5,1
33,0.8,0.1,0.3
34,0.5,-,0.6
35,0.5,-,-
36,0.4,0.2,0.8
37,0.7,0.1,0.4
38,0.2,0.7,1.2
39,-,-,0.4
40,0.4,0.3,-
41,0.1,0.4,1.1
42,-,-,0.4
43,0.1,0.1,0.9
44,0.7,-,0.3
45,-,-,0.5
46,0.3,0.1,0.6
47,0.4,0.6,0.6
48,0.4,0.6,0.8
49,0.2,0.3,0.9
50,0.1,0.2,0.6
51,-,-,-
52,0.3,0.1,0.5
53,0.3,-,0.8
54,1,-,0.3
55,0.7,0.1,0.3
56,-,-,0.5
57,-,-,0.8
58,0.5,-,0.7
59,-,-,0.3
60,0.2,0.3,0.7
61,-,-,1
62,-,-,-
63,0.1,0.1,0.5
64,0.4,0.5,1.1
65,-,0.1,-
66,0.1,0.2,0.9
67,0.8,0.1,0.3
68,0.1,-,0.6
69,0.1,0.2,1.2
70,-,-,-
71,0.7,0.3,1
72,1.2,0.1,0.5
73,0.1,0.3,0.8
74,-,-,0.1
75,0.2,0.1,0.3
76,0.4,0.1,0.3
77,1,0.1,0.4
78,0.5,0.6,0.8
79,0.7,-,0.5
80,0.1,0.2,0.4
81,-,-,0.2
82,0.1,0.4,1.2
83,0.3,0.2,0.9
84,0.1,-,0.4
85,0.1,0.1,0.6
86,0.2,0.2,0.1
87,0.1,0.1,0.3
88,0.1,0.2,0.7
89,0.4,0.1,1
90,0.3,0.3,0.5
91,0.1,-,0.3
92,0.9,0.1,0.3
93,-,0.4,0.7
94,0.3,0.1,0.7
95,0.8,-,0.3
96,-,-,0.2
97,0.2,-,0.7
