,UnDrib,SucDrib,TotDrib
0,4.4,4.4,8.8
1,-,-,-
2,-,-,-
3,1.5,1.5,3.1
4,3.1,2.4,5.6
5,0.8,1.3,2.1
6,0.4,0.6,1
7,1.1,1.3,2.4
8,3.8,2.9,6.6
9,1.2,0.7,1.9
10,1.4,1.2,2.6
11,0.6,1.2,1.8
12,0.3,0.4,0.7
13,2,1.5,3.5
14,2.1,1.6,3.7
15,0.9,1,1.9
16,1.4,1.3,2.7
17,-,0.2,0.2
18,0.3,0.4,0.7
19,2.4,2.5,4.8
20,-,-,-
21,0.3,0.2,0.5
22,4,2.3,6.3
23,1.4,0.9,2.2
24,1.9,1.4,3.3
25,-,0.1,0.1
26,0.2,0.3,0.4
27,0.3,0.3,0.6
28,-,-,-
29,0.8,0.3,1.1
30,2.1,1,3.1
31,0.8,1,1.8
32,3,1,4
33,0.3,0.3,0.5
34,0.6,1,1.6
35,0.1,0.1,0.3
36,0.8,0.8,1.6
37,0.3,0.5,0.8
38,0.6,0.3,0.9
39,1,0.9,1.9
40,0.1,-,0.1
41,1.9,2.2,4.1
42,0.7,0.8,1.5
43,1.7,1.4,3.1
44,0.2,0.4,0.6
45,0.5,0.4,0.9
46,0.5,0.4,1
47,0.4,0.3,0.6
48,1.5,1.3,2.8
49,0.9,0.7,1.6
50,0.6,0.3,0.9
51,-,-,-
52,0.2,0.3,0.5
53,0.1,0.2,0.2
54,-,0.1,0.1
55,0.1,0.2,0.3
56,1.3,0.9,2.2
57,0.6,0.7,1.3
58,0.3,0.6,0.9
59,1.3,-,1.3
60,0.6,0.6,1.1
61,2.5,-,2.5
62,-,-,-
63,1.3,0.9,2.2
64,0.4,0.4,0.8
65,0.8,0.9,1.7
66,0.7,0.3,1
67,-,-,-
68,1,0.7,1.7
69,0.8,0.7,1.5
70,-,-,-
71,0.7,0.3,1
72,0.2,0.2,0.4
73,2,0.9,2.9
74,0.6,0.4,1
75,0.2,0.3,0.5
76,0.2,0.5,0.7
77,0.1,0.1,0.3
78,0.8,0.7,1.5
79,-,0.3,0.3
80,2.1,1,3.1
81,0.7,0.3,1
82,0.2,0.2,0.4
83,1,0.2,1.2
84,0.9,0.4,1.3
85,0.6,0.5,1.1
86,0.2,0.3,0.5
87,0.6,0.9,1.5
88,2.3,1.5,3.8
89,0.6,0.3,1
90,0.3,0.5,0.9
91,1.1,0.6,1.6
92,-,0.2,0.2
93,2.2,1.7,3.9
94,0.7,0.4,1.1
95,-,-,-
96,2.2,1.8,4
97,0.3,0.4,0.7
98,0.3,0.8,1
99,-,0.2,0.2
100,2.3,1.9,4.2
101,2.9,2,4.8
102,0.2,0.2,0.4
103,1.9,1.1,3
104,-,-,-
105,0.5,0.5,0.9
106,-,0.5,0.5
107,0.9,0.5,1.4
108,0.1,0.1,0.2
109,0.8,0.6,1.3
110,0.1,0.3,0.4
111,0.6,0.4,1
112,-,0.1,0.2
113,1.5,1.2,2.6
114,-,0.2,0.2
115,-,-,-
116,0.6,0.4,1
117,2.5,1.8,4.2
118,0.1,0.1,0.2
119,0.8,0.6,1.4
120,0.3,0.2,0.5
121,0.5,0.3,0.7
122,1,0.9,1.9
123,0.9,1,1.9
124,1.9,1.6,3.5
125,2.5,1.6,4.2
126,1,0.5,1.5
127,-,0.1,0.1
128,-,0.1,0.1
129,1.5,1.3,2.7
130,0.4,0.5,0.9
131,0.5,0.6,1.2
132,0.7,0.7,1.4
133,-,0.3,0.3
134,0.2,0.2,0.3
135,-,1,1
136,0.5,0.5,1
137,2.9,1.6,4.5
138,0.3,0.2,0.6
139,1.3,1,2.3
140,1.2,1.2,2.4
141,0.1,0.3,0.4
142,0.3,0.7,1
143,0.5,0.5,1
144,0.3,0.6,0.9
145,0.7,0.6,1.3
146,0.3,0.4,0.7
147,0.1,0.2,0.3
148,-,-,-
149,0.1,0.2,0.2
150,-,-,-
151,-,-,-
152,0.9,0.6,1.4
153,1.1,0.8,1.9
154,0.3,0.6,0.9
155,0.1,0.3,0.3
156,-,-,-
157,0.9,0.6,1.6
158,1.1,0.9,2
159,-,0.1,0.1
160,0.4,0.2,0.6
161,0.1,0.1,0.2
162,0.7,0.3,1
163,0.1,0.2,0.3
164,0.6,0.3,1
165,-,0.1,0.1
166,-,-,-
167,0.1,0.1,0.2
168,1.7,2,3.7
169,-,-,-
170,-,-,-
171,0.8,0.6,1.4
172,0.2,0.2,0.4
173,1.7,1,2.6
174,0.7,0.5,1.1
175,1.8,1,2.8
176,-,0.3,0.3
177,0.7,0.5,1.2
178,0.8,0.8,1.7
179,0.3,0.2,0.5
180,-,-,-
181,-,-,-
182,-,0.1,0.1
183,0.5,0.4,0.9
184,0.6,0.6,1.2
185,0.1,0.1,0.2
186,0.6,0.1,0.7
187,0.8,0.7,1.4
188,0.3,0.4,0.7
189,0.2,0.5,0.8
190,1.1,1,2
191,0.4,0.1,0.4
192,1.4,1.5,2.9
193,0.4,0.4,0.8
194,1.3,0.9,2.1
195,0.8,0.8,1.6
196,0.4,0.3,0.7
197,1.2,0.7,1.9
198,1.7,1.2,2.9
199,-,-,-
200,-,0.3,0.3
201,-,0.5,0.5
202,0.5,0.3,0.8
203,-,-,-
204,1.5,0.7,2.2
205,0.2,0.5,0.7
206,0.7,0.7,1.4
207,-,0.1,0.1
208,0.8,0.7,1.6
209,-,-,-
210,0.5,0.5,1
211,-,-,-
212,0.2,0.2,0.4
213,1.9,1.3,3.2
214,-,0.1,0.1
215,1.2,0.7,1.9
216,0.6,0.6,1.1
217,-,-,-
218,-,-,-
219,2,1,3
220,-,-,-
221,0.8,0.2,1
222,0.1,0.2,0.3
223,1.4,1.2,2.5
224,-,-,-
225,1.2,0.6,1.8
226,1,1,2
227,0.8,0.7,1.5
228,0.5,0.6,1
229,-,0.1,0.1
230,0.5,0.3,0.8
231,0.4,0.7,1.1
232,0.3,0.1,0.4
233,0.8,0.8,1.6
234,0.2,0.1,0.4
235,0.3,0.3,0.5
236,0.7,0.3,1
237,0.1,-,0.1
238,-,-,-
239,0.5,0.4,0.9
240,1,0.7,1.7
241,-,-,-
242,-,0.2,0.2
243,0.4,0.4,0.8
244,0.2,0.2,0.4
245,-,-,-
246,0.5,1,1.5
247,0.4,0.3,0.7
248,-,-,-
249,0.2,0.2,0.4
250,2,0.9,2.9
251,1.2,0.8,2
252,-,0.1,0.1
253,-,0.1,0.1
